# Minitial =  1.00 msun, Z = 0.0200, Mfinal = 0.564 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    p29     29   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   1.5234036E-11  3.5619346E-06  3.5619194E-06  8.1695753E-06  8.1704811E-06 -4.8150574E-05
    p32     32   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32   2.5611371E-09  1.7288810E-04  1.7288554E-04  3.9653236E-04  3.9657217E-04 -4.3594158E-05
    s33     33   1.0686563E-11  1.4073210E-06  1.4073103E-06  3.2278003E-06  3.2281480E-06 -4.6778463E-05
    s34     34   1.1787051E-09  8.1602659E-05  8.1601480E-05  1.8716206E-04  1.8718094E-04 -4.3801268E-05
    s35     35   5.4745372E-20  5.4745372E-20  0.0000000E+00  1.2556279E-19  0.0000000E+00  0.0000000E+00
   fe54     54   2.1827873E-11  3.1149266E-05  3.1149244E-05  7.1443275E-05  7.1451461E-05 -4.9755683E-05
   fe55     55   2.0495279E-18  2.0495279E-18  0.0000000E+00  4.7007524E-18  0.0000000E+00  0.0000000E+00
   fe56     56   8.7311491E-10  5.1074289E-04  5.1074201E-04  1.1714287E-03  1.1715617E-03 -4.9289680E-05
   fe57     57   1.7280399E-10  1.2473734E-05  1.2473562E-05  2.8609484E-05  2.8612385E-05 -4.4034263E-05
   fe58     58   2.0577318E-11  1.6152671E-06  1.6152466E-06  3.7047412E-06  3.7051209E-06 -4.4500259E-05
   fe59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   fe61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   2.4101610E-11  1.4671334E-06  1.4671093E-06  3.3649849E-06  3.3653175E-06 -4.2921056E-05
   co60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co61     61   1.0408425E-39  1.0408425E-39  0.0000000E+00  2.3872535E-39  0.0000000E+00  0.0000000E+00
   ni58     58   3.3287506E-10  2.1600315E-05  2.1599983E-05  4.9542010E-05  4.9546954E-05 -4.3335272E-05
   ni59     59   6.3177705E-28  6.3177705E-28  0.0000000E+00  1.4490300E-27  0.0000000E+00  0.0000000E+00
   ni60     60  -2.7284841E-12  8.5546362E-06  8.5546390E-06  1.9620726E-05  1.9622994E-05 -5.0195795E-05
   ni61     61   4.9908408E-07  8.7454100E-07  3.7545695E-07  2.0058280E-06  8.6123907E-07  3.6716998E-01
   ni62     62  -5.0726209E-07  7.0559514E-07  1.2128572E-06  1.6183375E-06  2.7821034E-06 -2.3530418E-01
# Minitial =  1.25 msun, Z = 0.0200, Mfinal = 0.574 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      g      1   2.7327989E-08  6.5684702E-08  3.8356713E-08  9.7166719E-08  5.6745975E-08  2.3358248E-01
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.2294143E-02  4.5269319E-01  4.6498734E-01  6.6966450E-01  6.8791503E-01 -1.1677519E-02
      d      2   3.9208047E-18  3.9208047E-18  0.0000000E+00  5.8000068E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.3805331E-04  2.3805331E-04  0.0000000E+00  3.5214986E-04  0.0000000E+00  0.0000000E+00
    he4      4   1.1981189E-02  2.1010150E-01  1.9812031E-01  3.1080103E-01  2.9310462E-01  2.5459763E-02
    li7      7  -5.1006016E-10  7.5090062E-10  1.2609608E-09  1.1107998E-09  1.8655000E-09 -2.2515947E-01
    be7      7   5.8754618E-13  5.8754618E-13  0.0000000E+00  8.6915116E-13  0.0000000E+00  0.0000000E+00
     b8      8   9.4740908E-27  9.4740908E-27  0.0000000E+00  1.4014927E-26  0.0000000E+00  0.0000000E+00
    c12     12  -4.6293531E-04  1.5886654E-03  2.0516007E-03  2.3500968E-03  3.0351942E-03 -1.1110076E-01
    c13     13   3.9047798E-05  6.3739084E-05  2.4691286E-05  9.4288589E-05  3.6528963E-05  4.1182178E-01
    c14     14   1.2300540E-27  1.2300540E-27  0.0000000E+00  1.8196065E-27  0.0000000E+00  0.0000000E+00
