# Minitial =  1.00 msun, Z = 0.0040, Mfinal = 0.610 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      g      1   1.6834560E-09  6.1053904E-09  4.4219344E-09  1.5654848E-08  1.1339757E-08  1.4004514E-01
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -8.1304908E-03  2.8376853E-01  2.9189903E-01  7.2761166E-01  7.4855560E-01 -1.2324413E-02
      d      2   1.3314924E-18  1.3314924E-18  0.0000000E+00  3.4140831E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.2238204E-04  1.2238204E-04  0.0000000E+00  3.1380012E-04  0.0000000E+00  0.0000000E+00
    he4      4   8.0021918E-03  1.0457381E-01  9.6571617E-02  2.6813799E-01  2.4765149E-01  3.4517419E-02
    li7      7  -2.3405167E-10  4.9339943E-10  7.2745110E-10  1.2651268E-09  1.8655000E-09 -1.6866118E-01
    be7      7   2.0494656E-11  2.0494656E-11  0.0000000E+00  5.2550402E-11  0.0000000E+00  0.0000000E+00
     b8      8   7.1675771E-27  7.1675771E-27  0.0000000E+00  1.8378404E-26  0.0000000E+00  0.0000000E+00
    c12     12  -4.3021078E-05  1.9349670E-04  2.3651778E-04  4.9614540E-04  6.0653407E-04 -8.7246247E-02
    c13     13   4.3885129E-06  7.2350354E-06  2.8465226E-06  1.8551373E-05  7.2997177E-06  4.0507001E-01
    c14     14   7.3966483E-26  7.3966483E-26  0.0000000E+00  1.8965766E-25  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.9714421E-05  1.3589203E-04  8.6177606E-05  3.4844110E-04  2.2099674E-04  1.9774351E-01
    n15     15  -1.0930185E-07  2.3103118E-07  3.4033303E-07  5.9238766E-07  8.7276146E-07 -1.6828956E-01
