# Minitial =  1.00 msun, Z = 0.0080, Mfinal = 0.577 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      g      1   3.3505394E-09  1.2944828E-08  9.5942889E-09  3.0602433E-08  2.2684230E-08  1.3003190E-01
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -8.7296963E-03  3.0307159E-01  3.1180128E-01  7.1648133E-01  7.3720652E-01 -1.2384283E-02
      d      2   1.3024999E-18  1.3024999E-18  0.0000000E+00  3.0791962E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.3490564E-04  1.3490564E-04  0.0000000E+00  3.1892589E-04  0.0000000E+00  0.0000000E+00
    he4      4   8.5823014E-03  1.1652166E-01  1.0793936E-01  2.7546492E-01  2.5520611E-01  3.3175245E-02
    li7      7   1.3541179E-10  9.2442448E-10  7.8901269E-10  2.1854007E-09  1.8655000E-09  6.8735830E-02
    be7      7   2.5793469E-12  2.5793469E-12  0.0000000E+00  6.0977473E-12  0.0000000E+00  0.0000000E+00
     b8      8   1.7172822E-23  1.7172822E-23  0.0000000E+00  4.0597688E-23  0.0000000E+00  0.0000000E+00
    c12     12  -7.8859419E-05  4.3431410E-04  5.1317352E-04  1.0267474E-03  1.2133204E-03 -7.2511904E-02
    c13     13   9.4618335E-06  1.5637945E-05  6.1761111E-06  3.6969137E-05  1.4602471E-05  4.0341297E-01
    c14     14   7.4248012E-27  7.4248012E-27  0.0000000E+00  1.7552722E-26  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   8.4999876E-05  2.7197978E-04  1.8697990E-04  6.4297824E-04  4.4208541E-04  1.6269007E-01
    n15     15  -2.1446562E-07  5.2395637E-07  7.3842199E-07  1.2386677E-06  1.7458859E-06 -1.4906107E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -3.5653356E-06  1.6203977E-03  1.6239630E-03  3.8307277E-03  3.8396122E-03 -1.0060837E-03
    o17     17   3.7801834E-07  1.0359313E-06  6.5791295E-07  2.4490103E-06  1.5555346E-06  1.9711094E-01
    o18     18  -2.3111897E-07  3.4365676E-06  3.6676865E-06  8.1242733E-06  8.6716846E-06 -2.8318936E-02
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
