                            7.0M Z=0.02 VW93
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact  
    s33    1.970E-07  2.604E-05   3.274E-03   2.464E-07  2.609E-05   4.096E-03
    s34   -4.791E-06  1.287E-03  -1.639E-03  -7.020E-06  1.285E-03  -2.391E-03
    s35    5.194E-06  5.194E-06   0.000E+00   7.646E-06  7.646E-06   0.000E+00
   fe54   -3.794E-06  4.799E-04  -3.445E-03  -4.980E-06  4.788E-04  -4.519E-03
   fe55    1.175E-06  1.175E-06   0.000E+00   1.190E-06  1.190E-06   0.000E+00
   fe56   -3.125E-05  7.897E-03  -1.741E-03  -4.669E-05  7.882E-03  -2.591E-03
   fe57    6.703E-06  2.003E-04   1.475E-02   7.779E-06  2.014E-04   1.708E-02
   fe58    1.582E-05  4.089E-05   2.124E-01   2.253E-05  4.760E-05   2.784E-01
   fe60    2.817E-06  2.817E-06   0.000E+00   5.753E-06  5.753E-06   0.000E+00
   co59    4.686E-06  2.865E-05   7.756E-02   7.261E-06  3.122E-05   1.149E-01
   ni58   -2.402E-06  3.414E-04  -3.070E-03  -3.256E-06  3.405E-04  -4.158E-03
   ni60    1.029E-06  1.370E-04   3.250E-03   1.198E-06  1.371E-04   3.786E-03
   ni61    2.578E-05  3.176E-05   7.250E-01   3.039E-05  3.638E-05   7.839E-01
   ni62   -1.920E-05  1.292E-07  -2.175E+00  -1.920E-05  1.292E-07  -2.175E+00
      g    7.244E-07  1.076E-06   4.861E-01   1.111E-06  1.462E-06   6.193E-01
                            7.5M Z=0.02 VW93 
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -5.584E-01  4.017E+00  -5.655E-02  -5.682E-01  4.007E+00  -5.761E-02
    he3    1.828E-05  1.828E-05   0.000E+00   1.826E-05  1.826E-05   0.000E+00
    he4    5.446E-01  2.329E+00   1.156E-01   5.492E-01  2.334E+00   1.165E-01
    li7    1.143E-08  8.094E-08   6.611E-02   1.140E-08  8.090E-08   6.591E-02
    c12   -1.481E-02  7.379E-03  -4.781E-01  -9.928E-03  1.226E-02  -2.577E-01
    c13    6.342E-04  9.007E-04   5.289E-01   6.315E-04  8.981E-04   5.276E-01
    n14    3.852E-02  4.533E-02   8.233E-01   3.840E-02  4.521E-02   8.222E-01
    n15   -2.556E-05  1.352E-06  -1.299E+00  -2.557E-05  1.350E-06  -1.300E+00
    o16   -1.147E-02  5.034E-02  -8.919E-02  -1.139E-02  5.041E-02  -8.851E-02
    o17    1.259E-04  1.511E-04   7.785E-01   1.256E-04  1.507E-04   7.775E-01
    o18   -1.376E-04  2.614E-06  -1.729E+00  -1.376E-04  2.614E-06  -1.729E+00
    f19   -1.767E-06  1.857E-06  -2.905E-01  -1.087E-06  2.537E-06  -1.550E-01
   ne20   -2.753E-05  1.172E-02  -1.044E-03  -2.531E-05  1.172E-02  -9.621E-04
   ne21   -2.698E-05  2.986E-06  -1.002E+00  -2.629E-05  3.675E-06  -9.114E-01
   ne22    4.056E-04  1.349E-03   1.553E-01   6.143E-04  1.558E-03   2.178E-01
   na23    2.291E-04  4.873E-04   2.758E-01   2.303E-04  4.885E-04   2.768E-01
   mg24   -6.522E-05  3.721E-03  -7.571E-03  -7.254E-05  3.714E-03  -8.427E-03
   mg25    9.222E-05  5.914E-04   7.359E-02   1.509E-04  6.501E-04   1.147E-01
   mg26    2.652E-04  8.368E-04   1.655E-01   3.795E-04  9.511E-04   2.211E-01
   al26    4.072E-06  4.072E-06   0.000E+00   4.061E-06  4.061E-06   0.000E+00
   al27    1.370E-05  4.323E-04   1.396E-02   1.860E-05  4.372E-04   1.885E-02
   si28    1.673E-05  4.830E-03   1.482E-03   2.306E-05  4.837E-03   2.051E-03
   si29    3.670E-06  2.560E-04   6.244E-03   5.511E-06  2.579E-04   9.356E-03
   si30    7.028E-06  1.803E-04   1.724E-02   1.064E-05  1.840E-04   2.586E-02
    p31    1.222E-06  4.711E-05   1.139E-02   1.849E-06  4.774E-05   1.713E-02
    s32   -5.451E-06  3.409E-03  -7.192E-04  -8.170E-06  3.406E-03  -1.066E-03
    s33    1.706E-07  2.797E-05   2.632E-03   2.223E-07  2.802E-05   3.435E-03
    s34   -5.226E-06  1.385E-03  -1.661E-03  -7.473E-06  1.383E-03  -2.366E-03
    s35    5.681E-06  5.681E-06   0.000E+00   8.148E-06  8.148E-06   0.000E+00
   fe54   -3.972E-06  5.164E-04  -3.353E-03  -5.203E-06  5.152E-04  -4.389E-03
   fe55    1.354E-06  1.354E-06   0.000E+00   1.375E-06  1.375E-06   0.000E+00
   fe56   -3.367E-05  8.496E-03  -1.743E-03  -4.919E-05  8.480E-03  -2.537E-03
   fe57    5.714E-06  2.140E-04   1.173E-02   7.005E-06  2.153E-04   1.434E-02
   fe58    1.547E-05  4.244E-05   1.968E-01   2.251E-05  4.948E-05   2.635E-01
   fe60    4.423E-06  4.423E-06   0.000E+00   6.828E-06  6.828E-06   0.000E+00
   co59    5.249E-06  3.103E-05   8.047E-02   7.723E-06  3.350E-05   1.138E-01
   ni58   -2.407E-06  3.674E-04  -2.861E-03  -3.296E-06  3.666E-04  -3.913E-03
   ni60    1.049E-06  1.473E-04   3.080E-03   1.691E-06  1.479E-04   4.967E-03
   ni61    2.908E-05  3.551E-05   7.417E-01   3.383E-05  4.027E-05   7.963E-01
   ni62   -2.065E-05  1.357E-07  -2.185E+00  -2.065E-05  1.357E-07  -2.185E+00
      g    9.699E-07  1.348E-06   5.523E-01   1.355E-06  1.733E-06   6.615E-01
                           8.0M Z=0.02 VW93 
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.279E-01  4.256E+00  -5.979E-02  -6.375E-01  4.246E+00  -6.078E-02
    he3    1.879E-05  1.879E-05   0.000E+00   1.878E-05  1.878E-05   0.000E+00
    he4    6.127E-01  2.518E+00   1.211E-01   6.172E-01  2.522E+00   1.219E-01
    li7    3.805E-08  1.122E-07   1.798E-01   3.804E-08  1.122E-07   1.797E-01
    c12   -1.621E-02  7.470E-03  -5.012E-01  -1.150E-02  1.218E-02  -2.887E-01
    c13    7.861E-04  1.071E-03   5.755E-01   7.828E-04  1.067E-03   5.742E-01
    n14    4.258E-02  4.985E-02   8.363E-01   4.245E-02  4.972E-02   8.351E-01
    n15   -2.695E-05  1.778E-06  -1.208E+00  -2.696E-05  1.776E-06  -1.209E+00
    o16   -1.327E-02  5.270E-02  -9.756E-02  -1.319E-02  5.279E-02  -9.688E-02
    o17    1.730E-04  1.999E-04   8.718E-01   1.726E-04  1.995E-04   8.709E-01
    o18   -1.467E-04  2.900E-06  -1.713E+00  -1.467E-04  2.900E-06  -1.713E+00
    f19   -2.461E-06  1.408E-06  -4.391E-01  -2.118E-06  1.750E-06  -3.445E-01
   ne20   -2.084E-05  1.252E-02  -7.479E-04  -1.550E-05  1.252E-02  -5.626E-04
   ne21   -2.826E-05  3.734E-06  -9.328E-01  -2.704E-05  4.948E-06  -8.106E-01
   ne22    5.392E-04  1.546E-03   1.862E-01   6.300E-04  1.637E-03   2.110E-01
   na23    2.479E-04  5.236E-04   2.786E-01   2.499E-04  5.255E-04   2.802E-01
   mg24   -2.202E-04  3.821E-03  -2.436E-02  -2.233E-04  3.818E-03  -2.470E-02
   mg25    2.988E-04  8.317E-04   1.933E-01   4.046E-04  9.374E-04   2.453E-01
   mg26    4.092E-04  1.019E-03   2.228E-01   6.634E-04  1.274E-03   3.195E-01
   al26    6.165E-06  6.165E-06   0.000E+00   6.148E-06  6.148E-06   0.000E+00
   al27    1.041E-05  4.572E-04   9.976E-03   1.616E-05  4.630E-04   1.541E-02
   si28    2.190E-05  5.160E-03   1.822E-03   2.926E-05  5.167E-03   2.441E-03
   si29    5.766E-06  2.752E-04   9.171E-03   8.780E-06  2.782E-04   1.390E-02
   si30    1.097E-05  1.960E-04   2.499E-02   1.751E-05  2.025E-04   3.925E-02
    p31    2.115E-06  5.110E-05   1.833E-02   3.478E-06  5.246E-05   2.977E-02
    s32   -7.511E-06  3.637E-03  -9.213E-04  -1.169E-05  3.633E-03  -1.421E-03
    s33    1.528E-07  2.983E-05   2.206E-03   1.931E-07  2.987E-05   2.791E-03
    s34   -6.459E-06  1.477E-03  -1.920E-03  -9.281E-06  1.475E-03  -2.750E-03
    s35    7.077E-06  7.077E-06   0.000E+00   1.024E-05  1.024E-05   0.000E+00
   fe54   -4.478E-06  5.510E-04  -3.540E-03  -5.727E-06  5.498E-04  -4.526E-03
   fe55    1.564E-06  1.564E-06   0.000E+00   1.562E-06  1.562E-06   0.000E+00
   fe56   -4.135E-05  9.063E-03  -2.002E-03  -6.043E-05  9.044E-03  -2.917E-03
   fe57    4.519E-06  2.269E-04   8.712E-03   4.583E-06  2.269E-04   8.835E-03
   fe58    1.528E-05  4.407E-05   1.849E-01   1.988E-05  4.867E-05   2.280E-01
   fe60    9.088E-06  9.088E-06   0.000E+00   1.624E-05  1.624E-05   0.000E+00
   co59    6.392E-06  3.391E-05   9.069E-02   8.966E-06  3.648E-05   1.225E-01
   ni58   -2.619E-06  3.922E-04  -2.916E-03  -3.509E-06  3.913E-04  -3.903E-03
   ni60    1.173E-06  1.573E-04   3.227E-03   9.466E-07  1.571E-04   2.600E-03
   ni61    3.482E-05  4.169E-05   7.830E-01   4.268E-05  4.955E-05   8.580E-01
   ni62   -2.205E-05  1.437E-07  -2.189E+00  -2.205E-05  1.437E-07  -2.189E+00
      g    1.510E-06  1.913E-06   6.762E-01   2.376E-06  2.779E-06   8.382E-01
                            8.5M Z=0.02 VW93 
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.849E-01  4.494E+00  -6.163E-02  -6.948E-01  4.484E+00  -6.259E-02
    he3    2.176E-05  2.176E-05   0.000E+00   2.174E-05  2.174E-05   0.000E+00
    he4    6.684E-01  2.689E+00   1.241E-01   6.728E-01  2.693E+00   1.248E-01
    li7    8.923E-08  1.679E-07   3.292E-01   8.920E-08  1.679E-07   3.291E-01
    c12   -1.733E-02  7.784E-03  -5.088E-01  -1.226E-02  1.285E-02  -2.909E-01
    c13    9.459E-04  1.248E-03   6.165E-01   9.419E-04  1.244E-03   6.151E-01
    n14    4.612E-02  5.383E-02   8.441E-01   4.598E-02  5.369E-02   8.430E-01
    n15   -2.772E-05  2.745E-06  -1.045E+00  -2.773E-05  2.742E-06  -1.046E+00
    o16   -1.478E-02  5.518E-02  -1.031E-01  -1.466E-02  5.530E-02  -1.021E-01
    o17    2.416E-04  2.701E-04   9.770E-01   2.410E-04  2.695E-04   9.761E-01
    o18   -1.542E-04  4.473E-06  -1.550E+00  -1.542E-04  4.473E-06  -1.550E+00
    f19   -3.064E-06  1.038E-06  -5.968E-01  -2.882E-06  1.220E-06  -5.266E-01
   ne20    1.924E-06  1.330E-02   3.758E-05   1.187E-05  1.331E-02   3.625E-04
   ne21   -2.971E-05  4.213E-06  -9.059E-01  -2.842E-05  5.499E-06  -7.903E-01
   ne22    4.478E-04  1.516E-03   1.521E-01   4.839E-04  1.552E-03   1.623E-01
   na23    2.527E-04  5.450E-04   2.705E-01   2.549E-04  5.472E-04   2.723E-01
   mg24   -7.312E-04  3.555E-03  -8.127E-02  -7.285E-04  3.557E-03  -8.093E-02
   mg25    8.814E-04  1.447E-03   4.082E-01   1.009E-03  1.574E-03   4.449E-01
   mg26    5.709E-04  1.218E-03   2.747E-01   8.937E-04  1.541E-03   3.768E-01
   al26    9.460E-06  9.460E-06   0.000E+00   9.433E-06  9.433E-06   0.000E+00
   al27    1.053E-05  4.844E-04   9.524E-03   1.557E-05  4.894E-04   1.401E-02
   si28    2.337E-05  5.472E-03   1.834E-03   3.262E-05  5.481E-03   2.567E-03
   si29    7.599E-06  2.933E-04   1.138E-02   1.173E-05  2.974E-04   1.745E-02
   si30    1.522E-05  2.114E-04   3.242E-02   2.406E-05  2.202E-04   5.022E-02
    p31    3.145E-06  5.509E-05   2.551E-02   5.038E-06  5.698E-05   4.018E-02
    s32   -9.016E-06  3.856E-03  -1.040E-03  -1.392E-05  3.851E-03  -1.593E-03
    s33    1.504E-07  3.162E-05   2.046E-03   2.117E-07  3.168E-05   2.887E-03
    s34   -7.326E-06  1.566E-03  -2.052E-03  -1.042E-05  1.563E-03  -2.910E-03
    s35    7.992E-06  7.992E-06   0.000E+00   1.149E-05  1.149E-05   0.000E+00
   fe54   -4.676E-06  5.844E-04  -3.486E-03  -5.976E-06  5.831E-04  -4.453E-03
   fe55    1.714E-06  1.714E-06   0.000E+00   1.710E-06  1.710E-06   0.000E+00
   fe56   -4.553E-05  9.609E-03  -2.078E-03  -6.610E-05  9.589E-03  -3.009E-03
   fe57    3.394E-06  2.392E-04   6.182E-03   3.187E-06  2.390E-04   5.805E-03
   fe58    1.255E-05  4.309E-05   1.496E-01   1.585E-05  4.638E-05   1.816E-01
   fe60    1.419E-05  1.419E-05   0.000E+00   2.333E-05  2.333E-05   0.000E+00
   co59    6.363E-06  3.554E-05   8.565E-02   8.396E-06  3.757E-05   1.098E-01
   ni58   -2.707E-06  4.159E-04  -2.842E-03  -3.632E-06  4.150E-04  -3.810E-03
   ni60    8.650E-07  1.664E-04   2.238E-03   5.143E-07  1.661E-04   1.322E-03
   ni61    4.031E-05  4.760E-05   8.151E-01   5.021E-05  5.749E-05   8.971E-01
   ni62   -2.338E-05  1.489E-07  -2.199E+00  -2.338E-05  1.489E-07  -2.199E+00
      g    2.115E-06  2.542E-06   7.741E-01   3.237E-06  3.664E-06   9.328E-01
                            9.0M Z=0.02 VW93
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -7.488E-01  4.732E+00  -6.382E-02  -7.577E-01  4.724E+00  -6.464E-02
    he3    2.800E-05  2.800E-05   0.000E+00   2.798E-05  2.798E-05   0.000E+00
    he4    7.251E-01  2.863E+00   1.268E-01   7.291E-01  2.867E+00   1.274E-01
    li7    1.928E-07  2.760E-07   5.205E-01   1.927E-07  2.760E-07   5.204E-01
    c12   -1.921E-02  7.375E-03  -5.569E-01  -1.474E-02  1.184E-02  -3.512E-01
    c13    1.171E-03  1.490E-03   6.690E-01   1.168E-03  1.487E-03   6.681E-01
    n14    5.416E-02  6.232E-02   8.831E-01   5.402E-02  6.218E-02   8.821E-01
    n15   -2.613E-05  6.115E-06  -7.221E-01  -2.614E-05  6.102E-06  -7.231E-01
    o16   -1.456E-02  5.948E-02  -9.514E-02  -1.446E-02  5.959E-02  -9.438E-02
    o17    3.012E-04  3.313E-04   1.041E+00   3.005E-04  3.306E-04   1.040E+00
    o18   -1.584E-04  9.548E-06  -1.245E+00  -1.584E-04  9.548E-06  -1.245E+00
    f19   -3.338E-06  1.003E-06  -6.363E-01  -3.166E-06  1.176E-06  -5.673E-01
   ne20    2.152E-05  1.409E-02   6.383E-04   4.071E-05  1.411E-02   1.229E-03
   ne21   -3.115E-05  4.757E-06  -8.779E-01  -2.996E-05  5.948E-06  -7.808E-01
   ne22    9.262E-04  2.056E-03   2.599E-01   9.493E-04  2.079E-03   2.648E-01
   na23    2.633E-04  5.727E-04   2.674E-01   2.649E-04  5.743E-04   2.686E-01
   mg24   -1.296E-03  3.240E-03  -1.461E-01  -1.288E-03  3.248E-03  -1.451E-01
   mg25    1.456E-03  2.054E-03   5.358E-01   1.572E-03  2.170E-03   5.596E-01
   mg26    5.674E-04  1.252E-03   2.621E-01   8.678E-04  1.553E-03   3.554E-01
   al26    1.205E-05  1.205E-05   0.000E+00   1.202E-05  1.202E-05   0.000E+00
   al27    1.079E-05  5.123E-04   9.220E-03   1.484E-05  5.163E-04   1.264E-02
   si28    2.043E-05  5.787E-03   1.510E-03   2.915E-05  5.796E-03   2.164E-03
   si29    6.760E-06  3.091E-04   9.578E-03   1.063E-05  3.130E-04   1.498E-02
   si30    1.473E-05  2.224E-04   2.974E-02   2.257E-05  2.302E-04   4.480E-02
    p31    3.126E-06  5.810E-05   2.399E-02   4.790E-06  5.977E-05   3.626E-02
    s32   -7.344E-06  4.083E-03  -8.058E-04  -1.169E-05  4.079E-03  -1.269E-03
    s33    1.619E-07  3.346E-05   2.080E-03   2.094E-07  3.351E-05   2.696E-03
    s34   -6.744E-06  1.659E-03  -1.788E-03  -9.472E-06  1.656E-03  -2.502E-03
    s35    7.473E-06  7.473E-06   0.000E+00   1.057E-05  1.057E-05   0.000E+00
   fe54   -4.744E-06  6.187E-04  -3.342E-03  -5.913E-06  6.176E-04  -4.164E-03
   fe55    2.091E-06  2.091E-06   0.000E+00   2.088E-06  2.088E-06   0.000E+00
   fe56   -4.144E-05  1.018E-02  -1.790E-03  -5.974E-05  1.016E-02  -2.572E-03
   fe57    3.808E-06  2.534E-04   6.552E-03   3.718E-06  2.533E-04   6.398E-03
   fe58    9.907E-06  4.222E-05   1.161E-01   1.335E-05  4.566E-05   1.501E-01
   fe60    1.365E-05  1.365E-05   0.000E+00   2.159E-05  2.159E-05   0.000E+00
   co59    5.256E-06  3.614E-05   6.824E-02   5.829E-06  3.671E-05   7.506E-02
   ni58   -2.598E-06  4.405E-04  -2.579E-03  -3.431E-06  4.397E-04  -3.401E-03
   ni60    4.911E-07  1.757E-04   1.190E-03   1.605E-07  1.754E-04   3.722E-04
   ni61    4.082E-05  4.853E-05   7.988E-01   4.904E-05  5.675E-05   8.668E-01
   ni62   -2.475E-05  1.559E-07  -2.203E+00  -2.475E-05  1.559E-07  -2.203E+00
      g    2.111E-06  2.564E-06   7.531E-01   3.192E-06  3.645E-06   9.059E-01
			    6.5M Z=0.008 VW93
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact
      p   -4.908E-01  3.577E+00  -5.587E-02  -4.985E-01  3.569E+00  -5.681E-02
    he3    4.836E-06  4.836E-06   0.000E+00   4.836E-06  4.836E-06   0.000E+00
    he4    4.573E-01  1.892E+00   1.201E-01   4.612E-01  1.896E+00   1.210E-01
    li7   -2.346E-08  2.999E-10  -1.899E+00  -2.346E-08  2.999E-10  -1.899E+00
    c12   -2.226E-03  5.664E-03  -1.440E-01   1.377E-03  9.267E-03   6.981E-02
    c13    5.583E-04  6.495E-04   8.528E-01   5.562E-04  6.474E-04   8.514E-01
    n14    4.088E-02  4.330E-02   1.252E+00   4.077E-02  4.319E-02   1.251E+00
    n15   -8.058E-06  1.144E-06  -9.054E-01  -8.060E-06  1.143E-06  -9.060E-01
    o16   -7.190E-03  1.479E-02  -1.721E-01  -7.098E-03  1.488E-02  -1.694E-01
    o17    3.475E-05  4.335E-05   7.024E-01   3.467E-05  4.327E-05   7.017E-01
    o18   -4.674E-05  1.186E-06  -1.606E+00  -4.674E-05  1.186E-06  -1.606E+00
    f19   -4.210E-07  8.174E-07  -1.805E-01  -7.751E-08  1.161E-06  -2.810E-02
   ne20    2.085E-06  4.017E-03   1.998E-04   5.833E-06  4.021E-03   6.049E-04
   ne21   -9.255E-06  9.921E-07  -1.014E+00  -8.741E-06  1.506E-06  -8.328E-01
   ne22    9.095E-04  1.232E-03   5.820E-01   1.038E-03  1.360E-03   6.250E-01
   na23    6.146E-05  1.498E-04   2.294E-01   6.342E-05  1.517E-04   2.350E-01
   mg24   -2.524E-04  1.042E-03  -9.424E-02  -2.534E-04  1.041E-03  -9.465E-02
   mg25    3.642E-04  5.349E-04   4.960E-01   4.030E-04  5.737E-04   5.264E-01
   mg26    3.369E-04  5.323E-04   4.352E-01   4.381E-04  6.335E-04   5.107E-01
   al26    1.327E-05  1.327E-05   0.000E+00   1.324E-05  1.324E-05   0.000E+00
   al27    1.540E-05  1.585E-04   4.436E-02   1.818E-05  1.613E-04   5.192E-02
   si28    2.867E-05  1.673E-03   7.478E-03   3.123E-05  1.676E-03   8.144E-03
   si29    5.820E-06  9.212E-05   2.832E-02   6.650E-06  9.295E-05   3.221E-02
   si30    9.807E-06  6.906E-05   6.649E-02   1.168E-05  7.093E-05   7.808E-02
    p31    1.758E-06  1.745E-05   4.610E-02   2.207E-06  1.790E-05   5.713E-02
    s32   -6.732E-06  1.161E-03  -2.537E-03  -7.948E-06  1.159E-03  -2.993E-03
    s33    1.526E-07  9.655E-06   6.894E-03   1.622E-07  9.664E-06   7.325E-03
    s34   -5.720E-06  4.695E-04  -5.285E-03  -6.566E-06  4.687E-04  -6.067E-03
    s35    6.275E-06  6.275E-06   0.000E+00   7.223E-06  7.223E-06   0.000E+00
   fe54   -3.430E-06  1.744E-04  -8.484E-03  -3.809E-06  1.741E-04  -9.426E-03
   fe55    4.420E-07  4.420E-07   0.000E+00   4.417E-07  4.417E-07   0.000E+00
   fe56   -3.857E-05  2.878E-03  -5.807E-03  -4.426E-05  2.873E-03  -6.667E-03
   fe57    4.053E-06  7.526E-05   2.402E-02   4.095E-06  7.530E-05   2.426E-02
   fe58    1.674E-05  2.597E-05   4.495E-01   1.819E-05  2.741E-05   4.730E-01
   fe60    6.504E-06  6.504E-06   0.000E+00   8.287E-06  8.287E-06   0.000E+00
   co59    6.020E-06  1.483E-05   2.261E-01   6.741E-06  1.555E-05   2.467E-01
   ni58   -2.351E-06  1.241E-04  -8.178E-03  -2.621E-06  1.238E-04  -9.122E-03
   ni60    1.556E-06  5.158E-05   1.328E-02   1.524E-06  5.155E-05   1.301E-02
   ni61    1.844E-05  2.065E-05   9.721E-01   2.106E-05  2.327E-05   1.024E+00
   ni62   -7.053E-06  5.531E-08  -2.109E+00  -7.053E-06  5.531E-08  -2.109E+00
      g    1.077E-06  1.206E-06   9.701E-01   1.409E-06  1.538E-06   1.076E+00
                            7.0M Z=0.008 VW93
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -5.298E-01  3.870E+00  -5.575E-02  -5.364E-01  3.863E+00  -5.649E-02
    he3    4.827E-06  4.827E-06   0.000E+00   4.827E-06  4.827E-06   0.000E+00
    he4    5.096E-01  2.062E+00   1.233E-01   5.128E-01  2.065E+00   1.240E-01
    li7   -2.510E-08  5.966E-10  -1.634E+00  -2.510E-08  5.966E-10  -1.634E+00
    c12   -3.712E-03  4.822E-03  -2.480E-01  -5.495E-04  7.985E-03  -2.893E-02
    c13    4.587E-04  5.573E-04   7.522E-01   4.570E-04  5.556E-04   7.509E-01
    n14    3.028E-02  3.290E-02   1.099E+00   3.021E-02  3.283E-02   1.098E+00
    n15   -8.888E-06  1.066E-06  -9.703E-01  -8.889E-06  1.065E-06  -9.707E-01
    o16   -7.595E-03  1.618E-02  -1.672E-01  -7.502E-03  1.627E-02  -1.647E-01
    o17    4.897E-05  5.827E-05   7.968E-01   4.890E-05  5.820E-05   7.963E-01
    o18   -5.051E-05  1.328E-06  -1.592E+00  -5.051E-05  1.328E-06  -1.592E+00
    f19   -8.383E-07  5.011E-07  -4.270E-01  -5.950E-07  7.445E-07  -2.551E-01
   ne20    2.668E-06  4.345E-03   2.413E-04   5.976E-06  4.349E-03   5.718E-04
   ne21   -1.024E-05  8.442E-07  -1.118E+00  -9.838E-06  1.246E-06  -9.492E-01
   ne22    4.251E-04  7.740E-04   3.461E-01   5.023E-04  8.512E-04   3.873E-01
   na23    5.816E-05  1.537E-04   2.065E-01   5.933E-05  1.548E-04   2.098E-01
   mg24   -4.514E-04  9.486E-04  -1.691E-01  -4.519E-04  9.481E-04  -1.693E-01
   mg25    5.086E-04  6.933E-04   5.745E-01   5.391E-04  7.237E-04   5.932E-01
   mg26    2.049E-04  4.162E-04   2.943E-01   2.837E-04  4.951E-04   3.696E-01
   al26    1.510E-05  1.510E-05   0.000E+00   1.507E-05  1.507E-05   0.000E+00
   al27    9.430E-06  1.642E-04   2.566E-02   1.124E-05  1.660E-04   3.042E-02
   si28    1.983E-05  1.799E-03   4.789E-03   2.226E-05  1.801E-03   5.375E-03
   si29    3.799E-06  9.715E-05   1.730E-02   4.597E-06  9.795E-05   2.085E-02
   si30    6.273E-06  7.037E-05   4.053E-02   7.960E-06  7.206E-05   5.082E-02
    p31    1.130E-06  1.810E-05   2.796E-02   1.520E-06  1.849E-05   3.722E-02
    s32   -4.186E-06  1.259E-03  -1.468E-03  -5.226E-06  1.258E-03  -1.826E-03
    s33    9.646E-08  1.037E-05   4.031E-03   1.052E-07  1.038E-05   4.398E-03
    s34   -3.632E-06  5.104E-04  -3.104E-03  -4.357E-06  5.097E-04  -3.722E-03
    s35    3.979E-06  3.979E-06   0.000E+00   4.792E-06  4.792E-06   0.000E+00
   fe54   -2.344E-06  1.900E-04  -5.349E-03  -2.669E-06  1.897E-04  -6.093E-03
   fe55    5.263E-07  5.263E-07   0.000E+00   5.259E-07  5.259E-07   0.000E+00
   fe56   -2.395E-05  3.131E-03  -3.335E-03  -2.884E-05  3.126E-03  -4.014E-03
   fe57    2.745E-06  7.976E-05   1.518E-02   2.787E-06  7.980E-05   1.541E-02
   fe58    1.011E-05  2.009E-05   3.039E-01   1.138E-05  2.135E-05   3.304E-01
   fe60    4.285E-06  4.285E-06   0.000E+00   5.821E-06  5.821E-06   0.000E+00
   co59    3.734E-06  1.327E-05   1.435E-01   4.366E-06  1.390E-05   1.637E-01
   ni58   -1.512E-06  1.352E-04  -4.854E-03  -1.744E-06  1.350E-04  -5.600E-03
