# Minitial =  1.00 msun, Z = 0.0001, Mfinal = 0.720 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      g      1   5.8190168E-09  5.8983649E-09  7.9347945E-11  2.1065592E-08  2.8343647E-10  1.8711179E+00
      n      1  -3.2538150E-42 -3.2538150E-42  0.0000000E+00 -1.1620968E-41  0.0000000E+00  0.0000000E+00
      p      1  -5.6426227E-03  2.0989175E-01  2.1553437E-01  7.4961346E-01  7.6990402E-01 -1.1599216E-02
      d      2   1.2029389E-18  1.2029389E-18  0.0000000E+00  4.2962107E-18  0.0000000E+00  0.0000000E+00
    he3      3   7.3368217E-05  7.3368217E-05  0.0000000E+00  2.6202938E-04  0.0000000E+00  0.0000000E+00
    he4      4   5.3025037E-03  6.9691263E-02  6.4388759E-02  2.4889739E-01  2.3000120E-01  3.4290235E-02
    li7      7  -4.0133386E-10  1.2091222E-10  5.2224608E-10  4.3182941E-10  1.8655000E-09 -6.3548303E-01
    be7      7   4.8812399E-12  4.8812399E-12  0.0000000E+00  1.7433001E-11  0.0000000E+00  0.0000000E+00
     b8      8   3.3843250E-27  3.3843250E-27  0.0000000E+00  1.2086876E-26  0.0000000E+00  0.0000000E+00
    c12     12   2.5033855E-04  2.5458267E-04  4.2441152E-06  9.0922392E-04  1.5160279E-05  1.7779636E+00
    c13     13   1.9700323E-07  2.4808170E-07  5.1078480E-08  8.8600621E-07  1.8245595E-07  6.8627870E-01
    c14     14  -1.6877937E-11 -1.6877937E-11  0.0000000E+00 -6.0278352E-11  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.0191212E-06  5.5655069E-06  1.5463856E-06  1.9876812E-05  5.5237988E-06  5.5610889E-01
    n15     15   2.7312108E-10  6.3801147E-09  6.1069936E-09  2.2786127E-08  2.1814614E-08  1.8922966E-02
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   1.1374957E-05  2.4805668E-05  1.3430711E-05  8.8591682E-05  4.7975449E-05  2.6637393E-01
    o17     17   7.2523612E-08  7.7964771E-08  5.4411577E-09  2.7844564E-07  1.9436200E-08  1.1561291E+00
