0.300   4.338e-13   4.548e-13   5.192e-15   3.516e-24   5.504e-24   1.368e-25
0.305   4.482e-13   4.691e-13   5.356e-15   3.628e-24   5.717e-24   1.407e-25
0.310   4.633e-13   4.834e-13   5.518e-15   3.744e-24   5.936e-24   1.446e-25
0.315   4.788e-13   4.977e-13   5.681e-15   3.861e-24   6.159e-24   1.485e-25
0.320   4.943e-13   5.123e-13   5.846e-15   3.979e-24   6.384e-24   1.525e-25
0.325   5.101e-13   5.270e-13   6.012e-15   4.099e-24   6.612e-24   1.565e-25
0.330   5.261e-13   5.418e-13   6.181e-15   4.220e-24   6.842e-24   1.606e-25
0.335   5.422e-13   5.569e-13   6.351e-15   4.343e-24   7.075e-24   1.647e-25
0.340   5.584e-13   5.718e-13   6.519e-15   4.465e-24   7.308e-24   1.687e-25
0.345   5.744e-13   5.861e-13   6.678e-15   4.586e-24   7.537e-24   1.725e-25
0.350   5.904e-13   5.999e-13   6.828e-15   4.704e-24   7.763e-24   1.761e-25
0.355   6.063e-13   6.135e-13   6.976e-15   4.822e-24   7.989e-24   1.795e-25
0.360   6.225e-13   6.273e-13   7.125e-15   4.941e-24   8.218e-24   1.830e-25
0.365   6.388e-13   6.412e-13   7.276e-15   5.062e-24   8.449e-24   1.866e-25
0.370   6.554e-13   6.553e-13   7.428e-15   5.184e-24   8.682e-24   1.901e-25
0.375   6.721e-13   6.696e-13   7.582e-15   5.307e-24   8.919e-24   1.938e-25
0.380   6.888e-13   6.829e-13   7.721e-15   5.427e-24   9.142e-24   1.970e-25
0.385   7.054e-13   6.950e-13   7.842e-15   5.544e-24   9.351e-24   1.998e-25
0.390   7.219e-13   7.061e-13   7.946e-15   5.658e-24   9.545e-24   2.022e-25
0.395   7.386e-13   7.173e-13   8.050e-15   5.772e-24   9.740e-24   2.045e-25
0.400   7.555e-13   7.286e-13   8.156e-15   5.888e-24   9.938e-24   2.069e-25
0.405   7.726e-13   7.400e-13   8.263e-15   6.006e-24   1.014e-23   2.094e-25
