# # Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# # for k=1.05167e-05 to 1.10271 h/Mpc,
# # number of wavenumbers equal to 112
# # d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization
# # d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# # (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
# #  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# # t_i   stands for theta_i(k,z) with above normalization
# # t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
# #
# #    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_ur                  15:t_ncdm[0]             16:t_ncdm[1]             17:t_ncdm[2]             18:t_tot
1.002652904000539215e-05 -1.616591357669376212e-05 -1.212448656266135812e-05 -1.212448698448294762e-05 -1.616590552037824616e-05 -1.224450280130901428e-05 6.126256737701893940e-01 5.967135646180971031e-01 2.424897396896589523e-05 3.201985369359104386e-08 9.999995544819951787e-01 -2.998724809284023464e-10 -1.527235422397494809e-13 -1.320422169459883525e-16 -1.625496757023464043e-13 -6.167286314511275375e-15
1.124995061548059461e-05 -2.035165546677047930e-05 -1.526382303206992848e-05 -1.526382370061206461e-05 -2.035164269838747584e-05 -1.541491392885887713e-05 6.126255848273666205e-01 5.967135053679598622e-01 3.052764740122412921e-05 4.031060293911762619e-08 9.999994391262255755e-01 -3.775167649155609045e-10 -2.420503037970467730e-13 -2.092726865698795778e-16 -2.576236349436738420e-13 -9.774481625968207571e-15
1.262265220055495281e-05 -2.562117831934675012e-05 -1.921601280043295175e-05 -1.921601386000081421e-05 -2.562115808285663724e-05 -1.940622402566561630e-05 6.126254734177910555e-01 5.967134313609663288e-01 3.843202772000162842e-05 5.074803511781453404e-08 9.999992939020125871e-01 -4.752648738510157031e-10 -3.836234823182041757e-13 -3.316747920540906033e-16 -4.083054674800649702e-13 -1.549149251829754503e-14
1.416284871125793714e-05 -3.225509235575232031e-05 -2.419152381441847213e-05 -2.419152549372036553e-05 -3.225506028314302211e-05 -2.443098406289130858e-05 6.126253329470289222e-01 5.967133379530723536e-01 4.838305098744073105e-05 6.388797949274491249e-08 9.999991110757137092e-01 -5.983222145652431765e-10 -6.080014551096629306e-13 -5.256689202740513805e-16 -6.471196026554564045e-13 -2.455232737204985113e-14
1.589097761951820481e-05 -4.060666017083752890e-05 -3.045531931388759957e-05 -3.045532197540146504e-05 -4.060660933931033617e-05 -3.075677953398443630e-05 6.126251562959805774e-01 5.967132205825053104e-01 6.091064395080293009e-05 8.043018260356894176e-08 9.999988809112613231e-01 -7.532417267393623133e-10 -9.636157895501068457e-13 -8.331288914319126988e-16 -1.025613550236067712e-12 -3.891274935566515766e-14
1.782997014599890340e-05 -5.112060542036342409e-05 -3.834096786438477707e-05 -3.834097208259973355e-05 -5.112052485808626494e-05 -3.872048003713385832e-05 6.126249340628699969e-01 5.967130729689982260e-01 7.668194416519946710e-05 1.012555717340796173e-07 9.999985911517611514e-01 -9.482730903434797045e-10 -1.527224957238247241e-12 -1.320420008203766741e-15 -1.625484138102869690e-12 -6.167241758980108639e-14
2.000555554346383411e-05 -6.435678997831422810e-05 -4.826840679905067543e-05 -4.826841348447293110e-05 -6.435666229621323843e-05 -4.874617835984626474e-05 6.126246541264611656e-01 5.967128871027287396e-01 9.653682696894586219e-05 1.274731663523387989e-07 9.999982263667562821e-01 -1.193801808774800706e-09 -2.420482123058165458e-12 -2.092725331487772380e-15 -2.576211170276191098e-12 -9.774392689012188853e-14
2.244660250832935578e-05 -8.102001915318310192e-05 -6.076630496496911773e-05 -6.076631556064403570e-05 -8.101981679178515906e-05 -6.136777428193203765e-05 6.126243021145011403e-01 5.967126532545893314e-01 1.215326311212880714e-04 1.604791355123014917e-07 9.999977671305348981e-01 -1.502902288481315748e-09 -3.836193158912810753e-12 -3.316743065094980206e-15 -4.083004428190452182e-12 -1.549131517922790208e-13
2.518550225072631297e-05 -1.019975600028973588e-04 -7.650021545997279628e-05 -7.650023225298160652e-05 -1.019972392838000829e-04 -7.725740550290280395e-05 6.126238586412353637e-01 5.967123586712599348e-01 1.530004645059632130e-04 2.020311462537467630e-07 9.999971889879051279e-01 -1.892033683884022414e-09 -6.079931421144212220e-12 -5.256680689366665320e-15 -6.471095768864669471e-12 -2.455197355145481710e-13
2.825859830617854306e-05 -1.284063677710474926e-04 -9.630801764947629522e-05 -9.630804426459647785e-05 -1.284058594697297352e-04 -9.726123971906597070e-05 6.126233003991234938e-01 5.967119878844021619e-01 1.926160885291929557e-04 2.543419608860287585e-07 9.999964611517827562e-01 -2.381916282918820481e-09 -9.635992025311308270e-12 -8.331272330853581186e-15 -1.025593546068998930e-11 -3.891204338546663475e-13
3.170666879223851971e-05 -1.616525298544641540e-04 -1.212445353093281620e-04 -1.212445774914417855e-04 -1.616517242595408917e-04 -1.224445332069739169e-04 6.126225974742977032e-01 5.967115209690115885e-01 2.424891549828835709e-04 3.201972677442567827e-07 9.999955448640605038e-01 -2.998634257898433883e-09 -1.527191859777993308e-11 -1.320416821965904374e-14 -1.625444222274151907e-11 -6.167100893060634984e-13
