  0.131423E-03  0.248021E+06  0.248019E+06  0.330450E+06  0.330421E+06  0.000000E+00  0.248021E+06  0.248021E+06  0.258106E+06 -0.604609E+00  0.246867E+06  0.246866E+06  0.507519E+01
  0.145112E-03  0.248018E+06  0.248017E+06  0.330393E+06  0.330358E+06  0.000000E+00  0.248018E+06  0.248018E+06  0.258101E+06 -0.604598E+00  0.246864E+06  0.246864E+06  0.560375E+01
  0.160227E-03  0.248015E+06  0.248013E+06  0.330323E+06  0.330281E+06  0.000000E+00  0.248015E+06  0.248015E+06  0.258096E+06 -0.604585E+00  0.246861E+06  0.246860E+06  0.618734E+01
  0.176917E-03  0.248012E+06  0.248009E+06  0.330239E+06  0.330187E+06  0.000000E+00  0.248011E+06  0.248011E+06  0.258090E+06 -0.604569E+00  0.246857E+06  0.246857E+06  0.683168E+01
  0.195345E-03  0.248007E+06  0.248004E+06  0.330136E+06  0.330073E+06  0.000000E+00  0.248006E+06  0.248006E+06  0.258082E+06 -0.604550E+00  0.246853E+06  0.246852E+06  0.754308E+01
  0.215692E-03  0.248001E+06  0.247997E+06  0.330010E+06  0.329933E+06  0.000000E+00  0.248001E+06  0.248001E+06  0.258072E+06 -0.604526E+00  0.246847E+06  0.246846E+06  0.832852E+01
  0.238159E-03  0.247995E+06  0.247990E+06  0.329856E+06  0.329763E+06  0.000000E+00  0.247994E+06  0.247994E+06  0.258060E+06 -0.604497E+00  0.246840E+06  0.246839E+06  0.919568E+01
  0.262965E-03  0.247986E+06  0.247980E+06  0.329670E+06  0.329556E+06  0.000000E+00  0.247985E+06  0.247985E+06  0.258046E+06 -0.604461E+00  0.246832E+06  0.246831E+06  0.101531E+02
  0.290356E-03  0.247976E+06  0.247969E+06  0.329442E+06  0.329304E+06  0.000000E+00  0.247975E+06  0.247975E+06  0.258028E+06 -0.604418E+00  0.246822E+06  0.246820E+06  0.112100E+02
  0.320600E-03  0.247964E+06  0.247955E+06  0.329165E+06  0.328996E+06  0.000000E+00  0.247962E+06  0.247962E+06  0.258007E+06 -0.604365E+00  0.246810E+06  0.246808E+06  0.123768E+02
  0.353994E-03  0.247949E+06  0.247938E+06  0.328827E+06  0.328622E+06  0.000000E+00  0.247947E+06  0.247947E+06  0.257981E+06 -0.604301E+00  0.246795E+06  0.246792E+06  0.136648E+02
  0.390866E-03  0.247931E+06  0.247917E+06  0.328415E+06  0.328166E+06  0.000000E+00  0.247928E+06  0.247928E+06  0.257949E+06 -0.604223E+00  0.246777E+06  0.246773E+06  0.150867E+02
  0.431579E-03  0.247908E+06  0.247892E+06  0.327914E+06  0.327610E+06  0.000000E+00  0.247906E+06  0.247906E+06  0.257910E+06 -0.604128E+00  0.246754E+06  0.246750E+06  0.166561E+02
  0.476532E-03  0.247881E+06  0.247861E+06  0.327304E+06  0.326934E+06  0.000000E+00  0.247878E+06  0.247878E+06  0.257863E+06 -0.604012E+00  0.246727E+06  0.246722E+06  0.183883E+02
  0.526168E-03  0.247848E+06  0.247824E+06  0.326562E+06  0.326112E+06  0.000000E+00  0.247844E+06  0.247844E+06  0.257805E+06 -0.603871E+00  0.246694E+06  0.246688E+06  0.202999E+02
  0.580974E-03  0.247808E+06  0.247778E+06  0.325659E+06  0.325112E+06  0.000000E+00  0.247803E+06  0.247803E+06  0.257735E+06 -0.603699E+00  0.246654E+06  0.246647E+06  0.224094E+02
  0.641489E-03  0.247759E+06  0.247723E+06  0.324561E+06  0.323897E+06  0.000000E+00  0.247753E+06  0.247753E+06  0.257650E+06 -0.603490E+00  0.246605E+06  0.246596E+06  0.247370E+02
  0.708307E-03  0.247699E+06  0.247655E+06  0.323227E+06  0.322420E+06  0.000000E+00  0.247692E+06  0.247692E+06  0.257547E+06 -0.603235E+00  0.246545E+06  0.246534E+06  0.273047E+02
  0.782085E-03  0.247626E+06  0.247573E+06  0.321607E+06  0.320629E+06  0.000000E+00  0.247617E+06  0.247617E+06  0.257420E+06 -0.602925E+00  0.246473E+06  0.246459E+06  0.301367E+02
  0.863548E-03  0.247537E+06  0.247472E+06  0.319641E+06  0.318457E+06  0.000000E+00  0.247526E+06  0.247526E+06  0.257267E+06 -0.602549E+00  0.246384E+06  0.246368E+06  0.332596E+02
  0.953495E-03  0.247429E+06  0.247350E+06  0.317258E+06  0.315826E+06  0.000000E+00  0.247416E+06  0.247416E+06  0.257081E+06 -0.602091E+00  0.246276E+06  0.246256E+06  0.367023E+02
