# in Mpc/h Units 
# D1 = 0.177391 
# k P N P(z=0)
1.5708 0.268616 6 8.53632
2.22144 0.293765 12 9.33552
2.7207 0.388054 8 12.3319
3.14159 0.0784137 6 2.4919
3.51241 0.067877 24 2.15705
3.84765 0.067396 24 2.14177
4.44288 0.0401121 12 1.27472
4.71239 2.54283 30 80.8081
4.96729 0.0982129 24 3.12109
5.20974 0.160195 24 5.09081
5.4414 0.446499 8 14.1892
5.66359 0.0370445 24 1.17723
5.87738 0.144914 48 4.60519
6.28319 0.0553665 6 1.75948
6.55703 0.0842885 84 2.67859
6.84694 0.121616 24 3.86482
7.02481 0.0480684 24 1.52756
7.25476 0.0468043 72 1.48739
7.6953 0.0713142 24 2.26628
7.96377 0.0390594 102 1.24126
8.1621 0.0267625 32 0.850482
8.51684 0.0316995 120 1.00737
8.88577 0.0515061 12 1.63681
9.15858 0.0360365 144 1.1452
9.48256 0.706973 54 22.4668
9.74593 0.0562506 96 1.78758
10.1275 0.0563178 168 1.78972
10.5564 0.0445293 144 1.41509
11.0536 0.0476112 146 1.51303
11.4241 0.0322361 240 1.02443
11.9234 0.0262784 192 0.835098
12.3255 0.020659 168 0.65652
12.7651 0.0188309 270 0.598426
13.1907 0.0186247 228 0.591872
13.6659 0.0189299 344 0.60157
14.2646 0.0549558 342 1.74643
14.7875 0.0202221 456 0.642634
15.4187 0.0202836 396 0.644589
15.942 0.0171571 486 0.545233
16.5482 0.015003 560 0.476777
17.1639 0.0122181 558 0.388277
17.8011 0.0102494 708 0.325713
18.4303 0.0101103 672 0.321295
19.1824 0.0133306 998 0.42363
19.9469 0.00904344 924 0.28739
20.6808 0.00838146 1014 0.266353
21.3842 0.00832909 1064 0.264689
22.2186 0.00607676 1434 0.193112
23.0657 0.00637865 1440 0.202706
23.935 0.00629503 1662 0.200049
24.8633 0.00504932 1898 0.160461
25.7971 0.00543444 2040 0.1727
26.7938 0.00440308 2378 0.139925
27.7886 0.00408737 2430 0.129892
28.8178 0.0035491 2964 0.112786
29.9415 0.0034452 3278 0.109484
31.0801 0.0035769 3618 0.11367
32.231 0.00305871 3896 0.0972022
33.4697 0.00298047 4770 0.0947158
34.7575 0.0026495 4902 0.0841982
36.0407 0.00264903 5522 0.084183
37.3988 0.00242501 6402 0.0770639
38.8321 0.00210926 7118 0.0670298
40.2872 0.0022053 7634 0.0700819
41.8167 0.00186861 9090 0.0593823
43.399 0.00174778 9566 0.0555424
45.0279 0.00165846 11034 0.0527038
46.7308 0.001488 12290 0.0472869
48.5017 0.00133284 13706 0.0423562
50.3097 0.00123927 14970 0.0393825
52.197 0.00113643 17198 0.0361145
54.1738 0.00105378 19016 0.0334878
56.2203 0.000966591 21458 0.0307171
58.3613 0.000904185 24186 0.028734
60.5794 0.000850735 26624 0.0270354
62.8515 0.000800379 29594 0.0254351
65.2265 0.00075437 33536 0.023973
67.6932 0.000725771 37166 0.0230642
70.2489 0.00069083 41720 0.0219538
72.8971 0.000661414 46280 0.021019
75.6319 0.000635505 51536 0.0201956
78.4853 0.000611176 58466 0.0194225
81.4754 0.000591854 65564 0.0188084
84.5539 0.000575467 72080 0.0182877
87.7413 0.000573531 81380 0.0182261
91.0485 0.000565248 90070 0.0179629
94.4801 0.000571252 101516 0.0181537
98.0438 0.000575731 112736 0.0182961
101.721 0.000577673 122371 0.0183578
105.563 0.000574704 120908 0.0182634
109.542 0.000574382 118888 0.0182532
113.676 0.000574157 115424 0.0182461
117.973 0.000581299 110068 0.018473
122.414 0.000598965 101516 0.0190344
127.021 0.000631309 92536 0.0200623
131.796 0.000666357 78532 0.0211761
136.72 0.000735629 62872 0.0233774
141.817 0.000766195 43009 0.0243488
147.18 0.000790052 27262 0.0251069
152.694 0.000857386 16264 0.0272467
158.385 0.00101248 8614 0.0321755
164.073 0.00125358 3046 0.0398374
169.186 0.00131808 550 0.0418872
174.125 0.000356945 1 0.0113433
