# in Mpc/h Units 
# D1 = 0.0648422 
# k P N P(z=0)
1.5708 0.0393579 6 9.36087
2.22144 0.0456104 12 10.848
2.7207 0.0546751 8 13.0039
3.14159 0.0108515 6 2.58091
3.51241 0.00940977 24 2.23802
3.84765 0.00720243 24 1.71302
4.44288 0.0047588 12 1.13183
4.71239 1.62735 30 387.048
4.96729 0.00804183 24 1.91267
5.20974 0.0154458 24 3.67362
5.4414 0.038505 8 9.15802
5.66359 0.00313565 24 0.745781
5.87738 0.0130585 48 3.10583
6.28319 0.00420042 6 0.999025
6.55703 0.00967853 84 2.30194
6.84694 0.00992134 24 2.35969
7.02481 0.003485 24 0.828871
7.25476 0.00485778 72 1.15537
7.6953 0.0025617 24 0.609274
7.96377 0.00297585 102 0.707774
8.1621 0.00213608 32 0.508044
8.51684 0.00276762 120 0.658249
8.88577 0.000766078 12 0.182204
9.15858 0.00198302 144 0.47164
9.48256 0.377774 54 89.8495
9.74593 0.00417393 96 0.992726
10.1275 0.00365105 168 0.868364
10.5564 0.00284653 144 0.677019
11.0536 0.00531056 146 1.26306
11.4241 0.00188838 240 0.449132
11.9234 0.00165419 192 0.393433
12.3255 0.000803433 168 0.191088
12.7651 0.00115362 270 0.274377
13.1907 0.000957298 228 0.227684
13.6659 0.000821594 344 0.195408
14.2646 0.010982 342 2.61196
14.7875 0.00084344 456 0.200604
15.4187 0.000749927 396 0.178362
15.942 0.000873937 486 0.207857
16.5482 0.000527035 560 0.12535
17.1639 0.000413926 558 0.0984481
17.8011 0.000392743 708 0.0934098
18.4303 0.000323794 672 0.0770111
19.1824 0.000327308 998 0.0778468
19.9469 0.00029557 924 0.0702983
20.6808 0.000285412 1014 0.0678822
21.3842 0.000198164 1064 0.0471312
22.2186 0.000234172 1434 0.0556954
23.0657 0.000191047 1440 0.0454386
23.935 0.000377577 1662 0.0898028
24.8633 0.000192708 1898 0.0458335
25.7971 0.00020469 2040 0.0486833
26.7938 0.000236265 2378 0.0561931
27.7886 0.000196996 2430 0.0468534
28.8178 0.000240048 2964 0.0570929
29.9415 0.000196442 3278 0.0467217
31.0801 0.000208142 3618 0.0495045
32.231 0.000197633 3896 0.0470049
33.4697 0.000309969 4770 0.0737229
34.7575 0.000232127 4902 0.0552091
36.0407 0.000256683 5522 0.0610494
37.3988 0.000340471 6402 0.0809776
38.8321 0.000348825 7118 0.0829644
40.2872 0.000314821 7634 0.0748769
41.8167 0.000305246 9090 0.0725995
43.399 0.000297098 9566 0.0706616
45.0279 0.00025138 11034 0.059788
46.7308 0.00021491 12290 0.0511141
48.5017 0.000218536 13706 0.0519766
50.3097 0.000190539 14970 0.0453178
52.197 0.000196789 17198 0.0468043
54.1738 0.00017945 19016 0.0426803
56.2203 0.000182332 21458 0.0433658
58.3613 0.000169403 24186 0.0402909
60.5794 0.00017387 26624 0.0413532
62.8515 0.000182624 29594 0.0434353
65.2265 0.000191081 33536 0.0454466
67.6932 0.000204303 37166 0.0485914
70.2489 0.000223304 41720 0.0531105
72.8971 0.000230495 46280 0.0548208
75.6319 0.000239156 51536 0.0568807
78.4853 0.000242402 58466 0.0576528
81.4754 0.000250042 65564 0.0594699
84.5539 0.000252427 72080 0.060037
87.7413 0.000257104 81380 0.0611495
91.0485 0.000258753 90070 0.0615417
94.4801 0.000272602 101516 0.0648355
98.0438 0.000284405 112736 0.0676428
101.721 0.000279101 122371 0.0663812
105.563 0.000277368 120908 0.0659692
109.542 0.000292847 118888 0.0696506
113.676 0.000299204 115424 0.0711625
117.973 0.00031607 110068 0.0751739
122.414 0.000341412 101516 0.0812013
127.021 0.000374377 92536 0.0890417
131.796 0.000419714 78532 0.0998246
136.72 0.000472967 62872 0.11249
141.817 0.000497631 43009 0.118356
147.18 0.000553441 27262 0.13163
152.694 0.000601003 16264 0.142942
158.385 0.000798448 8614 0.189902
164.073 0.00106942 3046 0.25435
169.186 0.00153783 550 0.365757
174.125 0.000157932 1 0.0375625
