# in Mpc/h Units 
# D1 = 0.0206875 
# k P N P(z=0)
1.5708 0.00464775 6 10.8599
2.22144 0.00562286 12 13.1383
2.7207 0.007064 8 16.5057
3.14159 0.00104593 6 2.44392
3.51241 0.00130813 24 3.05658
3.84765 0.000932286 24 2.17837
4.44288 0.000737948 12 1.72428
4.71239 0.394802 30 922.491
4.96729 0.000388839 24 0.908558
5.20974 0.000918967 24 2.14725
5.4414 0.00125409 8 2.9303
5.66359 0.000384064 24 0.897401
5.87738 0.000917534 48 2.1439
6.28319 0.000567188 6 1.32529
6.55703 0.000576948 84 1.34809
6.84694 0.000770646 24 1.80069
7.02481 0.000277831 24 0.649179
7.25476 0.000329484 72 0.769871
7.6953 0.000242894 24 0.567544
7.96377 0.000340686 102 0.796045
8.1621 0.000173831 32 0.406173
8.51684 0.000203107 120 0.474579
8.88577 0.000117678 12 0.274965
9.15858 0.000169483 144 0.396013
9.48256 0.100795 54 235.517
9.74593 0.000172924 96 0.404052
10.1275 0.00021515 168 0.502719
10.5564 0.000295652 144 0.690818
11.0536 0.000253832 146 0.593102
11.4241 0.000166981 240 0.390167
11.9234 0.000125892 192 0.294159
12.3255 0.000132406 168 0.30938
12.7651 0.000132449 270 0.30948
13.1907 9.01952e-05 228 0.21075
13.6659 9.77933e-05 344 0.228503
14.2646 0.00903571 342 21.1128
14.7875 8.19826e-05 456 0.19156
15.4187 0.000150943 396 0.352692
15.942 9.53141e-05 486 0.22271
16.5482 8.80976e-05 560 0.205848
17.1639 9.26625e-05 558 0.216515
17.8011 5.1404e-05 708 0.12011
18.4303 5.37159e-05 672 0.125512
19.1824 0.00192054 998 4.48753
19.9469 8.16375e-05 924 0.190754
20.6808 6.63553e-05 1014 0.155045
21.3842 4.5054e-05 1064 0.105273
22.2186 4.89531e-05 1434 0.114384
23.0657 3.21127e-05 1440 0.0750343
23.935 0.000756264 1662 1.76708
24.8633 5.56136e-05 1898 0.129946
25.7971 3.33361e-05 2040 0.077893
26.7938 4.58326e-05 2378 0.107092
27.7886 0.000347531 2430 0.812037
28.8178 0.000251109 2964 0.586739
29.9415 3.36523e-05 3278 0.0786317
31.0801 2.94558e-05 3618 0.0688263
32.231 2.16315e-05 3896 0.0505441
33.4697 0.000132544 4770 0.3097
34.7575 1.89435e-05 4902 0.0442632
36.0407 1.93284e-05 5522 0.0451627
37.3988 6.87759e-05 6402 0.160701
38.8321 1.84745e-05 7118 0.0431673
40.2872 1.53658e-05 7634 0.0359035
41.8167 3.8226e-05 9090 0.0893186
43.399 1.42742e-05 9566 0.033353
45.0279 1.17444e-05 11034 0.0274419
46.7308 2.35872e-05 12290 0.0551136
48.5017 1.21939e-05 13706 0.0284923
50.3097 1.03069e-05 14970 0.0240829
52.197 1.663e-05 17198 0.0388575
54.1738 9.80831e-06 19016 0.022918
56.2203 1.25399e-05 21458 0.0293007
58.3613 1.27908e-05 24186 0.029887
60.5794 1.16071e-05 26624 0.0271211
62.8515 1.11184e-05 29594 0.0259791
65.2265 1.30004e-05 33536 0.0303767
67.6932 1.6061e-05 37166 0.0375281
70.2489 3.23664e-05 41720 0.0756272
72.8971 8.51847e-05 46280 0.199042
75.6319 0.00015525 51536 0.362757
78.4853 0.000141714 58466 0.331128
81.4754 0.000124787 65564 0.291577
84.5539 0.000127439 72080 0.297773
87.7413 0.000185284 81380 0.432933
91.0485 0.000226151 90070 0.528424
94.4801 0.000557419 101516 1.30246
98.0438 0.00109863 112736 2.56704
101.721 0.000386046 122371 0.902034
105.563 0.00010878 120908 0.254174
109.542 0.000131362 118888 0.306939
113.676 0.000146536 115424 0.342394
117.973 0.000169784 110068 0.396717
122.414 0.000203219 101516 0.47484
127.021 0.000285827 92536 0.667861
131.796 0.000538521 78532 1.25831
136.72 0.00155811 62872 3.64068
141.817 0.00149855 43009 3.5015
147.18 0.000219621 27262 0.513165
152.694 0.000380215 16264 0.888407
158.385 0.000867323 8614 2.02658
164.073 0.00262151 3046 6.1254
169.186 0.00947892 550 22.1484
174.125 0.00136869 1 3.19807
