# in Mpc/h Units 
# D1 = 0.221348 
# k P N P(z=0)
1.5708 0.402667 6 8.2185
2.22144 0.431576 12 8.80855
2.7207 0.571139 8 11.6571
3.14159 0.109282 6 2.23046
3.51241 0.104613 24 2.13517
3.84765 0.108894 24 2.22255
4.44288 0.0663815 12 1.35486
4.71239 2.65181 30 54.124
4.96729 0.155733 24 3.17854
5.20974 0.24522 24 5.00498
5.4414 0.703648 8 14.3616
5.66359 0.0624508 24 1.27463
5.87738 0.234338 48 4.78288
6.28319 0.102657 6 2.09525
6.55703 0.135311 84 2.76172
6.84694 0.211308 24 4.31284
7.02481 0.0852238 24 1.73943
7.25476 0.0769217 72 1.56999
7.6953 0.129793 24 2.64909
7.96377 0.0719003 102 1.4675
8.1621 0.0576484 32 1.17661
8.51684 0.0590314 120 1.20484
8.88577 0.10094 12 2.0602
9.15858 0.0664553 144 1.35637
9.48256 0.744211 54 15.1895
9.74593 0.0942604 96 1.92387
10.1275 0.0974466 168 1.9889
10.5564 0.0810815 144 1.65489
11.0536 0.0785218 146 1.60265
11.4241 0.0644037 240 1.31449
11.9234 0.0531269 192 1.08433
12.3255 0.0436632 168 0.891174
12.7651 0.0385282 270 0.786367
13.1907 0.0425601 228 0.86866
13.6659 0.0379007 344 0.773561
14.2646 0.0719915 342 1.46936
14.7875 0.0399115 456 0.814601
15.4187 0.0408026 396 0.832789
15.942 0.0329314 486 0.672137
16.5482 0.0335715 560 0.685202
17.1639 0.0263031 558 0.536852
17.8011 0.0235325 708 0.480303
18.4303 0.0237227 672 0.484185
19.1824 0.0251051 998 0.512401
19.9469 0.0210016 924 0.428648
20.6808 0.0185255 1014 0.37811
21.3842 0.0194772 1064 0.397534
22.2186 0.0144676 1434 0.295286
23.0657 0.0153887 1440 0.314086
23.935 0.0137666 1662 0.280978
24.8633 0.0117589 1898 0.240002
25.7971 0.0123621 2040 0.252314
26.7938 0.0111648 2378 0.227875
27.7886 0.0101734 2430 0.207641
28.8178 0.00878108 2964 0.179223
29.9415 0.00832699 3278 0.169955
31.0801 0.00878302 3618 0.179263
32.231 0.00731684 3896 0.149338
33.4697 0.00662548 4770 0.135227
34.7575 0.00587081 4902 0.119824
36.0407 0.00605976 5522 0.123681
37.3988 0.00526577 6402 0.107475
38.8321 0.0050244 7118 0.102549
40.2872 0.00475425 7634 0.0970352
41.8167 0.00421772 9090 0.0860845
43.399 0.00386468 9566 0.078879
45.0279 0.00348955 11034 0.0712224
46.7308 0.00323866 12290 0.0661018
48.5017 0.00302216 13706 0.0616829
50.3097 0.00274495 14970 0.0560251
52.197 0.00253278 17198 0.0516944
54.1738 0.00227369 19016 0.0464065
56.2203 0.00208506 21458 0.0425564
58.3613 0.00197023 24186 0.0402127
60.5794 0.00182847 26624 0.0373194
62.8515 0.00170348 29594 0.0347684
65.2265 0.00161058 33536 0.0328722
67.6932 0.00150274 37166 0.0306712
70.2489 0.00141397 41720 0.0288593
72.8971 0.00133549 46280 0.0272577
75.6319 0.0012602 51536 0.025721
78.4853 0.00118676 58466 0.0242221
81.4754 0.00113498 65564 0.0231652
84.5539 0.00107571 72080 0.0219555
87.7413 0.00104854 81380 0.021401
91.0485 0.00101922 90070 0.0208024
94.4801 0.000988462 101516 0.0201747
98.0438 0.000970673 112736 0.0198116
101.721 0.000966848 122371 0.0197336
105.563 0.000937209 120908 0.0191286
109.542 0.000909162 118888 0.0185562
113.676 0.000893145 115424 0.0182293
117.973 0.00088169 110068 0.0179955
122.414 0.000895828 101516 0.018284
127.021 0.000906066 92536 0.018493
131.796 0.000973036 78532 0.0198599
136.72 0.00101634 62872 0.0207437
141.817 0.00109874 43009 0.0224256
147.18 0.00111058 27262 0.0226671
152.694 0.00119689 16264 0.0244288
158.385 0.00142037 8614 0.02899
164.073 0.00176747 3046 0.0360744
169.186 0.00264664 550 0.0540184
174.125 0.00255637 1 0.0521761
