# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.5708 1.06922e-11 12 1.06922e-11
2.22144 8.75533e-11 24 8.75533e-11
2.7207 1.2008e-10 16 1.2008e-10
3.14159 3.41624e-11 12 3.41624e-11
3.51241 3.28777e-10 48 3.28777e-10
3.84765 3.9324e-10 48 3.9324e-10
4.44288 3.439e-10 24 3.439e-10
4.71239 4.6008e-10 60 4.6008e-10
4.96729 7.02133e-10 48 7.02133e-10
5.20974 9.15231e-10 48 9.15231e-10
5.4414 2.92073e-09 16 2.92073e-09
5.66359 1.05653e-09 48 1.05653e-09
5.87738 1.5161e-09 96 1.5161e-09
6.28319 2.89279e-09 12 2.89279e-09
6.55703 2.22331e-09 168 2.22331e-09
6.84694 2.34357e-09 48 2.34357e-09
7.02481 1.91866e-09 48 1.91866e-09
7.25476 2.04059e-09 144 2.04059e-09
7.6953 3.25516e-09 48 3.25516e-09
7.96377 3.49072e-09 204 3.49072e-09
8.1621 5.27534e-09 64 5.27534e-09
8.51684 4.47421e-09 240 4.47421e-09
8.88577 3.37535e-09 24 3.37535e-09
9.15858 4.67601e-09 288 4.67601e-09
9.48256 8.11549e-09 108 8.11549e-09
9.74593 9.47473e-09 192 9.47473e-09
10.1275 8.05942e-09 336 8.05942e-09
10.5564 9.00921e-09 288 9.00921e-09
11.0536 9.60938e-09 292 9.60938e-09
11.4241 1.41307e-08 480 1.41307e-08
11.9234 1.59667e-08 384 1.59667e-08
12.3255 1.75038e-08 336 1.75038e-08
12.7651 2.26125e-08 540 2.26125e-08
13.1907 2.2622e-08 456 2.2622e-08
13.6659 1.93707e-08 688 1.93707e-08
14.2646 3.28201e-08 684 3.28201e-08
14.7875 3.14521e-08 912 3.14521e-08
15.4187 3.63135e-08 792 3.63135e-08
15.942 4.95391e-08 972 4.95391e-08
16.5482 4.96395e-08 1120 4.96395e-08
17.1639 5.5488e-08 1116 5.5488e-08
17.8011 6.43289e-08 1416 6.43289e-08
18.4303 7.64637e-08 1344 7.64637e-08
19.1824 9.09266e-08 1996 9.09266e-08
19.9469 9.32156e-08 1848 9.32156e-08
20.6808 1.15051e-07 2028 1.15051e-07
21.3842 1.2754e-07 2128 1.2754e-07
22.2186 1.65817e-07 2868 1.65817e-07
23.0657 1.61481e-07 2880 1.61481e-07
23.935 2.18839e-07 3324 2.18839e-07
24.8633 2.26932e-07 3796 2.26932e-07
25.7971 2.63268e-07 4080 2.63268e-07
26.7938 3.2923e-07 4756 3.2923e-07
27.7886 3.59706e-07 4860 3.59706e-07
28.8178 4.37764e-07 5928 4.37764e-07
29.9415 5.0089e-07 6556 5.0089e-07
31.0801 5.56694e-07 7236 5.56694e-07
32.231 6.56067e-07 7792 6.56067e-07
33.4697 7.99795e-07 9540 7.99795e-07
34.7575 9.15352e-07 9804 9.15352e-07
36.0407 1.03898e-06 11044 1.03898e-06
37.3988 1.23158e-06 12804 1.23158e-06
38.8321 1.43404e-06 14236 1.43404e-06
40.2872 1.70483e-06 15268 1.70483e-06
41.8167 2.1202e-06 18180 2.1202e-06
43.399 2.42444e-06 19132 2.42444e-06
45.0279 2.89818e-06 22068 2.89818e-06
46.7308 3.5516e-06 24580 3.5516e-06
48.5017 4.27255e-06 27412 4.27255e-06
50.3097 5.16981e-06 29940 5.16981e-06
52.197 6.10804e-06 34396 6.10804e-06
54.1738 7.60492e-06 38032 7.60492e-06
56.2203 9.51612e-06 42916 9.51612e-06
58.3613 1.1782e-05 48372 1.1782e-05
60.5794 1.53687e-05 53248 1.53687e-05
62.8515 1.92273e-05 59188 1.92273e-05
65.2265 2.45274e-05 67072 2.45274e-05
67.6932 3.12351e-05 74332 3.12351e-05
70.2489 4.00321e-05 83440 4.00321e-05
72.8971 5.10781e-05 92560 5.10781e-05
75.6319 6.4016e-05 103072 6.4016e-05
78.4853 7.94934e-05 116932 7.94934e-05
81.4754 9.88134e-05 131128 9.88134e-05
84.5539 0.000119874 144160 0.000119874
87.7413 0.000140764 162760 0.000140764
91.0485 0.000165571 180140 0.000165571
94.4801 0.000190038 203032 0.000190038
98.0438 0.000215536 225472 0.000215536
101.721 0.000232819 244742 0.000232819
105.563 0.000235318 241816 0.000235318
109.542 0.000237115 237776 0.000237115
113.676 0.000243501 230848 0.000243501
117.973 0.000248047 220136 0.000248047
122.414 0.00025552 203032 0.00025552
127.021 0.000265031 185072 0.000265031
131.796 0.000278262 157064 0.000278262
136.72 0.000295085 125744 0.000295085
141.817 0.000304401 86018 0.000304401
147.18 0.000304594 54524 0.000304594
152.694 0.000326943 32528 0.000326943
158.385 0.000381576 17228 0.000381576
164.073 0.000444998 6092 0.000444998
169.186 0.000581126 1100 0.000581126
174.125 0.00358909 2 0.00358909
