# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.5708 9.66369e-13 12 9.66369e-13
2.22144 9.68432e-13 24 9.68432e-13
2.7207 8.56388e-14 16 8.56388e-14
3.14159 1.15954e-11 12 1.15954e-11
3.51241 1.82799e-11 48 1.82799e-11
3.84765 8.6482e-12 48 8.6482e-12
4.44288 1.32371e-11 24 1.32371e-11
4.71239 1.48672e-11 60 1.48672e-11
4.96729 6.44319e-11 48 6.44319e-11
5.20974 6.02997e-11 48 6.02997e-11
5.4414 2.87261e-12 16 2.87261e-12
5.66359 4.04949e-11 48 4.04949e-11
5.87738 4.11548e-11 96 4.11548e-11
6.28319 7.76248e-11 12 7.76248e-11
6.55703 1.19723e-10 168 1.19723e-10
6.84694 1.00178e-10 48 1.00178e-10
7.02481 2.16433e-10 48 2.16433e-10
7.25476 1.0858e-10 144 1.0858e-10
7.6953 1.41107e-10 48 1.41107e-10
7.96377 2.87527e-10 204 2.87527e-10
8.1621 2.99272e-10 64 2.99272e-10
8.51684 1.96824e-10 240 1.96824e-10
8.88577 1.63811e-10 24 1.63811e-10
9.15858 3.67026e-10 288 3.67026e-10
9.48256 5.53661e-10 108 5.53661e-10
9.74593 5.62496e-10 192 5.62496e-10
10.1275 4.53518e-10 336 4.53518e-10
10.5564 5.9588e-10 288 5.9588e-10
11.0536 5.05675e-10 292 5.05675e-10
11.4241 8.67626e-10 480 8.67626e-10
11.9234 7.87529e-10 384 7.87529e-10
12.3255 1.02195e-09 336 1.02195e-09
12.7651 1.1549e-09 540 1.1549e-09
13.1907 1.17063e-09 456 1.17063e-09
13.6659 1.28811e-09 688 1.28811e-09
14.2646 1.53518e-09 684 1.53518e-09
14.7875 1.78956e-09 912 1.78956e-09
15.4187 1.73595e-09 792 1.73595e-09
15.942 1.96061e-09 972 1.96061e-09
16.5482 2.04889e-09 1120 2.04889e-09
17.1639 2.53289e-09 1116 2.53289e-09
17.8011 2.73689e-09 1416 2.73689e-09
18.4303 2.87944e-09 1344 2.87944e-09
19.1824 3.39918e-09 1996 3.39918e-09
19.9469 2.97667e-09 1848 2.97667e-09
20.6808 3.9135e-09 2028 3.9135e-09
21.3842 3.98803e-09 2128 3.98803e-09
22.2186 4.51874e-09 2868 4.51874e-09
23.0657 4.4921e-09 2880 4.4921e-09
23.935 4.80908e-09 3324 4.80908e-09
24.8633 5.47245e-09 3796 5.47245e-09
25.7971 5.67837e-09 4080 5.67837e-09
26.7938 5.97108e-09 4756 5.97108e-09
27.7886 6.27716e-09 4860 6.27716e-09
28.8178 7.68412e-09 5928 7.68412e-09
29.9415 7.93063e-09 6556 7.93063e-09
31.0801 8.65295e-09 7236 8.65295e-09
32.231 9.23986e-09 7792 9.23986e-09
33.4697 1.10936e-08 9540 1.10936e-08
34.7575 1.20239e-08 9804 1.20239e-08
36.0407 1.30439e-08 11044 1.30439e-08
37.3988 1.52133e-08 12804 1.52133e-08
38.8321 1.70402e-08 14236 1.70402e-08
40.2872 1.91708e-08 15268 1.91708e-08
41.8167 2.24115e-08 18180 2.24115e-08
43.399 2.59294e-08 19132 2.59294e-08
45.0279 3.01878e-08 22068 3.01878e-08
46.7308 3.45859e-08 24580 3.45859e-08
48.5017 3.90743e-08 27412 3.90743e-08
50.3097 4.52322e-08 29940 4.52322e-08
52.197 5.32735e-08 34396 5.32735e-08
54.1738 6.18356e-08 38032 6.18356e-08
56.2203 7.427e-08 42916 7.427e-08
58.3613 8.77216e-08 48372 8.77216e-08
60.5794 1.06136e-07 53248 1.06136e-07
62.8515 1.29116e-07 59188 1.29116e-07
65.2265 1.55392e-07 67072 1.55392e-07
67.6932 1.9277e-07 74332 1.9277e-07
70.2489 2.44757e-07 83440 2.44757e-07
72.8971 3.13878e-07 92560 3.13878e-07
75.6319 4.10551e-07 103072 4.10551e-07
78.4853 5.534e-07 116932 5.534e-07
81.4754 7.76155e-07 131128 7.76155e-07
84.5539 1.11033e-06 144160 1.11033e-06
87.7413 1.61947e-06 162760 1.61947e-06
91.0485 2.43574e-06 180140 2.43574e-06
94.4801 3.65864e-06 203032 3.65864e-06
98.0438 5.30328e-06 225472 5.30328e-06
101.721 0.00183179 244742 0.00183179
105.563 6.29097e-06 241816 6.29097e-06
109.542 6.83462e-06 237776 6.83462e-06
113.676 7.86139e-06 230848 7.86139e-06
117.973 9.2994e-06 220136 9.2994e-06
122.414 1.16505e-05 203032 1.16505e-05
127.021 1.47636e-05 185072 1.47636e-05
131.796 1.79635e-05 157064 1.79635e-05
136.72 2.04516e-05 125744 2.04516e-05
141.817 0.0125767 86018 0.0125767
147.18 2.8496e-05 54524 2.8496e-05
152.694 4.76518e-05 32528 4.76518e-05
158.385 8.38614e-05 17228 8.38614e-05
164.073 0.000101643 6092 0.000101643
169.186 7.23931e-05 1100 7.23931e-05
174.125 485.501 2 485.501
