# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.5708 8.86835e-13 12 8.86835e-13
2.22144 9.66424e-13 24 9.66424e-13
2.7207 3.47238e-14 16 3.47238e-14
3.14159 1.22326e-11 12 1.22326e-11
3.51241 1.88788e-11 48 1.88788e-11
3.84765 1.06811e-11 48 1.06811e-11
4.44288 9.07139e-12 24 9.07139e-12
4.71239 1.43333e-11 60 1.43333e-11
4.96729 7.02311e-11 48 7.02311e-11
5.20974 6.23728e-11 48 6.23728e-11
5.4414 2.60546e-12 16 2.60546e-12
5.66359 3.14028e-11 48 3.14028e-11
5.87738 4.01926e-11 96 4.01926e-11
6.28319 1.05298e-10 12 1.05298e-10
6.55703 1.17317e-10 168 1.17317e-10
6.84694 5.68358e-11 48 5.68358e-11
7.02481 2.32556e-10 48 2.32556e-10
7.25476 1.08088e-10 144 1.08088e-10
7.6953 1.54468e-10 48 1.54468e-10
7.96377 2.74308e-10 204 2.74308e-10
8.1621 3.19552e-10 64 3.19552e-10
8.51684 2.10366e-10 240 2.10366e-10
8.88577 1.63344e-10 24 1.63344e-10
9.15858 3.29647e-10 288 3.29647e-10
9.48256 5.79871e-10 108 5.79871e-10
9.74593 6.55012e-10 192 6.55012e-10
10.1275 4.45129e-10 336 4.45129e-10
10.5564 7.04954e-10 288 7.04954e-10
11.0536 5.52702e-10 292 5.52702e-10
11.4241 9.13361e-10 480 9.13361e-10
11.9234 8.64862e-10 384 8.64862e-10
12.3255 9.75605e-10 336 9.75605e-10
12.7651 1.32469e-09 540 1.32469e-09
13.1907 1.37987e-09 456 1.37987e-09
13.6659 1.45745e-09 688 1.45745e-09
14.2646 1.73617e-09 684 1.73617e-09
14.7875 1.94896e-09 912 1.94896e-09
15.4187 2.11316e-09 792 2.11316e-09
15.942 2.37281e-09 972 2.37281e-09
16.5482 2.43781e-09 1120 2.43781e-09
17.1639 2.9825e-09 1116 2.9825e-09
17.8011 3.11097e-09 1416 3.11097e-09
18.4303 3.47936e-09 1344 3.47936e-09
19.1824 4.33675e-09 1996 4.33675e-09
19.9469 3.76844e-09 1848 3.76844e-09
20.6808 5.53332e-09 2028 5.53332e-09
21.3842 5.08047e-09 2128 5.08047e-09
22.2186 6.0702e-09 2868 6.0702e-09
23.0657 5.87385e-09 2880 5.87385e-09
23.935 6.84241e-09 3324 6.84241e-09
24.8633 7.24288e-09 3796 7.24288e-09
25.7971 7.95155e-09 4080 7.95155e-09
26.7938 8.84588e-09 4756 8.84588e-09
27.7886 8.73143e-09 4860 8.73143e-09
28.8178 1.02725e-08 5928 1.02725e-08
29.9415 1.0795e-08 6556 1.0795e-08
31.0801 1.17717e-08 7236 1.17717e-08
32.231 1.25462e-08 7792 1.25462e-08
33.4697 1.42873e-08 9540 1.42873e-08
34.7575 1.59532e-08 9804 1.59532e-08
36.0407 1.69224e-08 11044 1.69224e-08
37.3988 1.94971e-08 12804 1.94971e-08
38.8321 2.10399e-08 14236 2.10399e-08
40.2872 2.39736e-08 15268 2.39736e-08
41.8167 2.75125e-08 18180 2.75125e-08
43.399 3.18156e-08 19132 3.18156e-08
45.0279 3.60487e-08 22068 3.60487e-08
46.7308 4.08324e-08 24580 4.08324e-08
48.5017 4.59797e-08 27412 4.59797e-08
50.3097 5.31817e-08 29940 5.31817e-08
52.197 6.10938e-08 34396 6.10938e-08
54.1738 7.09201e-08 38032 7.09201e-08
56.2203 8.34724e-08 42916 8.34724e-08
58.3613 9.97448e-08 48372 9.97448e-08
60.5794 1.17746e-07 53248 1.17746e-07
62.8515 1.42234e-07 59188 1.42234e-07
65.2265 1.71097e-07 67072 1.71097e-07
67.6932 2.09439e-07 74332 2.09439e-07
70.2489 2.63813e-07 83440 2.63813e-07
72.8971 3.38348e-07 92560 3.38348e-07
75.6319 4.40424e-07 103072 4.40424e-07
78.4853 5.98792e-07 116932 5.98792e-07
81.4754 8.32553e-07 131128 8.32553e-07
84.5539 1.20641e-06 144160 1.20641e-06
87.7413 1.80774e-06 162760 1.80774e-06
91.0485 2.76942e-06 180140 2.76942e-06
94.4801 4.15507e-06 203032 4.15507e-06
98.0438 5.91081e-06 225472 5.91081e-06
101.721 0.00177496 244742 0.00177496
105.563 6.86125e-06 241816 6.86125e-06
109.542 7.21744e-06 237776 7.21744e-06
113.676 7.8529e-06 230848 7.8529e-06
117.973 8.65675e-06 220136 8.65675e-06
122.414 9.7728e-06 203032 9.7728e-06
127.021 1.11788e-05 185072 1.11788e-05
131.796 1.25835e-05 157064 1.25835e-05
136.72 1.34107e-05 125744 1.34107e-05
141.817 0.0121214 86018 0.0121214
147.18 1.75082e-05 54524 1.75082e-05
152.694 2.40932e-05 32528 2.40932e-05
158.385 3.33698e-05 17228 3.33698e-05
164.073 3.43603e-05 6092 3.43603e-05
169.186 2.97872e-05 1100 2.97872e-05
174.125 465.477 2 465.477
