# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.5708 9.26657e-13 12 9.26657e-13
2.22144 9.77172e-13 24 9.77172e-13
2.7207 5.29004e-14 16 5.29004e-14
3.14159 1.2528e-11 12 1.2528e-11
3.51241 1.87248e-11 48 1.87248e-11
3.84765 9.74887e-12 48 9.74887e-12
4.44288 1.11622e-11 24 1.11622e-11
4.71239 1.41319e-11 60 1.41319e-11
4.96729 6.74195e-11 48 6.74195e-11
5.20974 5.97324e-11 48 5.97324e-11
5.4414 2.83254e-12 16 2.83254e-12
5.66359 3.54909e-11 48 3.54909e-11
5.87738 4.08707e-11 96 4.08707e-11
6.28319 8.98304e-11 12 8.98304e-11
6.55703 1.18082e-10 168 1.18082e-10
6.84694 7.41063e-11 48 7.41063e-11
7.02481 2.20646e-10 48 2.20646e-10
7.25476 1.05789e-10 144 1.05789e-10
7.6953 1.47346e-10 48 1.47346e-10
7.96377 2.80754e-10 204 2.80754e-10
8.1621 3.09768e-10 64 3.09768e-10
8.51684 1.99909e-10 240 1.99909e-10
8.88577 1.58422e-10 24 1.58422e-10
9.15858 3.45729e-10 288 3.45729e-10
9.48256 5.64309e-10 108 5.64309e-10
9.74593 6.0218e-10 192 6.0218e-10
10.1275 4.42877e-10 336 4.42877e-10
10.5564 6.54126e-10 288 6.54126e-10
11.0536 5.2177e-10 292 5.2177e-10
11.4241 8.92403e-10 480 8.92403e-10
11.9234 8.18454e-10 384 8.18454e-10
12.3255 9.96652e-10 336 9.96652e-10
12.7651 1.22707e-09 540 1.22707e-09
13.1907 1.28085e-09 456 1.28085e-09
13.6659 1.35805e-09 688 1.35805e-09
14.2646 1.59541e-09 684 1.59541e-09
14.7875 1.86295e-09 912 1.86295e-09
15.4187 1.8792e-09 792 1.8792e-09
15.942 2.09044e-09 972 2.09044e-09
16.5482 2.22016e-09 1120 2.22016e-09
17.1639 2.73787e-09 1116 2.73787e-09
17.8011 2.89305e-09 1416 2.89305e-09
18.4303 3.12326e-09 1344 3.12326e-09
19.1824 3.78449e-09 1996 3.78449e-09
19.9469 3.30932e-09 1848 3.30932e-09
20.6808 4.58304e-09 2028 4.58304e-09
21.3842 4.49921e-09 2128 4.49921e-09
22.2186 5.18237e-09 2868 5.18237e-09
23.0657 5.0492e-09 2880 5.0492e-09
23.935 5.60732e-09 3324 5.60732e-09
24.8633 6.21401e-09 3796 6.21401e-09
25.7971 6.51791e-09 4080 6.51791e-09
26.7938 7.08865e-09 4756 7.08865e-09
27.7886 7.13532e-09 4860 7.13532e-09
28.8178 8.60526e-09 5928 8.60526e-09
29.9415 8.87561e-09 6556 8.87561e-09
31.0801 9.71749e-09 7236 9.71749e-09
32.231 1.02961e-08 7792 1.02961e-08
33.4697 1.21218e-08 9540 1.21218e-08
34.7575 1.32558e-08 9804 1.32558e-08
36.0407 1.42413e-08 11044 1.42413e-08
37.3988 1.6485e-08 12804 1.6485e-08
38.8321 1.82536e-08 14236 1.82536e-08
40.2872 2.0539e-08 15268 2.0539e-08
41.8167 2.39788e-08 18180 2.39788e-08
43.399 2.76906e-08 19132 2.76906e-08
45.0279 3.1824e-08 22068 3.1824e-08
46.7308 3.633e-08 24580 3.633e-08
48.5017 4.13929e-08 27412 4.13929e-08
50.3097 4.7839e-08 29940 4.7839e-08
52.197 5.57652e-08 34396 5.57652e-08
54.1738 6.49816e-08 38032 6.49816e-08
56.2203 7.73089e-08 42916 7.73089e-08
58.3613 9.23031e-08 48372 9.23031e-08
60.5794 1.10682e-07 53248 1.10682e-07
62.8515 1.34818e-07 59188 1.34818e-07
65.2265 1.62529e-07 67072 1.62529e-07
67.6932 2.01132e-07 74332 2.01132e-07
70.2489 2.54141e-07 83440 2.54141e-07
72.8971 3.27024e-07 92560 3.27024e-07
75.6319 4.27848e-07 103072 4.27848e-07
78.4853 5.78892e-07 116932 5.78892e-07
81.4754 8.07607e-07 131128 8.07607e-07
84.5539 1.1587e-06 144160 1.1587e-06
87.7413 1.70365e-06 162760 1.70365e-06
91.0485 2.58091e-06 180140 2.58091e-06
94.4801 3.86356e-06 203032 3.86356e-06
98.0438 5.56817e-06 225472 5.56817e-06
101.721 0.0018018 244742 0.0018018
105.563 6.57563e-06 241816 6.57563e-06
109.542 7.06592e-06 237776 7.06592e-06
113.676 7.94909e-06 230848 7.94909e-06
117.973 9.1556e-06 220136 9.1556e-06
122.414 1.09658e-05 203032 1.09658e-05
127.021 1.32829e-05 185072 1.32829e-05
131.796 1.55823e-05 157064 1.55823e-05
136.72 1.71663e-05 125744 1.71663e-05
141.817 0.0123372 86018 0.0123372
147.18 2.37267e-05 54524 2.37267e-05
152.694 3.6869e-05 32528 3.6869e-05
158.385 5.84433e-05 17228 5.84433e-05
164.073 6.41292e-05 6092 6.41292e-05
169.186 4.71544e-05 1100 4.71544e-05
174.125 475.006 2 475.006
