# in Mpc/h Units 
# D1 = 0.150552 
# k P N P(z=0)
1.5708 0.197644 6 8.71993
2.22144 0.218714 12 9.64953
2.7207 0.285648 8 12.6026
3.14159 0.0589578 6 2.60118
3.51241 0.0493304 24 2.17642
3.84765 0.047095 24 2.0778
4.44288 0.0280966 12 1.2396
4.71239 2.42107 30 106.816
4.96729 0.0701274 24 3.09398
5.20974 0.116619 24 5.14515
5.4414 0.314528 8 13.8768
5.66359 0.0251602 24 1.11005
5.87738 0.10021 48 4.4212
6.28319 0.036599 6 1.61472
6.55703 0.0610544 84 2.69368
6.84694 0.0806945 24 3.56019
7.02481 0.0321799 24 1.41976
7.25476 0.0334998 72 1.47799
7.6953 0.0447558 24 1.97459
7.96377 0.0255419 102 1.12689
8.1621 0.0166786 32 0.73585
8.51684 0.0208324 120 0.91911
8.88577 0.0293097 12 1.29313
9.15858 0.0238628 144 1.05281
9.48256 0.647259 54 28.5566
9.74593 0.0400197 96 1.76564
10.1275 0.037208 168 1.64159
10.5564 0.0283191 144 1.24942
11.0536 0.0343659 146 1.5162
11.4241 0.0199035 240 0.878128
11.9234 0.0162077 192 0.715072
12.3255 0.0122812 168 0.541841
12.7651 0.0117789 270 0.519678
13.1907 0.0106757 228 0.471004
13.6659 0.0120307 344 0.530786
14.2646 0.0439825 342 1.94048
14.7875 0.0125554 456 0.553934
15.4187 0.0116195 396 0.512645
15.942 0.0108527 486 0.478813
16.5482 0.00838032 560 0.369734
17.1639 0.00686717 558 0.302975
17.8011 0.00579034 708 0.255466
18.4303 0.00562771 672 0.248291
19.1824 0.00864109 998 0.381239
19.9469 0.00486509 924 0.214644
20.6808 0.00500865 1014 0.220978
21.3842 0.00447018 1064 0.197221
22.2186 0.00329159 1434 0.145223
23.0657 0.00345863 1440 0.152592
23.935 0.00381364 1662 0.168255
24.8633 0.00291535 1898 0.128623
25.7971 0.00287945 2040 0.12704
26.7938 0.00230245 2378 0.101583
27.7886 0.00227641 2430 0.100434
28.8178 0.00228604 2964 0.100859
29.9415 0.00214302 3278 0.0945485
31.0801 0.0020312 3618 0.0896154
32.231 0.00194485 3896 0.0858056
33.4697 0.00215844 4770 0.0952289
34.7575 0.00191623 4902 0.0845428
36.0407 0.00175387 5522 0.0773797
37.3988 0.00171282 6402 0.0755685
38.8321 0.00158502 7118 0.06993
40.2872 0.001631 7634 0.0719588
41.8167 0.00139414 9090 0.0615085
43.399 0.00127873 9566 0.0564165
45.0279 0.00119163 11034 0.0525741
46.7308 0.00106123 12290 0.0468209
48.5017 0.000953983 13706 0.0420891
50.3097 0.000867007 14970 0.0382518
52.197 0.000799151 17198 0.035258
54.1738 0.000728211 19016 0.0321282
56.2203 0.00067538 21458 0.0297973
58.3613 0.000612952 24186 0.027043
60.5794 0.00059543 26624 0.02627
62.8515 0.000567596 29594 0.0250419
65.2265 0.000539176 33536 0.0237881
67.6932 0.000522873 37166 0.0230688
70.2489 0.000493247 41720 0.0217617
72.8971 0.000488974 46280 0.0215732
75.6319 0.000471969 51536 0.020823
78.4853 0.000457467 58466 0.0201831
81.4754 0.000440888 65564 0.0194517
84.5539 0.000427989 72080 0.0188826
87.7413 0.000417903 81380 0.0184376
91.0485 0.000423831 90070 0.0186991
94.4801 0.000430923 101516 0.019012
98.0438 0.000446712 112736 0.0197087
101.721 0.000452396 122371 0.0199594
105.563 0.000459627 120908 0.0202784
109.542 0.000460042 118888 0.0202967
113.676 0.000460732 115424 0.0203272
117.973 0.000475051 110068 0.020959
122.414 0.000503623 101516 0.0222195
127.021 0.000526422 92536 0.0232254
131.796 0.000578805 78532 0.0255365
136.72 0.000641898 62872 0.0283201
141.817 0.000691861 43009 0.0305244
147.18 0.000723979 27262 0.0319415
152.694 0.000820366 16264 0.036194
158.385 0.000963208 8614 0.0424961
164.073 0.00121785 3046 0.0537305
169.186 0.00181402 550 0.0800335
174.125 0.000947212 1 0.0417904
