# in Mpc/h Units 
# D1 = 0.027993 
# k P N P(z=0)
1.5708 0.00816354 6 10.4179
2.22144 0.00977833 12 12.4786
2.7207 0.0119082 8 15.1967
3.14159 0.0019047 6 2.43068
3.51241 0.00217171 24 2.77143
3.84765 0.00153365 24 1.95716
4.44288 0.00117963 12 1.50539
4.71239 0.859835 30 1097.28
4.96729 0.000808935 24 1.03232
5.20974 0.00196987 24 2.51385
5.4414 0.00391053 8 4.99042
5.66359 0.000583803 24 0.74502
5.87738 0.00239849 48 3.06083
6.28319 0.00071581 6 0.913481
6.55703 0.00143992 84 1.83756
6.84694 0.00194466 24 2.48168
7.02481 0.000459356 24 0.586207
7.25476 0.000760984 72 0.97113
7.6953 0.000383333 24 0.489191
7.96377 0.000765742 102 0.977202
8.1621 0.000402588 32 0.513762
8.51684 0.000486615 120 0.620994
8.88577 0.000181818 12 0.232027
9.15858 0.000327445 144 0.417869
9.48256 0.360678 54 460.279
9.74593 0.000409633 96 0.522753
10.1275 0.000703233 168 0.897431
10.5564 0.000988292 144 1.26121
11.0536 0.00106075 146 1.35368
11.4241 0.000562108 240 0.717334
11.9234 0.000444255 192 0.566936
12.3255 0.000227994 168 0.290955
12.7651 0.000533517 270 0.680848
13.1907 0.000355259 228 0.453364
13.6659 0.000203579 344 0.259798
14.2646 0.0477277 342 60.9077
14.7875 0.000362159 456 0.46217
15.4187 0.000604263 396 0.77113
15.942 0.000557997 486 0.712088
16.5482 0.000456108 560 0.582062
17.1639 0.000436359 558 0.55686
17.8011 0.000233577 708 0.298079
18.4303 0.000141936 672 0.181132
19.1824 0.0140511 998 17.9313
19.9469 0.000407564 924 0.520113
20.6808 0.000526288 1014 0.671622
21.3842 0.000208039 1064 0.265489
22.2186 0.000357877 1434 0.456705
23.0657 0.000100745 1440 0.128566
23.935 0.00721609 1662 9.20881
24.8633 0.000441455 1898 0.563363
25.7971 0.000246676 2040 0.314796
26.7938 0.000323846 2378 0.413276
27.7886 0.00407006 2430 5.19401
28.8178 0.000530954 2964 0.677578
29.9415 0.0002851 3278 0.36383
31.0801 0.000257801 3618 0.328992
32.231 0.000131019 3896 0.1672
33.4697 0.00184079 4770 2.34913
34.7575 0.000217478 4902 0.277534
36.0407 0.000204788 5522 0.26134
37.3988 0.00102014 6402 1.30185
38.8321 0.000212921 7118 0.271719
40.2872 0.000183304 7634 0.233924
41.8167 0.000592035 9090 0.755526
43.399 0.000164987 9566 0.210549
45.0279 0.000132947 11034 0.16966
46.7308 0.000341638 12290 0.435981
48.5017 0.00015158 13706 0.193438
50.3097 9.0748e-05 14970 0.115808
52.197 0.000218933 17198 0.279391
54.1738 0.00010233 19016 0.130588
56.2203 0.000135733 21458 0.173215
58.3613 8.17476e-05 24186 0.104322
60.5794 9.54237e-05 26624 0.121775
62.8515 8.2332e-05 29594 0.105068
65.2265 9.27845e-05 33536 0.118407
67.6932 0.000141567 37166 0.18066
70.2489 0.000216987 41720 0.276908
72.8971 0.00033858 46280 0.432079
75.6319 0.000366291 51536 0.467442
78.4853 0.000367646 58466 0.469171
81.4754 0.000288161 65564 0.367737
84.5539 0.000251406 72080 0.320832
87.7413 0.00028778 81380 0.367251
91.0485 0.000431219 90070 0.5503
94.4801 0.000837296 101516 1.06852
98.0438 0.00104556 112736 1.33429
101.721 0.0005085 122371 0.648922
105.563 0.000289836 120908 0.369874
109.542 0.000279732 118888 0.35698
113.676 0.000237416 115424 0.302979
117.973 0.000230652 110068 0.294346
122.414 0.000275356 101516 0.351396
127.021 0.000386932 92536 0.493784
131.796 0.000602011 78532 0.768257
136.72 0.00106756 62872 1.36237
141.817 0.000794499 43009 1.0139
147.18 0.000613229 27262 0.782572
152.694 0.000432493 16264 0.551926
158.385 0.000655607 8614 0.836653
164.073 0.00154746 3046 1.97479
169.186 0.00419325 550 5.35121
174.125 0.00203635 1 2.59869
