# in Mpc/h Units 
# D1 = 0.0561877 
# k P N P(z=0)
1.5708 0.0299809 6 9.49645
2.22144 0.0349879 12 11.0824
2.7207 0.0417338 8 13.2192
3.14159 0.00804335 6 2.54773
3.51241 0.0072138 24 2.28497
3.84765 0.00538677 24 1.70626
4.44288 0.0036415 12 1.15345
4.71239 1.52845 30 484.138
4.96729 0.00528576 24 1.67427
5.20974 0.0107163 24 3.39438
5.4414 0.0269478 8 8.53572
5.66359 0.00225161 24 0.713199
5.87738 0.00959889 48 3.04045
6.28319 0.00288098 6 0.912551
6.55703 0.00705861 84 2.23582
6.84694 0.00745734 24 2.36211
7.02481 0.00237843 24 0.753367
7.25476 0.0035567 72 1.12659
7.6953 0.00161873 24 0.512734
7.96377 0.00226325 102 0.716887
8.1621 0.00160117 32 0.507173
8.51684 0.00209454 120 0.663447
8.88577 0.000378763 12 0.119973
9.15858 0.00129673 144 0.41074
9.48256 0.396506 54 125.593
9.74593 0.00273536 96 0.866426
10.1275 0.0026731 168 0.846706
10.5564 0.00225668 144 0.714803
11.0536 0.00414995 146 1.3145
11.4241 0.00145707 240 0.461528
11.9234 0.00133356 192 0.422405
12.3255 0.000538745 168 0.170648
12.7651 0.000930677 270 0.294792
13.1907 0.000791836 228 0.250814
13.6659 0.000526626 344 0.166809
14.2646 0.0146348 342 4.63557
14.7875 0.000669222 456 0.211976
15.4187 0.000607465 396 0.192415
15.942 0.000745246 486 0.236057
16.5482 0.000459312 560 0.145487
17.1639 0.00029032 558 0.0919591
17.8011 0.000280691 708 0.0889091
18.4303 0.000217199 672 0.0687977
19.1824 0.000294797 998 0.093377
19.9469 0.000227117 924 0.0719393
20.6808 0.000201369 1014 0.0637836
21.3842 0.000143323 1064 0.0453977
22.2186 0.000177672 1434 0.0562778
23.0657 0.000137569 1440 0.0435749
23.935 0.000437585 1662 0.138605
24.8633 0.000174883 1898 0.0553944
25.7971 0.000180811 2040 0.057272
26.7938 0.000232053 2378 0.0735027
27.7886 0.000308985 2430 0.0978711
28.8178 0.000262209 2964 0.0830549
29.9415 0.000196579 3278 0.0622664
31.0801 0.000189799 3618 0.0601188
32.231 0.000158813 3896 0.0503042
33.4697 0.00013988 4770 0.0443071
34.7575 0.000140043 4902 0.0443587
36.0407 0.00013374 5522 0.0423623
37.3988 0.000183867 6402 0.0582398
38.8321 0.000178976 7118 0.0566906
40.2872 0.000180493 7634 0.0571711
41.8167 0.000231409 9090 0.0732988
43.399 0.000222105 9566 0.0703519
45.0279 0.000195416 11034 0.061898
46.7308 0.000200363 12290 0.0634652
48.5017 0.000223704 13706 0.0708584
50.3097 0.000168242 14970 0.0532906
52.197 0.000181067 17198 0.0573529
54.1738 0.000182616 19016 0.0578437
56.2203 0.00017505 21458 0.0554472
58.3613 0.000161707 24186 0.0512206
60.5794 0.000150398 26624 0.0476388
62.8515 0.000151503 29594 0.0479887
65.2265 0.000164805 33536 0.052202
67.6932 0.000181725 37166 0.0575614
70.2489 0.000194612 41720 0.0616433
72.8971 0.000204022 46280 0.0646241
75.6319 0.000220223 51536 0.0697557
78.4853 0.000234492 58466 0.0742755
81.4754 0.000248888 65564 0.0788354
84.5539 0.000249522 72080 0.0790362
87.7413 0.000248596 81380 0.0787429
91.0485 0.000259283 90070 0.0821279
94.4801 0.00027865 101516 0.0882626
98.0438 0.000287863 112736 0.0911808
101.721 0.000265133 122371 0.0839809
105.563 0.000255319 120908 0.0808724
109.542 0.000264678 118888 0.083837
113.676 0.000278695 115424 0.0882766
117.973 0.000296222 110068 0.0938285
122.414 0.000323159 101516 0.102361
127.021 0.000361882 92536 0.114626
131.796 0.000413869 78532 0.131093
136.72 0.000480253 62872 0.15212
141.817 0.000486707 43009 0.154165
147.18 0.000533388 27262 0.168951
152.694 0.000606134 16264 0.191993
158.385 0.000847008 8614 0.26829
164.073 0.00109534 3046 0.346949
169.186 0.0015849 550 0.502016
174.125 0.000202802 1 0.0642375
