# in Mpc/h Units 
# D1 = 0.123627 
# k P N P(z=0)
1.5708 0.135795 6 8.885
2.22144 0.152034 12 9.94749
2.7207 0.194436 8 12.7218
3.14159 0.0405151 6 2.65087
3.51241 0.0334104 24 2.18602
3.84765 0.0301757 24 1.97438
4.44288 0.0184821 12 1.20927
4.71239 2.22795 30 145.773
4.96729 0.0455281 24 2.97888
5.20974 0.0766262 24 5.0136
5.4414 0.198726 8 13.0025
5.66359 0.0153524 24 1.0045
5.87738 0.062872 48 4.11367
6.28319 0.0226007 6 1.47875
6.55703 0.0410059 84 2.68299
6.84694 0.0480224 24 3.14207
7.02481 0.0196824 24 1.2878
7.25476 0.0222084 72 1.45308
7.6953 0.0239506 24 1.56707
7.96377 0.0152971 102 1.00088
8.1621 0.0101008 32 0.66089
8.51684 0.0127077 120 0.831458
8.88577 0.0141321 12 0.924655
9.15858 0.0143896 144 0.941502
9.48256 0.550832 54 36.0406
9.74593 0.0259137 96 1.69551
10.1275 0.0221906 168 1.45192
10.5564 0.0160214 144 1.04827
11.0536 0.0227142 146 1.48617
11.4241 0.0113439 240 0.742221
11.9234 0.00928739 192 0.607667
12.3255 0.00663678 168 0.43424
12.7651 0.0067403 270 0.441013
13.1907 0.00574321 228 0.375774
13.6659 0.00691625 344 0.452526
14.2646 0.0300303 342 1.96486
14.7875 0.00675516 456 0.441985
15.4187 0.00582239 396 0.380955
15.942 0.00588096 486 0.384787
16.5482 0.00407259 560 0.266467
17.1639 0.0034149 558 0.223434
17.8011 0.0029684 708 0.194221
18.4303 0.0029188 672 0.190975
19.1824 0.00452585 998 0.296123
19.9469 0.00231636 924 0.151558
20.6808 0.00259993 1014 0.170112
21.3842 0.00207488 1064 0.135758
22.2186 0.00155268 1434 0.101591
23.0657 0.00167158 1440 0.10937
23.935 0.00195852 1662 0.128144
24.8633 0.0014642 1898 0.0958018
25.7971 0.00140408 2040 0.0918681
26.7938 0.00123586 2378 0.0808617
27.7886 0.00136551 2430 0.0893441
28.8178 0.00150317 2964 0.0983515
29.9415 0.00135668 3278 0.0887664
31.0801 0.00118104 3618 0.0772743
32.231 0.00127231 3896 0.0832463
33.4697 0.00153152 4770 0.100206
34.7575 0.00137859 4902 0.0902001
36.0407 0.00118283 5522 0.0773919
37.3988 0.00120034 6402 0.0785375
38.8321 0.00118892 7118 0.0777905
40.2872 0.00119382 7634 0.0781107
41.8167 0.00110241 9090 0.0721296
43.399 0.000923215 9566 0.0604053
45.0279 0.000869438 11034 0.0568867
46.7308 0.000786849 12290 0.051483
48.5017 0.000694762 13706 0.0454578
50.3097 0.000617584 14970 0.0404081
52.197 0.000564263 17198 0.0369194
54.1738 0.000507388 19016 0.033198
56.2203 0.000472212 21458 0.0308965
58.3613 0.000449019 24186 0.029379
60.5794 0.000423133 26624 0.0276853
62.8515 0.000421582 29594 0.0275838
65.2265 0.000412188 33536 0.0269691
67.6932 0.00040914 37166 0.0267697
70.2489 0.000397049 41720 0.0259787
72.8971 0.000394002 46280 0.0257793
75.6319 0.000384341 51536 0.0251472
78.4853 0.000374696 58466 0.0245161
81.4754 0.000366574 65564 0.0239847
84.5539 0.000357802 72080 0.0234107
87.7413 0.000355398 81380 0.0232535
91.0485 0.000357813 90070 0.0234115
94.4801 0.000363243 101516 0.0237667
98.0438 0.000376109 112736 0.0246085
101.721 0.000384473 122371 0.0251558
105.563 0.000387647 120908 0.0253635
109.542 0.000392859 118888 0.0257045
113.676 0.000404994 115424 0.0264985
117.973 0.000414144 110068 0.0270971
122.414 0.000430504 101516 0.0281676
127.021 0.000464609 92536 0.0303991
131.796 0.000506243 78532 0.0331231
136.72 0.00056241 62872 0.0367981
141.817 0.000605753 43009 0.039634
147.18 0.000663663 27262 0.043423
152.694 0.000742027 16264 0.0485503
158.385 0.000880025 8614 0.0575795
164.073 0.00111173 3046 0.0727398
169.186 0.0013606 550 0.0890231
174.125 0.00156626 1 0.10248
