# in Mpc/h Units 
# D1 = 0.0158578 
# k P N P(z=0)
1.5708 0.00279699 6 11.1225
2.22144 0.00340908 12 13.5566
2.7207 0.00438405 8 17.4336
3.14159 0.000620118 6 2.46596
3.51241 0.000811204 24 3.22584
3.84765 0.000581539 24 2.31255
4.44288 0.000458542 12 1.82344
4.71239 0.0760579 30 302.452
4.96729 0.000191059 24 0.759766
5.20974 0.000450399 24 1.79105
5.4414 0.000422314 8 1.67937
5.66359 0.000261459 24 1.03972
5.87738 0.000228417 48 0.908323
6.28319 0.00036242 6 1.4412
6.55703 0.000218903 84 0.870489
6.84694 0.000231854 24 0.92199
7.02481 0.000183328 24 0.729024
7.25476 0.000138879 72 0.552268
7.6953 0.000117716 24 0.468108
7.96377 0.000123749 102 0.492101
8.1621 7.64292e-05 32 0.303928
8.51684 8.48211e-05 120 0.3373
8.88577 4.48985e-05 12 0.178543
9.15858 6.47046e-05 144 0.257304
9.48256 0.0042666 54 16.9665
9.74593 8.27309e-05 96 0.328988
10.1275 6.57672e-05 168 0.26153
10.5564 5.82284e-05 144 0.231551
11.0536 5.51176e-05 146 0.219181
11.4241 4.37898e-05 240 0.174134
11.9234 3.35717e-05 192 0.133501
12.3255 3.81551e-05 168 0.151728
12.7651 2.63586e-05 270 0.104817
13.1907 2.76025e-05 228 0.109764
13.6659 2.79199e-05 344 0.111026
14.2646 0.00011255 342 0.447564
14.7875 2.1242e-05 456 0.0844707
15.4187 2.13108e-05 396 0.0847444
15.942 1.39978e-05 486 0.0556637
16.5482 1.50024e-05 560 0.0596586
17.1639 1.3816e-05 558 0.0549406
17.8011 1.24666e-05 708 0.0495749
18.4303 1.09234e-05 672 0.0434378
19.1824 1.39157e-05 998 0.0553371
19.9469 8.40243e-06 924 0.0334131
20.6808 8.14788e-06 1014 0.0324009
21.3842 7.65395e-06 1064 0.0304367
22.2186 6.75757e-06 1434 0.0268722
23.0657 6.20243e-06 1440 0.0246646
23.935 6.18097e-06 1662 0.0245792
24.8633 5.05737e-06 1898 0.0201111
25.7971 6.2216e-06 2040 0.0247408
26.7938 9.54727e-06 2378 0.0379657
27.7886 4.70234e-06 2430 0.0186993
28.8178 0.000191272 2964 0.760613
29.9415 7.34834e-06 3278 0.0292214
31.0801 5.08716e-06 3618 0.0202296
32.231 4.12719e-06 3896 0.0164122
33.4697 3.26471e-06 4770 0.0129824
34.7575 3.2339e-06 4902 0.0128599
36.0407 3.24673e-06 5522 0.0129109
37.3988 3.22888e-06 6402 0.01284
38.8321 3.22717e-06 7118 0.0128332
40.2872 3.25472e-06 7634 0.0129427
41.8167 3.23841e-06 9090 0.0128779
43.399 3.27052e-06 9566 0.0130056
45.0279 3.43754e-06 11034 0.0136697
46.7308 3.59548e-06 12290 0.0142978
48.5017 3.7311e-06 13706 0.0148371
50.3097 3.55231e-06 14970 0.0141261
52.197 3.69985e-06 17198 0.0147128
54.1738 3.772e-06 19016 0.0149997
56.2203 4.08479e-06 21458 0.0162436
58.3613 7.31958e-06 24186 0.029107
60.5794 4.85764e-06 26624 0.0193169
62.8515 5.23306e-06 29594 0.0208098
65.2265 6.12077e-06 33536 0.0243399
67.6932 6.92943e-06 37166 0.0275556
70.2489 9.00047e-06 41720 0.0357913
72.8971 1.37257e-05 46280 0.0545817
75.6319 2.49166e-05 51536 0.0990833
78.4853 4.76782e-05 58466 0.189597
81.4754 0.000150366 65564 0.597943
84.5539 0.000167067 72080 0.664357
87.7413 0.000112306 81380 0.446598
91.0485 0.000102158 90070 0.40624
94.4801 0.000298841 101516 1.18837
98.0438 0.000594598 112736 2.36448
101.721 0.000723762 122371 2.87811
105.563 5.15935e-05 120908 0.205167
109.542 7.0822e-05 118888 0.281631
113.676 0.000123303 115424 0.490327
117.973 0.000176628 110068 0.70238
122.414 0.000255147 101516 1.01462
127.021 0.00027412 92536 1.09007
131.796 0.000416471 78532 1.65614
136.72 0.00154094 62872 6.12769
141.817 0.00204801 43009 8.14411
147.18 0.000596273 27262 2.37114
152.694 0.00077137 16264 3.06743
158.385 0.00185447 8614 7.3745
164.073 0.00551664 3046 21.9375
169.186 0.0223864 550 89.0218
174.125 0.205983 1 819.111
