# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.5708 3.83605e-12 12 3.83605e-12
2.22144 9.30552e-12 24 9.30552e-12
2.7207 4.74984e-12 16 4.74984e-12
3.14159 7.1002e-11 12 7.1002e-11
3.51241 1.01999e-10 48 1.01999e-10
3.84765 8.88478e-11 48 8.88478e-11
4.44288 1.25977e-10 24 1.25977e-10
4.71239 1.4139e-10 60 1.4139e-10
4.96729 2.77193e-10 48 2.77193e-10
5.20974 1.50009e-10 48 1.50009e-10
5.4414 2.10047e-10 16 2.10047e-10
5.66359 3.21468e-10 48 3.21468e-10
5.87738 4.74584e-10 96 4.74584e-10
6.28319 1.73999e-09 12 1.73999e-09
6.55703 7.11598e-10 168 7.11598e-10
6.84694 8.7697e-10 48 8.7697e-10
7.02481 4.81248e-10 48 4.81248e-10
7.25476 8.14148e-10 144 8.14148e-10
7.6953 1.15742e-09 48 1.15742e-09
7.96377 1.33569e-09 204 1.33569e-09
8.1621 2.93889e-09 64 2.93889e-09
8.51684 1.89838e-09 240 1.89838e-09
8.88577 1.19256e-09 24 1.19256e-09
9.15858 2.62771e-09 288 2.62771e-09
9.48256 3.50155e-09 108 3.50155e-09
9.74593 3.49012e-09 192 3.49012e-09
10.1275 4.05933e-09 336 4.05933e-09
10.5564 3.67466e-09 288 3.67466e-09
11.0536 6.52064e-09 292 6.52064e-09
11.4241 6.21773e-09 480 6.21773e-09
11.9234 6.44821e-09 384 6.44821e-09
12.3255 8.98865e-09 336 8.98865e-09
12.7651 9.62047e-09 540 9.62047e-09
13.1907 1.10724e-08 456 1.10724e-08
13.6659 1.1175e-08 688 1.1175e-08
14.2646 1.85318e-08 684 1.85318e-08
14.7875 1.82465e-08 912 1.82465e-08
15.4187 1.98809e-08 792 1.98809e-08
15.942 2.415e-08 972 2.415e-08
16.5482 2.62184e-08 1120 2.62184e-08
17.1639 2.82846e-08 1116 2.82846e-08
17.8011 3.63221e-08 1416 3.63221e-08
18.4303 3.32339e-08 1344 3.32339e-08
19.1824 4.77884e-08 1996 4.77884e-08
19.9469 5.51727e-08 1848 5.51727e-08
20.6808 7.1795e-08 2028 7.1795e-08
21.3842 6.39109e-08 2128 6.39109e-08
22.2186 8.81848e-08 2868 8.81848e-08
23.0657 9.3781e-08 2880 9.3781e-08
23.935 1.03759e-07 3324 1.03759e-07
24.8633 1.22237e-07 3796 1.22237e-07
25.7971 1.35864e-07 4080 1.35864e-07
26.7938 1.6117e-07 4756 1.6117e-07
27.7886 1.88385e-07 4860 1.88385e-07
28.8178 2.15004e-07 5928 2.15004e-07
29.9415 2.43975e-07 6556 2.43975e-07
31.0801 2.83095e-07 7236 2.83095e-07
32.231 3.12171e-07 7792 3.12171e-07
33.4697 3.6914e-07 9540 3.6914e-07
34.7575 4.11685e-07 9804 4.11685e-07
36.0407 4.88863e-07 11044 4.88863e-07
37.3988 5.47789e-07 12804 5.47789e-07
38.8321 6.35588e-07 14236 6.35588e-07
40.2872 7.40024e-07 15268 7.40024e-07
41.8167 8.59065e-07 18180 8.59065e-07
43.399 9.81153e-07 19132 9.81153e-07
45.0279 1.12226e-06 22068 1.12226e-06
46.7308 1.32202e-06 24580 1.32202e-06
48.5017 1.54118e-06 27412 1.54118e-06
50.3097 1.77078e-06 29940 1.77078e-06
52.197 2.05171e-06 34396 2.05171e-06
54.1738 2.49422e-06 38032 2.49422e-06
56.2203 2.96445e-06 42916 2.96445e-06
58.3613 3.51091e-06 48372 3.51091e-06
60.5794 4.33075e-06 53248 4.33075e-06
62.8515 5.33161e-06 59188 5.33161e-06
65.2265 6.64591e-06 67072 6.64591e-06
67.6932 8.38926e-06 74332 8.38926e-06
70.2489 1.07691e-05 83440 1.07691e-05
72.8971 1.45966e-05 92560 1.45966e-05
75.6319 1.96283e-05 103072 1.96283e-05
78.4853 2.81798e-05 116932 2.81798e-05
81.4754 4.17602e-05 131128 4.17602e-05
84.5539 6.27173e-05 144160 6.27173e-05
87.7413 9.42727e-05 162760 9.42727e-05
91.0485 0.000139771 180140 0.000139771
94.4801 0.000200232 203032 0.000200232
98.0438 0.000266136 225472 0.000266136
101.721 0.000303985 244742 0.000303985
105.563 0.000295303 241816 0.000295303
109.542 0.000294622 237776 0.000294622
113.676 0.000296651 230848 0.000296651
117.973 0.000295398 220136 0.000295398
122.414 0.000295619 203032 0.000295619
127.021 0.000297777 185072 0.000297777
131.796 0.000304521 157064 0.000304521
136.72 0.000310488 125744 0.000310488
141.817 0.000314233 86018 0.000314233
147.18 0.000318784 54524 0.000318784
152.694 0.000335221 32528 0.000335221
158.385 0.00040456 17228 0.00040456
164.073 0.000486175 6092 0.000486175
169.186 0.000734408 1100 0.000734408
174.125 0.000269092 2 0.000269092
