# in Mpc/h Units 
# D1 = 0.0775662 
# k P N P(z=0)
1.5708 0.055433 6 9.21346
2.22144 0.0636338 12 10.5765
2.7207 0.0771722 8 12.8267
3.14159 0.0157535 6 2.61837
3.51241 0.0132489 24 2.20209
3.84765 0.0105323 24 1.75056
4.44288 0.00678486 12 1.12771
4.71239 1.76545 30 293.434
4.96729 0.0134727 24 2.23928
5.20974 0.0244475 24 4.0634
5.4414 0.0605551 8 10.0648
5.66359 0.00480517 24 0.798662
5.87738 0.0197741 48 3.28664
6.28319 0.00677136 6 1.12546
6.55703 0.0144863 84 2.40775
6.84694 0.0147109 24 2.44508
7.02481 0.00568443 24 0.944804
7.25476 0.00733087 72 1.21846
7.6953 0.00469718 24 0.780714
7.96377 0.0044541 102 0.740312
8.1621 0.00318727 32 0.529754
8.51684 0.00405978 120 0.674772
8.88577 0.00183266 12 0.304605
9.15858 0.00348523 144 0.579277
9.48256 0.383063 54 63.6686
9.74593 0.00714869 96 1.18818
10.1275 0.00578643 168 0.961758
10.5564 0.00420491 144 0.698894
11.0536 0.00765869 146 1.27294
11.4241 0.0029015 240 0.482256
11.9234 0.00243388 192 0.404534
12.3255 0.00139809 168 0.232375
12.7651 0.00175706 270 0.29204
13.1907 0.00142194 228 0.236339
13.6659 0.00149769 344 0.24893
14.2646 0.0108567 342 1.80448
14.7875 0.00134503 456 0.223555
15.4187 0.00117403 396 0.195135
15.942 0.00131143 486 0.217972
16.5482 0.000805899 560 0.133948
17.1639 0.000720049 558 0.119679
17.8011 0.00066323 708 0.110235
18.4303 0.000587121 672 0.0975848
19.1824 0.00056581 998 0.0940428
19.9469 0.000449806 924 0.0747618
20.6808 0.000481502 1014 0.0800299
21.3842 0.000344183 1064 0.0572063
22.2186 0.000330003 1434 0.0548495
23.0657 0.000328882 1440 0.0546632
23.935 0.000306945 1662 0.051017
24.8633 0.000271128 1898 0.0450639
25.7971 0.000277478 2040 0.0461194
26.7938 0.000306248 2378 0.0509013
27.7886 0.000361917 2430 0.0601539
28.8178 0.000385053 2964 0.0639992
29.9415 0.00032897 3278 0.0546779
31.0801 0.000344379 3618 0.057239
32.231 0.00034257 3896 0.0569382
33.4697 0.000662784 4770 0.110161
34.7575 0.000472014 4902 0.0784529
36.0407 0.000451539 5522 0.0750499
37.3988 0.000485989 6402 0.0807757
38.8321 0.00055885 7118 0.0928859
40.2872 0.000473113 7634 0.0786356
41.8167 0.000388797 9090 0.0646216
43.399 0.000364671 9566 0.0606116
45.0279 0.000315701 11034 0.0524723
46.7308 0.000277766 12290 0.0461672
48.5017 0.000259834 13706 0.0431868
50.3097 0.000255717 14970 0.0425025
52.197 0.00023291 17198 0.0387117
54.1738 0.000225108 19016 0.0374149
56.2203 0.000219428 21458 0.036471
58.3613 0.000225331 24186 0.0374521
60.5794 0.000228611 26624 0.0379973
62.8515 0.000231753 29594 0.0385194
65.2265 0.000234454 33536 0.0389684
67.6932 0.000243258 37166 0.0404316
70.2489 0.000250411 41720 0.0416206
72.8971 0.000251671 46280 0.04183
75.6319 0.000260403 51536 0.0432813
78.4853 0.00026247 58466 0.0436249
81.4754 0.000268398 65564 0.0446102
84.5539 0.000268055 72080 0.0445531
87.7413 0.00026879 81380 0.0446753
91.0485 0.000276465 90070 0.045951
94.4801 0.000285639 101516 0.0474758
98.0438 0.000296338 112736 0.049254
101.721 0.000302239 122371 0.0502348
105.563 0.000307132 120908 0.0510481
109.542 0.000317592 118888 0.0527866
113.676 0.000330629 115424 0.0549535
117.973 0.000345699 110068 0.0574584
122.414 0.00036733 101516 0.0610536
127.021 0.000400522 92536 0.0665704
131.796 0.000442509 78532 0.073549
136.72 0.00049416 62872 0.0821338
141.817 0.0005343 43009 0.0888054
147.18 0.0005679 27262 0.0943902
152.694 0.000665435 16264 0.110601
158.385 0.000770051 8614 0.127989
164.073 0.00102008 3046 0.169546
169.186 0.00140339 550 0.233256
174.125 0.000265486 1 0.0441261
