# in Mpc/h Units 
# D1 = 0.078969 
# k P N P(z=0)
1.5708 0.0573713 6 9.19987
2.22144 0.065794 12 10.5505
2.7207 0.0799107 8 12.8142
3.14159 0.0163498 6 2.6218
3.51241 0.0137176 24 2.19971
3.84765 0.0109512 24 1.75609
4.44288 0.00703776 12 1.12855
4.71239 1.78054 30 285.521
4.96729 0.0141719 24 2.27255
5.20974 0.0255924 24 4.10391
5.4414 0.0633872 8 10.1646
5.66359 0.00501837 24 0.804729
5.87738 0.0206442 48 3.31043
6.28319 0.00710346 6 1.13909
6.55703 0.0150879 84 2.41944
6.84694 0.015334 24 2.45891
7.02481 0.00597145 24 0.957562
7.25476 0.00764749 72 1.22633
7.6953 0.00499813 24 0.801484
7.96377 0.00465215 102 0.746004
8.1621 0.0033232 32 0.532897
8.51684 0.00422688 120 0.677809
8.88577 0.00199258 12 0.319524
9.15858 0.00369 144 0.591716
9.48256 0.385536 54 61.8232
9.74593 0.00754054 96 1.20918
10.1275 0.00608118 168 0.975158
10.5564 0.00439761 144 0.705187
11.0536 0.00797161 146 1.2783
11.4241 0.00304366 240 0.488071
11.9234 0.00254558 192 0.408201
12.3255 0.00148189 168 0.237631
12.7651 0.00184294 270 0.295528
13.1907 0.00149009 228 0.238947
13.6659 0.00159272 344 0.255404
14.2646 0.0110766 342 1.7762
14.7875 0.00142201 456 0.228029
15.4187 0.0012391 396 0.198698
15.942 0.00137848 486 0.221048
16.5482 0.000848879 560 0.136123
17.1639 0.000763486 558 0.12243
17.8011 0.000700916 708 0.112397
18.4303 0.000625516 672 0.100306
19.1824 0.000605574 998 0.0971079
19.9469 0.000473387 924 0.0759108
20.6808 0.000510015 1014 0.0817843
21.3842 0.000366233 1064 0.0587279
22.2186 0.000344623 1434 0.0552627
23.0657 0.000349851 1440 0.056101
23.935 0.000317309 1662 0.0508827
24.8633 0.000287648 1898 0.0461262
25.7971 0.000292409 2040 0.0468897
26.7938 0.00031938 2378 0.0512148
27.7886 0.000391914 2430 0.062846
28.8178 0.000411214 2964 0.065941
29.9415 0.000352548 3278 0.0565334
31.0801 0.000364697 3618 0.0584816
32.231 0.000364883 3896 0.0585114
33.4697 0.000699406 4770 0.112154
34.7575 0.000502024 4902 0.080503
36.0407 0.000473793 5522 0.0759759
37.3988 0.000501859 6402 0.0804765
38.8321 0.000580694 7118 0.0931182
40.2872 0.000491247 7634 0.0787747
41.8167 0.000402496 9090 0.064543
43.399 0.000374871 9566 0.0601131
45.0279 0.000326822 11034 0.0524081
46.7308 0.0002876 12290 0.0461185
48.5017 0.000268645 13706 0.0430791
50.3097 0.000263229 14970 0.0422106
52.197 0.000239441 17198 0.0383959
54.1738 0.00023358 19016 0.0374561
56.2203 0.000227325 21458 0.0364531
58.3613 0.000231562 24186 0.0371325
60.5794 0.000233972 26624 0.037519
62.8515 0.000235709 29594 0.0377975
65.2265 0.00023837 33536 0.0382242
67.6932 0.000247216 37166 0.0396427
70.2489 0.00025372 41720 0.0406857
72.8971 0.000254515 46280 0.0408133
75.6319 0.000262604 51536 0.0421103
78.4853 0.000264454 58466 0.042407
81.4754 0.000269033 65564 0.0431413
84.5539 0.000269873 72080 0.0432759
87.7413 0.000271324 81380 0.0435086
91.0485 0.000279505 90070 0.0448205
94.4801 0.000286328 101516 0.0459145
98.0438 0.000300948 112736 0.0482591
101.721 0.000305565 122371 0.0489994
105.563 0.000311072 120908 0.0498825
109.542 0.000318534 118888 0.0510791
113.676 0.000332266 115424 0.0532811
117.973 0.000347042 110068 0.0556505
122.414 0.00036413 101516 0.0583907
127.021 0.000397396 92536 0.0637251
131.796 0.000442479 78532 0.0709546
136.72 0.00049054 62872 0.0786614
141.817 0.000514725 43009 0.0825396
147.18 0.000565199 27262 0.0906335
152.694 0.000641531 16264 0.102874
158.385 0.000786835 8614 0.126174
164.073 0.000989523 3046 0.158677
169.186 0.00155812 550 0.249855
174.125 0.00337143 1 0.540631
