# in Mpc/h Units 
# D1 = 0.172331 
# k P N P(z=0)
1.5708 0.254537 6 8.57084
2.22144 0.278972 12 9.39361
2.7207 0.368245 8 12.3996
3.14159 0.0747537 6 2.51712
3.51241 0.0642176 24 2.16235
3.84765 0.0631927 24 2.12784
4.44288 0.0377372 12 1.27069
4.71239 2.52431 30 84.9992
4.96729 0.092556 24 3.11656
5.20974 0.151591 24 5.10439
5.4414 0.420403 8 14.1559
5.66359 0.0346067 24 1.16528
5.87738 0.13596 48 4.57808
6.28319 0.0512687 6 1.72633
6.55703 0.0795181 84 2.67755
6.84694 0.113136 24 3.80954
7.02481 0.0447638 24 1.50729
7.25476 0.0440681 72 1.48387
7.6953 0.0658406 24 2.217
7.96377 0.0361808 102 1.21829
8.1621 0.0243871 32 0.821167
8.51684 0.0293555 120 0.988463
8.88577 0.046806 12 1.57606
9.15858 0.0334226 144 1.12541
9.48256 0.698267 54 23.5122
9.74593 0.0528927 96 1.78101
10.1275 0.0523665 168 1.7633
10.5564 0.0411669 144 1.38618
11.0536 0.0448382 146 1.5098
11.4241 0.0295092 240 0.993638
11.9234 0.0240597 192 0.810144
12.3255 0.0188257 168 0.633904
12.7651 0.0172858 270 0.582052
13.1907 0.0167981 228 0.56563
13.6659 0.01743 344 0.586905
14.2646 0.0530858 342 1.78751
14.7875 0.0185876 456 0.625884
15.4187 0.0184256 396 0.620432
15.942 0.0158199 486 0.53269
16.5482 0.0135363 560 0.455799
17.1639 0.0110793 558 0.373065
17.8011 0.00924147 708 0.311181
18.4303 0.00910157 672 0.30647
19.1824 0.0123787 998 0.416818
19.9469 0.00812358 924 0.273539
20.6808 0.00763475 1014 0.257079
21.3842 0.00749744 1064 0.252455
22.2186 0.00547803 1434 0.184457
23.0657 0.00572431 1440 0.19275
23.935 0.00576576 1662 0.194146
24.8633 0.00459041 1898 0.154569
25.7971 0.00488526 2040 0.164498
26.7938 0.00390909 2378 0.131628
27.7886 0.00367008 2430 0.12358
28.8178 0.00325765 2964 0.109692
29.9415 0.00312775 3278 0.105318
31.0801 0.00323486 3618 0.108925
32.231 0.00280527 3896 0.0944597
33.4697 0.00280378 4770 0.0944093
34.7575 0.00248657 4902 0.0837284
36.0407 0.00246564 5522 0.0830236
37.3988 0.00227068 6402 0.0764587
38.8321 0.00198853 7118 0.0669582
40.2872 0.00209418 7634 0.0705158
41.8167 0.0017759 9090 0.0597985
43.399 0.00164718 9566 0.0554641
45.0279 0.00156658 11034 0.0527502
46.7308 0.00139117 12290 0.0468438
48.5017 0.00124619 13706 0.0419621
50.3097 0.00115128 14970 0.0387662
52.197 0.00106227 17198 0.0357691
54.1738 0.000968812 19016 0.032622
56.2203 0.000890261 21458 0.029977
58.3613 0.000830438 24186 0.0279627
60.5794 0.000785176 26624 0.0264386
62.8515 0.000739807 29594 0.0249109
65.2265 0.000703716 33536 0.0236957
67.6932 0.000682177 37166 0.0229704
70.2489 0.000646046 41720 0.0217538
72.8971 0.000618626 46280 0.0208305
75.6319 0.000591187 51536 0.0199066
78.4853 0.000569672 58466 0.0191821
81.4754 0.000552904 65564 0.0186175
84.5539 0.000543899 72080 0.0183143
87.7413 0.000532087 81380 0.0179165
91.0485 0.000528589 90070 0.0177987
94.4801 0.000534735 101516 0.0180057
98.0438 0.000540972 112736 0.0182157
101.721 0.000549855 122371 0.0185148
105.563 0.000552268 120908 0.0185961
109.542 0.000556908 118888 0.0187523
113.676 0.000561882 115424 0.0189198
117.973 0.000577359 110068 0.019441
122.414 0.00059267 101516 0.0199565
127.021 0.00062905 92536 0.0211815
131.796 0.000675119 78532 0.0227327
136.72 0.000709288 62872 0.0238833
141.817 0.000769145 43009 0.0258988
147.18 0.000782967 27262 0.0263642
152.694 0.000846211 16264 0.0284938
158.385 0.00100971 8614 0.0339992
164.073 0.00133069 3046 0.0448073
169.186 0.00179721 550 0.0605161
174.125 0.00536928 1 0.180795
