# in Mpc/h Units 
# D1 = 0.235598 
# k P N P(z=0)
1.5708 0.450634 6 8.1186
2.22144 0.479424 12 8.63728
2.7207 0.633092 8 11.4058
3.14159 0.117699 6 2.12046
3.51241 0.118117 24 2.12799
3.84765 0.124347 24 2.24022
4.44288 0.0768841 12 1.38514
4.71239 2.67403 30 48.1752
4.96729 0.177606 24 3.19974
5.20974 0.276839 24 4.98751
5.4414 0.799066 8 14.3959
5.66359 0.0721507 24 1.29986
5.87738 0.266947 48 4.80931
6.28319 0.123595 6 2.22667
6.55703 0.155798 84 2.80685
6.84694 0.246227 24 4.43601
7.02481 0.100239 24 1.80591
7.25476 0.0897045 72 1.61611
7.6953 0.152622 24 2.74963
7.96377 0.0855621 102 1.54148
8.1621 0.0716911 32 1.29158
8.51684 0.070514 120 1.27038
8.88577 0.118201 12 2.12949
9.15858 0.0794582 144 1.43151
9.48256 0.746121 54 13.4421
9.74593 0.110542 96 1.99152
10.1275 0.113246 168 2.04023
10.5564 0.0958739 144 1.72726
11.0536 0.0920908 146 1.6591
11.4241 0.0781967 240 1.40879
11.9234 0.0654232 192 1.17866
12.3255 0.0549346 168 0.989699
12.7651 0.0477442 270 0.860157
13.1907 0.0539174 228 0.971372
13.6659 0.0473936 344 0.85384
14.2646 0.0795236 342 1.43269
14.7875 0.0497177 456 0.895711
15.4187 0.0493842 396 0.889702
15.942 0.0404791 486 0.72927
16.5482 0.0426591 560 0.768545
17.1639 0.0332265 558 0.598607
17.8011 0.029825 708 0.537325
18.4303 0.0306698 672 0.552546
19.1824 0.031144 998 0.561088
19.9469 0.027164 924 0.489385
20.6808 0.0239465 1014 0.431419
21.3842 0.0253611 1064 0.456903
22.2186 0.0195958 1434 0.353037
23.0657 0.0203751 1440 0.367077
23.935 0.018141 1662 0.326828
24.8633 0.0156896 1898 0.282663
25.7971 0.016183 2040 0.291553
26.7938 0.0151177 2378 0.272359
27.7886 0.0138396 2430 0.249334
28.8178 0.0123423 2964 0.222357
29.9415 0.011381 3278 0.20504
31.0801 0.0120297 3618 0.216727
32.231 0.0101249 3896 0.18241
33.4697 0.00899972 4770 0.162139
34.7575 0.00805771 4902 0.145167
36.0407 0.00815713 5522 0.146958
37.3988 0.00704183 6402 0.126865
38.8321 0.00667889 7118 0.120327
40.2872 0.00633091 7634 0.114057
41.8167 0.00574588 9090 0.103517
43.399 0.00524888 9566 0.0945636
45.0279 0.00477771 11034 0.0860749
46.7308 0.00428157 12290 0.0771365
48.5017 0.00393769 13706 0.0709412
50.3097 0.00362309 14970 0.0652735
52.197 0.00338964 17198 0.0610675
54.1738 0.003013 19016 0.054282
56.2203 0.00271703 21458 0.0489498
58.3613 0.00252861 24186 0.0455553
60.5794 0.00234234 26624 0.0421994
62.8515 0.0021082 29594 0.0379811
65.2265 0.00194459 33536 0.0350336
67.6932 0.00181073 37166 0.032622
70.2489 0.00169703 41720 0.0305735
72.8971 0.00161091 46280 0.029022
75.6319 0.00151736 51536 0.0273367
78.4853 0.00140479 58466 0.0253087
81.4754 0.00133344 65564 0.0240231
84.5539 0.00127646 72080 0.0229967
87.7413 0.00121765 81380 0.0219371
91.0485 0.00116406 90070 0.0209717
94.4801 0.00112732 101516 0.0203098
98.0438 0.00111514 112736 0.0200903
101.721 0.00109234 122371 0.0196795
105.563 0.00106018 120908 0.0191001
109.542 0.00104337 118888 0.0187973
113.676 0.00101964 115424 0.0183698
117.973 0.00102481 110068 0.0184629
122.414 0.00104789 101516 0.0188788
127.021 0.00106734 92536 0.0192292
131.796 0.00114103 78532 0.0205568
136.72 0.00123365 62872 0.0222253
141.817 0.00132704 43009 0.0239079
147.18 0.00143751 27262 0.0258981
152.694 0.00162896 16264 0.0293472
158.385 0.00193532 8614 0.0348667
164.073 0.00251803 3046 0.0453647
169.186 0.00318385 550 0.05736
174.125 0.00390168 1 0.0702925
