# in Mpc/h Units 
# D1 = 0.193468 
# k P N P(z=0)
1.5708 0.315107 6 8.41857
2.22144 0.341892 12 9.13417
2.7207 0.453327 8 12.1113
3.14159 0.090275 6 2.41184
3.51241 0.0803841 24 2.14759
3.84765 0.0812281 24 2.17013
4.44288 0.0487159 12 1.30152
4.71239 2.5916 30 69.2385
4.96729 0.117513 24 3.13953
5.20974 0.188649 24 5.04005
5.4414 0.533609 8 14.2562
5.66359 0.0453386 24 1.21129
5.87738 0.175452 48 4.68748
6.28319 0.0699608 6 1.86911
6.55703 0.100886 84 2.69532
6.84694 0.151256 24 4.04103
7.02481 0.060132 24 1.60652
7.25476 0.0563964 72 1.50672
7.6953 0.0902812 24 2.412
7.96377 0.0493553 102 1.3186
8.1621 0.0358603 32 0.958063
8.51684 0.0401858 120 1.07363
8.88577 0.0685129 12 1.83043
9.15858 0.0454975 144 1.21554
9.48256 0.727501 54 19.4363
9.74593 0.0680994 96 1.81938
10.1275 0.0699314 168 1.86833
10.5564 0.0563999 144 1.50681
11.0536 0.0572845 146 1.53044
11.4241 0.0421737 240 1.12673
11.9234 0.0343496 192 0.917703
12.3255 0.0274256 168 0.732718
12.7651 0.0246817 270 0.659408
13.1907 0.0255697 228 0.683133
13.6659 0.0244273 344 0.652613
14.2646 0.0606974 342 1.62162
14.7875 0.0260314 456 0.695468
15.4187 0.0267948 396 0.715865
15.942 0.021876 486 0.584452
16.5482 0.0203712 560 0.544248
17.1639 0.0163692 558 0.437327
17.8011 0.0140366 708 0.375008
18.4303 0.0139083 672 0.371582
19.1824 0.016665 998 0.445232
19.9469 0.0124229 924 0.331898
20.6808 0.0111831 1014 0.298775
21.3842 0.0114485 1064 0.305864
22.2186 0.00829303 1434 0.221561
23.0657 0.00888801 1440 0.237457
23.935 0.00827763 1662 0.22115
24.8633 0.00680732 1898 0.181868
25.7971 0.00735907 2040 0.196609
26.7938 0.00626721 2378 0.167438
27.7886 0.00570061 2430 0.152301
28.8178 0.0047724 2964 0.127502
29.9415 0.00477647 3278 0.127611
31.0801 0.004933 3618 0.131793
32.231 0.00419396 3896 0.112048
33.4697 0.00388924 4770 0.103907
34.7575 0.00349071 4902 0.0932596
36.0407 0.00351748 5522 0.093975
37.3988 0.00319574 6402 0.0853791
38.8321 0.00284474 7118 0.0760017
40.2872 0.00277014 7634 0.0740084
41.8167 0.00233065 9090 0.0622668
43.399 0.0022328 9566 0.0596526
45.0279 0.00210535 11034 0.0562476
46.7308 0.0019213 12290 0.0513306
48.5017 0.00174578 13706 0.0466412
50.3097 0.00161765 14970 0.0432181
52.197 0.00147037 17198 0.0392832
54.1738 0.0013566 19016 0.0362437
56.2203 0.00128112 21458 0.0342271
58.3613 0.00120072 24186 0.0320792
60.5794 0.00112758 26624 0.030125
62.8515 0.00107116 29594 0.0286178
65.2265 0.000999629 33536 0.0267066
67.6932 0.00093124 37166 0.0248795
70.2489 0.000900066 41720 0.0240466
72.8971 0.000838534 46280 0.0224027
75.6319 0.000807307 51536 0.0215685
78.4853 0.000771706 58466 0.0206173
81.4754 0.000751795 65564 0.0200854
84.5539 0.000713415 72080 0.01906
87.7413 0.000705496 81380 0.0188484
91.0485 0.000689572 90070 0.018423
94.4801 0.00067885 101516 0.0181365
98.0438 0.000685147 112736 0.0183047
101.721 0.00068961 122371 0.018424
105.563 0.000666402 120908 0.017804
109.542 0.00066443 118888 0.0177513
113.676 0.000663364 115424 0.0177228
117.973 0.000663485 110068 0.017726
122.414 0.000676434 101516 0.018072
127.021 0.000690479 92536 0.0184472
131.796 0.000735982 78532 0.0196629
136.72 0.000779797 62872 0.0208335
141.817 0.000827153 43009 0.0220987
147.18 0.000839558 27262 0.0224301
152.694 0.000914427 16264 0.0244303
158.385 0.00102301 8614 0.0273312
164.073 0.0012805 3046 0.0342105
169.186 0.0017307 550 0.0462382
174.125 0.00664466 1 0.177522
