# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.5708 9.23352e-13 12 9.23352e-13
2.22144 9.83582e-13 24 9.83582e-13
2.7207 7.78907e-14 16 7.78907e-14
3.14159 1.19109e-11 12 1.19109e-11
3.51241 1.82802e-11 48 1.82802e-11
3.84765 9.2511e-12 48 9.2511e-12
4.44288 1.24539e-11 24 1.24539e-11
4.71239 1.44806e-11 60 1.44806e-11
4.96729 6.54753e-11 48 6.54753e-11
5.20974 5.99467e-11 48 5.99467e-11
5.4414 3.00465e-12 16 3.00465e-12
5.66359 3.82586e-11 48 3.82586e-11
5.87738 4.05341e-11 96 4.05341e-11
6.28319 7.83316e-11 12 7.83316e-11
6.55703 1.19048e-10 168 1.19048e-10
6.84694 8.97138e-11 48 8.97138e-11
7.02481 2.18152e-10 48 2.18152e-10
7.25476 1.06775e-10 144 1.06775e-10
7.6953 1.42199e-10 48 1.42199e-10
7.96377 2.84757e-10 204 2.84757e-10
8.1621 3.06065e-10 64 3.06065e-10
8.51684 1.98988e-10 240 1.98988e-10
8.88577 1.62406e-10 24 1.62406e-10
9.15858 3.60037e-10 288 3.60037e-10
9.48256 5.55229e-10 108 5.55229e-10
9.74593 5.78547e-10 192 5.78547e-10
10.1275 4.49366e-10 336 4.49366e-10
10.5564 6.18244e-10 288 6.18244e-10
11.0536 5.08803e-10 292 5.08803e-10
11.4241 8.74e-10 480 8.74e-10
11.9234 7.94164e-10 384 7.94164e-10
12.3255 1.01424e-09 336 1.01424e-09
12.7651 1.18456e-09 540 1.18456e-09
13.1907 1.20499e-09 456 1.20499e-09
13.6659 1.31339e-09 688 1.31339e-09
14.2646 1.55373e-09 684 1.55373e-09
14.7875 1.81929e-09 912 1.81929e-09
15.4187 1.77246e-09 792 1.77246e-09
15.942 1.99454e-09 972 1.99454e-09
16.5482 2.10195e-09 1120 2.10195e-09
17.1639 2.60107e-09 1116 2.60107e-09
17.8011 2.78996e-09 1416 2.78996e-09
18.4303 2.95639e-09 1344 2.95639e-09
19.1824 3.51508e-09 1996 3.51508e-09
19.9469 3.06932e-09 1848 3.06932e-09
20.6808 4.11631e-09 2028 4.11631e-09
21.3842 4.15879e-09 2128 4.15879e-09
22.2186 4.73015e-09 2868 4.73015e-09
23.0657 4.68168e-09 2880 4.68168e-09
23.935 5.03034e-09 3324 5.03034e-09
24.8633 5.69088e-09 3796 5.69088e-09
25.7971 5.92718e-09 4080 5.92718e-09
26.7938 6.27012e-09 4756 6.27012e-09
27.7886 6.51971e-09 4860 6.51971e-09
28.8178 7.93475e-09 5928 7.93475e-09
29.9415 8.16312e-09 6556 8.16312e-09
31.0801 8.92589e-09 7236 8.92589e-09
32.231 9.5193e-09 7792 9.5193e-09
33.4697 1.13797e-08 9540 1.13797e-08
34.7575 1.23493e-08 9804 1.23493e-08
36.0407 1.33385e-08 11044 1.33385e-08
37.3988 1.55148e-08 12804 1.55148e-08
38.8321 1.73511e-08 14236 1.73511e-08
40.2872 1.94618e-08 15268 1.94618e-08
41.8167 2.28594e-08 18180 2.28594e-08
43.399 2.64378e-08 19132 2.64378e-08
45.0279 3.06196e-08 22068 3.06196e-08
46.7308 3.51119e-08 24580 3.51119e-08
48.5017 3.97824e-08 27412 3.97824e-08
50.3097 4.59e-08 29940 4.59e-08
52.197 5.39765e-08 34396 5.39765e-08
54.1738 6.26979e-08 38032 6.26979e-08
56.2203 7.50709e-08 42916 7.50709e-08
58.3613 8.91377e-08 48372 8.91377e-08
60.5794 1.07574e-07 53248 1.07574e-07
62.8515 1.30898e-07 59188 1.30898e-07
65.2265 1.5757e-07 67072 1.5757e-07
67.6932 1.9555e-07 74332 1.9555e-07
70.2489 2.47683e-07 83440 2.47683e-07
72.8971 3.18279e-07 92560 3.18279e-07
75.6319 4.16349e-07 103072 4.16349e-07
78.4853 5.62109e-07 116932 5.62109e-07
81.4754 7.87141e-07 131128 7.87141e-07
84.5539 1.12705e-06 144160 1.12705e-06
87.7413 1.64709e-06 162760 1.64709e-06
91.0485 2.48115e-06 180140 2.48115e-06
94.4801 3.72011e-06 203032 3.72011e-06
98.0438 5.38438e-06 225472 5.38438e-06
101.721 0.00182163 244742 0.00182163
105.563 6.38378e-06 241816 6.38378e-06
109.542 6.91523e-06 237776 6.91523e-06
113.676 7.90288e-06 230848 7.90288e-06
117.973 9.28108e-06 220136 9.28108e-06
122.414 1.14727e-05 203032 1.14727e-05
127.021 1.43372e-05 185072 1.43372e-05
131.796 1.72362e-05 157064 1.72362e-05
136.72 1.94175e-05 125744 1.94175e-05
141.817 0.0124961 86018 0.0124961
147.18 2.70832e-05 54524 2.70832e-05
152.694 4.43659e-05 32528 4.43659e-05
158.385 7.56371e-05 17228 7.56371e-05
164.073 8.85956e-05 6092 8.85956e-05
169.186 6.32134e-05 1100 6.32134e-05
174.125 481.983 2 481.983
