# in Mpc/h Units 
# D1 = 0.0961825 
# k P N P(z=0)
1.5708 0.0838012 6 9.05854
2.22144 0.0950753 12 10.2772
2.7207 0.117839 8 12.7379
3.14159 0.0245338 6 2.652
3.51241 0.0202224 24 2.18595
3.84765 0.0169878 24 1.83631
4.44288 0.0106612 12 1.15243
4.71239 1.96376 30 212.274
4.96729 0.0243333 24 2.63033
5.20974 0.0420694 24 4.54752
5.4414 0.10514 8 11.3652
5.66359 0.00814663 24 0.880614
5.87738 0.0336083 48 3.63291
6.28319 0.011965 6 1.29337
6.55703 0.0236184 84 2.55305
6.84694 0.0248625 24 2.68753
7.02481 0.0102351 24 1.10637
7.25476 0.0123028 72 1.32988
7.6953 0.0100088 24 1.08191
7.96377 0.00774873 102 0.837603
8.1621 0.00537857 32 0.5814
8.51684 0.00677859 120 0.732735
8.88577 0.0049125 12 0.53102
9.15858 0.00689047 144 0.74483
9.48256 0.436564 54 47.1906
9.74593 0.0134266 96 1.45136
10.1275 0.0107684 168 1.16402
10.5564 0.00757801 144 0.819149
11.0536 0.0126578 146 1.36825
11.4241 0.00536687 240 0.580135
11.9234 0.0044255 192 0.478377
12.3255 0.00287951 168 0.311263
12.7651 0.00325543 270 0.351897
13.1907 0.00263405 228 0.284729
13.6659 0.00313089 344 0.338436
14.2646 0.0162677 342 1.75846
14.7875 0.0028004 456 0.302711
15.4187 0.00237969 396 0.257234
15.942 0.00255447 486 0.276127
16.5482 0.0016334 560 0.176564
17.1639 0.00147506 558 0.159447
17.8011 0.00131938 708 0.142619
18.4303 0.00126635 672 0.136887
19.1824 0.0015107 998 0.1633
19.9469 0.000917975 924 0.099229
20.6808 0.00103377 1014 0.111746
21.3842 0.000786513 1064 0.0850186
22.2186 0.000635705 1434 0.0687169
23.0657 0.000701626 1440 0.0758426
23.935 0.000709216 1662 0.0766631
24.8633 0.000605101 1898 0.0654088
25.7971 0.000600694 2040 0.0649324
26.7938 0.000579471 2378 0.0626383
27.7886 0.000796327 2430 0.0860795
28.8178 0.000802963 2964 0.0867968
29.9415 0.000719568 3278 0.0777821
31.0801 0.000655935 3618 0.0709037
32.231 0.000714743 3896 0.0772606
33.4697 0.00107823 4770 0.116552
34.7575 0.000890359 4902 0.0962439
36.0407 0.000768337 5522 0.0830539
37.3988 0.000751965 6402 0.0812841
38.8321 0.000855272 7118 0.0924511
40.2872 0.00074984 7634 0.0810544
41.8167 0.000656098 9090 0.0709213
43.399 0.000554755 9566 0.0599666
45.0279 0.000521167 11034 0.0563359
46.7308 0.000473225 12290 0.0511536
48.5017 0.00042747 13706 0.0462076
50.3097 0.000400284 14970 0.0432689
52.197 0.000365647 17198 0.0395249
54.1738 0.000350741 19016 0.0379135
56.2203 0.000323924 21458 0.0350148
58.3613 0.000304785 24186 0.0329459
60.5794 0.000293564 26624 0.0317329
62.8515 0.000295785 29594 0.0319731
65.2265 0.000295836 33536 0.0319786
67.6932 0.000302441 37166 0.0326926
70.2489 0.000304 41720 0.0328611
72.8971 0.000306929 46280 0.0331777
75.6319 0.000312959 51536 0.0338295
78.4853 0.000307899 58466 0.0332825
81.4754 0.000304746 65564 0.0329417
84.5539 0.000307142 72080 0.0332007
87.7413 0.000304152 81380 0.0328775
91.0485 0.000307134 90070 0.0331999
94.4801 0.000317272 101516 0.0342957
98.0438 0.000330806 112736 0.0357586
101.721 0.000337844 122371 0.0365195
105.563 0.000342123 120908 0.036982
109.542 0.000351351 118888 0.0379794
113.676 0.000358939 115424 0.0387997
117.973 0.000375291 110068 0.0405673
122.414 0.000397408 101516 0.042958
127.021 0.000424055 92536 0.0458384
131.796 0.000463273 78532 0.0500778
136.72 0.000520626 62872 0.0562773
141.817 0.00055424 43009 0.0599109
147.18 0.000597269 27262 0.0645621
152.694 0.000691944 16264 0.0747961
158.385 0.000809995 8614 0.0875569
164.073 0.00107038 3046 0.115703
169.186 0.00148702 550 0.16074
174.125 0.00468105 1 0.506001
