# in Mpc/h Units 
# D1 = 0.0379116 
# k P N P(z=0)
1.5708 0.0143249 6 9.96658
2.22144 0.0169885 12 11.8198
2.7207 0.0203264 8 14.1422
3.14159 0.00354129 6 2.46386
3.51241 0.00360216 24 2.50621
3.84765 0.0025758 24 1.79212
4.44288 0.0018735 12 1.3035
4.71239 1.22709 30 853.75
4.96729 0.00172795 24 1.20223
5.20974 0.00406239 24 2.82642
5.4414 0.00982893 8 6.83851
5.66359 0.000977008 24 0.679757
5.87738 0.0045118 48 3.1391
6.28319 0.0011258 6 0.783277
6.55703 0.00299963 84 2.087
6.84694 0.00365829 24 2.54527
7.02481 0.000893245 24 0.621478
7.25476 0.00155095 72 1.07908
7.6953 0.000584486 24 0.406658
7.96377 0.00126109 102 0.877406
8.1621 0.000786882 32 0.547476
8.51684 0.000991053 120 0.689529
8.88577 0.000146404 12 0.101861
9.15858 0.000517656 144 0.360161
9.48256 0.473189 54 329.223
9.74593 0.000929918 96 0.646993
10.1275 0.00137711 168 0.958129
10.5564 0.00154783 144 1.07691
11.0536 0.00227611 146 1.58361
11.4241 0.000949923 240 0.660912
11.9234 0.00087469 192 0.608568
12.3255 0.000246901 168 0.171782
12.7651 0.000818811 270 0.56969
13.1907 0.000650755 228 0.452765
13.6659 0.000234824 344 0.16338
14.2646 0.0451649 342 31.4236
14.7875 0.000569449 456 0.396196
15.4187 0.0006823 396 0.474712
15.942 0.00083498 486 0.58094
16.5482 0.000657143 560 0.45721
17.1639 0.000407897 558 0.283796
17.8011 0.000296309 708 0.206158
18.4303 0.00011789 672 0.0820224
19.1824 0.00738873 998 5.14074
19.9469 0.000260015 924 0.180906
20.6808 0.000458935 1014 0.319305
21.3842 0.000204331 1064 0.142164
22.2186 0.000210129 1434 0.146198
23.0657 7.28723e-05 1440 0.0507012
23.935 0.00140907 1662 0.980366
24.8633 0.000165649 1898 0.115251
25.7971 0.00015025 2040 0.104537
26.7938 0.000166689 2378 0.115974
27.7886 0.00015216 2430 0.105866
28.8178 0.000362558 2964 0.252251
29.9415 0.000120356 3278 0.0837379
31.0801 0.000157699 3618 0.10972
32.231 8.82859e-05 3896 0.0614252
33.4697 0.000126126 4770 0.0877528
34.7575 6.91998e-05 4902 0.048146
36.0407 6.21924e-05 5522 0.0432706
37.3988 0.000151829 6402 0.105635
38.8321 8.13747e-05 7118 0.0566167
40.2872 7.27909e-05 7634 0.0506445
41.8167 0.000132939 9090 0.0924926
43.399 7.62672e-05 9566 0.0530632
45.0279 6.48655e-05 11034 0.0451304
46.7308 9.25603e-05 12290 0.0643991
48.5017 7.37991e-05 13706 0.051346
50.3097 5.12182e-05 14970 0.0356353
52.197 6.43564e-05 17198 0.0447762
54.1738 5.81796e-05 19016 0.0404786
56.2203 5.95757e-05 21458 0.04145
58.3613 8.41534e-05 24186 0.05855
60.5794 0.000109558 26624 0.0762256
62.8515 0.000140282 29594 0.0976014
65.2265 0.000117897 33536 0.0820274
67.6932 0.000132566 37166 0.0922332
70.2489 0.000158425 41720 0.110225
72.8971 0.00017664 46280 0.122898
75.6319 0.000188976 51536 0.131481
78.4853 0.00021491 58466 0.149524
81.4754 0.000221865 65564 0.154363
84.5539 0.000222741 72080 0.154973
87.7413 0.00025682 81380 0.178683
91.0485 0.000308378 90070 0.214555
94.4801 0.000374159 101516 0.260322
98.0438 0.000390942 112736 0.271999
101.721 0.000284241 122371 0.197762
105.563 0.000240779 120908 0.167523
109.542 0.000246708 118888 0.171648
113.676 0.000238984 115424 0.166274
117.973 0.000246749 110068 0.171676
122.414 0.000286703 101516 0.199475
127.021 0.000365643 92536 0.254398
131.796 0.000456031 78532 0.317285
136.72 0.000590883 62872 0.411109
141.817 0.000496096 43009 0.345161
147.18 0.000502865 27262 0.34987
152.694 0.000520851 16264 0.362384
158.385 0.000747281 8614 0.519923
164.073 0.00133883 3046 0.931494
169.186 0.00212846 550 1.48088
174.125 0.00395344 1 2.75062
