# in Mpc/h Units 
# D1 = 0.17911 
# k P N P(z=0)
1.5708 0.273546 6 8.5269
2.22144 0.298748 12 9.3125
2.7207 0.394875 8 12.309
3.14159 0.0795204 6 2.47879
3.51241 0.0691216 24 2.15465
3.84765 0.0688687 24 2.14676
4.44288 0.0409442 12 1.2763
4.71239 2.54865 30 79.446
4.96729 0.100118 24 3.12084
5.20974 0.163056 24 5.08274
5.4414 0.455348 8 14.194
5.66359 0.037932 24 1.18241
5.87738 0.148027 48 4.61427
6.28319 0.0567713 6 1.76966
6.55703 0.0859923 84 2.68053
6.84694 0.124613 24 3.8844
7.02481 0.0492034 24 1.53376
7.25476 0.0477385 72 1.48809
7.6953 0.073141 24 2.27994
7.96377 0.0400919 102 1.24974
8.1621 0.0275881 32 0.859972
8.51684 0.0324782 120 1.0124
8.88577 0.0532784 12 1.66078
9.15858 0.0369335 144 1.15128
9.48256 0.709566 54 22.1184
9.74593 0.057352 96 1.78776
10.1275 0.0577039 168 1.79873
10.5564 0.0457086 144 1.42482
11.0536 0.0485325 146 1.51284
11.4241 0.0331731 240 1.03407
11.9234 0.0270071 192 0.84186
12.3255 0.0212669 168 0.662926
12.7651 0.0193808 270 0.604134
13.1907 0.0192366 228 0.599638
13.6659 0.019416 344 0.605232
14.2646 0.0555604 342 1.73192
14.7875 0.0207686 456 0.647395
15.4187 0.0209212 396 0.65215
15.942 0.0176132 486 0.549034
16.5482 0.0155093 560 0.483454
17.1639 0.0126273 558 0.393616
17.8011 0.0106056 708 0.330596
18.4303 0.0104656 672 0.326231
19.1824 0.0136597 998 0.425797
19.9469 0.00938012 924 0.292395
20.6808 0.00864703 1014 0.269543
21.3842 0.00862004 1064 0.268702
22.2186 0.0062785 1434 0.195712
23.0657 0.00659877 1440 0.205695
23.935 0.00647247 1662 0.201758
24.8633 0.00521232 1898 0.162477
25.7971 0.00561984 2040 0.17518
26.7938 0.0045754 2378 0.142624
27.7886 0.00423675 2430 0.132067
28.8178 0.00366355 2964 0.114199
29.9415 0.00357397 3278 0.111407
31.0801 0.00370574 3618 0.115515
32.231 0.00317108 3896 0.0988481
33.4697 0.00305639 4770 0.095273
34.7575 0.00271708 4902 0.0846964
36.0407 0.00272354 5522 0.0848976
37.3988 0.00248727 6402 0.0775325
38.8321 0.00216341 7118 0.0674373
40.2872 0.00225129 7634 0.0701767
41.8167 0.00191278 9090 0.0596248
43.399 0.00180093 9566 0.0561382
45.0279 0.00170725 11034 0.053218
46.7308 0.00153418 12290 0.0478232
48.5017 0.00137751 13706 0.0429395
50.3097 0.00128299 14970 0.0399932
52.197 0.00117138 17198 0.0365141
54.1738 0.00108936 19016 0.0339572
56.2203 0.000999951 21458 0.0311703
58.3613 0.000933375 24186 0.029095
60.5794 0.000882504 26624 0.0275092
62.8515 0.000831883 29594 0.0259313
65.2265 0.000786851 33536 0.0245276
67.6932 0.000753762 37166 0.0234961
70.2489 0.000719193 41720 0.0224185
72.8971 0.000683106 46280 0.0212936
75.6319 0.000660304 51536 0.0205829
78.4853 0.000638577 58466 0.0199056
81.4754 0.000620011 65564 0.0193269
84.5539 0.000600797 72080 0.0187279
87.7413 0.000599991 81380 0.0187028
91.0485 0.000594794 90070 0.0185408
94.4801 0.000603043 101516 0.0187979
98.0438 0.000609545 112736 0.0190006
101.721 0.000617562 122371 0.0192505
105.563 0.000618443 120908 0.019278
109.542 0.000623652 118888 0.0194404
113.676 0.000621 115424 0.0193577
117.973 0.000631282 110068 0.0196782
122.414 0.000642522 101516 0.0200286
127.021 0.000672066 92536 0.0209495
131.796 0.000723783 78532 0.0225616
136.72 0.000784236 62872 0.024446
141.817 0.00085014 43009 0.0265004
147.18 0.000889458 27262 0.027726
152.694 0.000991428 16264 0.0309046
158.385 0.00112947 8614 0.0352075
164.073 0.00142546 3046 0.0444343
169.186 0.00178315 550 0.0555841
174.125 0.000199265 1 0.00621145
