# in Mpc/h Units 
# D1 = 0.0170212 
# k P N P(z=0)
1.5708 0.00320588 6 11.0655
2.22144 0.0039018 12 13.4675
2.7207 0.00499445 8 17.2389
3.14159 0.000719701 6 2.48413
3.51241 0.000924529 24 3.19112
3.84765 0.000663055 24 2.28861
4.44288 0.000524751 12 1.81124
4.71239 0.142002 30 490.137
4.96729 0.000232922 24 0.803955
5.20974 0.000543894 24 1.87731
5.4414 0.000559141 8 1.92994
5.66359 0.00029225 24 1.00873
5.87738 0.000351122 48 1.21194
6.28319 0.000419728 6 1.44874
6.55703 0.00028495 84 0.983538
6.84694 0.000329211 24 1.13631
7.02481 0.000206195 24 0.711707
7.25476 0.000173548 72 0.59902
7.6953 0.000145896 24 0.503576
7.96377 0.00016263 102 0.561335
8.1621 9.55357e-05 32 0.329752
8.51684 0.000107139 120 0.369801
8.88577 5.92016e-05 12 0.204341
9.15858 8.46108e-05 144 0.292044
9.48256 0.014393 54 49.679
9.74593 0.000100258 96 0.346051
10.1275 8.642e-05 168 0.298288
10.5564 8.70737e-05 144 0.300545
11.0536 7.92295e-05 146 0.273469
11.4241 5.89644e-05 240 0.203522
11.9234 4.59733e-05 192 0.158682
12.3255 5.20221e-05 168 0.17956
12.7651 3.67582e-05 270 0.126875
13.1907 3.68956e-05 228 0.127349
13.6659 3.815e-05 344 0.131679
14.2646 0.000556874 342 1.92211
14.7875 2.81731e-05 456 0.0972426
15.4187 3.34616e-05 396 0.115497
15.942 2.00801e-05 486 0.0693087
16.5482 2.10881e-05 560 0.0727879
17.1639 1.91212e-05 558 0.0659988
17.8011 1.65673e-05 708 0.0571838
18.4303 1.5118e-05 672 0.0521817
19.1824 5.8417e-05 998 0.201633
19.9469 1.26024e-05 924 0.0434987
20.6808 1.12545e-05 1014 0.038846
21.3842 1.02633e-05 1064 0.0354248
22.2186 8.91211e-06 1434 0.0307611
23.0657 8.00994e-06 1440 0.0276472
23.935 1.51275e-05 1662 0.0522144
24.8633 6.85226e-06 1898 0.0236513
25.7971 8.11019e-06 2040 0.0279932
26.7938 1.18909e-05 2378 0.0410427
27.7886 7.12622e-06 2430 0.024597
28.8178 0.000198055 2964 0.683611
29.9415 8.98259e-06 3278 0.0310044
31.0801 6.48727e-06 3618 0.0223915
32.231 5.04437e-06 3896 0.0174112
33.4697 4.19329e-06 4770 0.0144736
34.7575 3.91355e-06 4902 0.0135081
36.0407 3.90066e-06 5522 0.0134636
37.3988 3.7008e-06 6402 0.0127737
38.8321 3.73955e-06 7118 0.0129075
40.2872 3.65624e-06 7634 0.0126199
41.8167 3.59397e-06 9090 0.012405
43.399 3.64416e-06 9566 0.0125782
45.0279 3.74449e-06 11034 0.0129245
46.7308 3.8504e-06 12290 0.0132901
48.5017 3.99005e-06 13706 0.0137721
50.3097 3.78458e-06 14970 0.0130629
52.197 3.93053e-06 17198 0.0135667
54.1738 4.14839e-06 19016 0.0143186
56.2203 4.5722e-06 21458 0.0157815
58.3613 7.82798e-06 24186 0.0270192
60.5794 5.30497e-06 26624 0.0183107
62.8515 5.76593e-06 29594 0.0199018
65.2265 6.6667e-06 33536 0.0230109
67.6932 8.05155e-06 37166 0.0277908
70.2489 1.07473e-05 41720 0.0370956
72.8971 1.9008e-05 46280 0.0656082
75.6319 5.98989e-05 51536 0.206748
78.4853 0.000147331 58466 0.508529
81.4754 0.000142326 65564 0.491254
84.5539 8.86779e-05 72080 0.306082
87.7413 9.8608e-05 81380 0.340357
91.0485 0.000103418 90070 0.35696
94.4801 0.000302853 101516 1.04533
98.0438 0.00102284 112736 3.53043
101.721 0.000466684 122371 1.61081
105.563 8.33822e-05 120908 0.287803
109.542 7.37996e-05 118888 0.254728
113.676 0.000118824 115424 0.410134
117.973 0.000188895 110068 0.651993
122.414 0.000186085 101516 0.642295
127.021 0.000251186 92536 0.866995
131.796 0.000474829 78532 1.63893
136.72 0.00153599 62872 5.30165
141.817 0.00228072 43009 7.87215
147.18 0.000380477 27262 1.31326
152.694 0.000506125 16264 1.74695
158.385 0.00139256 8614 4.80658
164.073 0.00452611 3046 15.6224
169.186 0.0204878 550 70.7161
174.125 0.0486255 1 167.837
