# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.5708 8.19177e-13 12 8.19177e-13
2.22144 8.192e-13 24 8.192e-13
2.7207 2.4188e-14 16 2.4188e-14
3.14159 1.02819e-11 12 1.02819e-11
3.51241 1.66776e-11 48 1.66776e-11
3.84765 1.01652e-11 48 1.01652e-11
4.44288 8.2338e-12 24 8.2338e-12
4.71239 1.3105e-11 60 1.3105e-11
4.96729 6.33609e-11 48 6.33609e-11
5.20974 5.83771e-11 48 5.83771e-11
5.4414 1.96972e-12 16 1.96972e-12
5.66359 2.72069e-11 48 2.72069e-11
5.87738 3.69594e-11 96 3.69594e-11
6.28319 1.12467e-10 12 1.12467e-10
6.55703 1.01728e-10 168 1.01728e-10
6.84694 3.82387e-11 48 3.82387e-11
7.02481 2.18099e-10 48 2.18099e-10
7.25476 9.9895e-11 144 9.9895e-11
7.6953 1.56737e-10 48 1.56737e-10
7.96377 2.34293e-10 204 2.34293e-10
8.1621 2.7119e-10 64 2.7119e-10
8.51684 2.01282e-10 240 2.01282e-10
8.88577 1.69173e-10 24 1.69173e-10
9.15858 2.86784e-10 288 2.86784e-10
9.48256 5.24108e-10 108 5.24108e-10
9.74593 6.0635e-10 192 6.0635e-10
10.1275 4.0936e-10 336 4.0936e-10
10.5564 6.69607e-10 288 6.69607e-10
11.0536 5.36338e-10 292 5.36338e-10
11.4241 8.27622e-10 480 8.27622e-10
11.9234 7.99491e-10 384 7.99491e-10
12.3255 8.81364e-10 336 8.81364e-10
12.7651 1.28798e-09 540 1.28798e-09
13.1907 1.34575e-09 456 1.34575e-09
13.6659 1.45521e-09 688 1.45521e-09
14.2646 1.69402e-09 684 1.69402e-09
14.7875 1.82429e-09 912 1.82429e-09
15.4187 2.14609e-09 792 2.14609e-09
15.942 2.43745e-09 972 2.43745e-09
16.5482 2.44208e-09 1120 2.44208e-09
17.1639 2.93515e-09 1116 2.93515e-09
17.8011 3.08651e-09 1416 3.08651e-09
18.4303 3.572e-09 1344 3.572e-09
19.1824 4.50791e-09 1996 4.50791e-09
19.9469 4.00257e-09 1848 4.00257e-09
20.6808 5.82226e-09 2028 5.82226e-09
21.3842 5.29528e-09 2128 5.29528e-09
22.2186 6.24686e-09 2868 6.24686e-09
23.0657 6.43282e-09 2880 6.43282e-09
23.935 7.45831e-09 3324 7.45831e-09
24.8633 7.85127e-09 3796 7.85127e-09
25.7971 8.8986e-09 4080 8.8986e-09
26.7938 1.01807e-08 4756 1.01807e-08
27.7886 9.9895e-09 4860 9.9895e-09
28.8178 1.15987e-08 5928 1.15987e-08
29.9415 1.26916e-08 6556 1.26916e-08
31.0801 1.39503e-08 7236 1.39503e-08
32.231 1.50241e-08 7792 1.50241e-08
33.4697 1.65572e-08 9540 1.65572e-08
34.7575 1.88605e-08 9804 1.88605e-08
36.0407 2.01456e-08 11044 2.01456e-08
37.3988 2.32261e-08 12804 2.32261e-08
38.8321 2.47841e-08 14236 2.47841e-08
40.2872 2.81856e-08 15268 2.81856e-08
41.8167 3.19729e-08 18180 3.19729e-08
43.399 3.64151e-08 19132 3.64151e-08
45.0279 4.06215e-08 22068 4.06215e-08
46.7308 4.47414e-08 24580 4.47414e-08
48.5017 5.00753e-08 27412 5.00753e-08
50.3097 5.80942e-08 29940 5.80942e-08
52.197 6.53741e-08 34396 6.53741e-08
54.1738 7.55036e-08 38032 7.55036e-08
56.2203 8.76505e-08 42916 8.76505e-08
58.3613 1.04896e-07 48372 1.04896e-07
60.5794 1.23444e-07 53248 1.23444e-07
62.8515 1.48e-07 59188 1.48e-07
65.2265 1.77858e-07 67072 1.77858e-07
67.6932 2.16057e-07 74332 2.16057e-07
70.2489 2.72211e-07 83440 2.72211e-07
72.8971 3.4817e-07 92560 3.4817e-07
75.6319 4.52592e-07 103072 4.52592e-07
78.4853 6.19467e-07 116932 6.19467e-07
81.4754 8.79687e-07 131128 8.79687e-07
84.5539 1.31194e-06 144160 1.31194e-06
87.7413 2.01639e-06 162760 2.01639e-06
91.0485 3.09624e-06 180140 3.09624e-06
94.4801 4.60653e-06 203032 4.60653e-06
98.0438 6.36038e-06 225472 6.36038e-06
101.721 0.00175581 244742 0.00175581
105.563 7.11172e-06 241816 7.11172e-06
109.542 7.21097e-06 237776 7.21097e-06
113.676 7.48432e-06 230848 7.48432e-06
117.973 7.77063e-06 220136 7.77063e-06
122.414 8.21026e-06 203032 8.21026e-06
127.021 8.73183e-06 185072 8.73183e-06
131.796 9.31631e-06 157064 9.31631e-06
136.72 9.65908e-06 125744 9.65908e-06
141.817 0.0119756 86018 0.0119756
147.18 1.08324e-05 54524 1.08324e-05
152.694 1.24112e-05 32528 1.24112e-05
158.385 1.51354e-05 17228 1.51354e-05
164.073 1.69477e-05 6092 1.69477e-05
169.186 2.14641e-05 1100 2.14641e-05
174.125 459.288 2 459.288
