# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.5708 6.35568e-11 12 6.35568e-11
2.22144 7.77942e-10 24 7.77942e-10
2.7207 6.87105e-10 16 6.87105e-10
3.14159 2.70488e-09 12 2.70488e-09
3.51241 2.053e-09 48 2.053e-09
3.84765 2.00002e-09 48 2.00002e-09
4.44288 1.71156e-09 24 1.71156e-09
4.71239 2.44514e-09 60 2.44514e-09
4.96729 6.54035e-09 48 6.54035e-09
5.20974 6.44919e-09 48 6.44919e-09
5.4414 1.48609e-08 16 1.48609e-08
5.66359 7.9917e-09 48 7.9917e-09
5.87738 7.43567e-09 96 7.43567e-09
6.28319 3.55024e-09 12 3.55024e-09
6.55703 9.5596e-09 168 9.5596e-09
6.84694 1.10994e-08 48 1.10994e-08
7.02481 1.92761e-08 48 1.92761e-08
7.25476 1.08699e-08 144 1.08699e-08
7.6953 1.03301e-08 48 1.03301e-08
7.96377 1.47325e-08 204 1.47325e-08
8.1621 2.05756e-08 64 2.05756e-08
8.51684 1.70288e-08 240 1.70288e-08
8.88577 2.8756e-08 24 2.8756e-08
9.15858 2.32783e-08 288 2.32783e-08
9.48256 2.21784e-08 108 2.21784e-08
9.74593 2.49379e-08 192 2.49379e-08
10.1275 2.41999e-08 336 2.41999e-08
10.5564 2.8527e-08 288 2.8527e-08
11.0536 3.52224e-08 292 3.52224e-08
11.4241 3.78123e-08 480 3.78123e-08
11.9234 3.79528e-08 384 3.79528e-08
12.3255 3.9803e-08 336 3.9803e-08
12.7651 4.84279e-08 540 4.84279e-08
13.1907 5.95241e-08 456 5.95241e-08
13.6659 6.57492e-08 688 6.57492e-08
14.2646 8.91881e-08 684 8.91881e-08
14.7875 7.06841e-08 912 7.06841e-08
15.4187 7.99078e-08 792 7.99078e-08
15.942 1.04655e-07 972 1.04655e-07
16.5482 1.11336e-07 1120 1.11336e-07
17.1639 1.21651e-07 1116 1.21651e-07
17.8011 1.41436e-07 1416 1.41436e-07
18.4303 1.70963e-07 1344 1.70963e-07
19.1824 1.80321e-07 1996 1.80321e-07
19.9469 2.11113e-07 1848 2.11113e-07
20.6808 2.46484e-07 2028 2.46484e-07
21.3842 2.45469e-07 2128 2.45469e-07
22.2186 3.15493e-07 2868 3.15493e-07
23.0657 3.2658e-07 2880 3.2658e-07
23.935 3.96719e-07 3324 3.96719e-07
24.8633 4.29755e-07 3796 4.29755e-07
25.7971 5.40365e-07 4080 5.40365e-07
26.7938 5.63494e-07 4756 5.63494e-07
27.7886 6.51367e-07 4860 6.51367e-07
28.8178 7.3469e-07 5928 7.3469e-07
29.9415 8.6692e-07 6556 8.6692e-07
31.0801 9.70138e-07 7236 9.70138e-07
32.231 1.13636e-06 7792 1.13636e-06
33.4697 1.36289e-06 9540 1.36289e-06
34.7575 1.51869e-06 9804 1.51869e-06
36.0407 1.76291e-06 11044 1.76291e-06
37.3988 2.06127e-06 12804 2.06127e-06
38.8321 2.30678e-06 14236 2.30678e-06
40.2872 2.73337e-06 15268 2.73337e-06
41.8167 3.35496e-06 18180 3.35496e-06
43.399 3.89868e-06 19132 3.89868e-06
45.0279 4.54499e-06 22068 4.54499e-06
46.7308 5.5475e-06 24580 5.5475e-06
48.5017 6.67602e-06 27412 6.67602e-06
50.3097 8.08651e-06 29940 8.08651e-06
52.197 9.51539e-06 34396 9.51539e-06
54.1738 1.17668e-05 38032 1.17668e-05
56.2203 1.47121e-05 42916 1.47121e-05
58.3613 1.82248e-05 48372 1.82248e-05
60.5794 2.31254e-05 53248 2.31254e-05
62.8515 2.87402e-05 59188 2.87402e-05
65.2265 3.55344e-05 67072 3.55344e-05
67.6932 4.39489e-05 74332 4.39489e-05
70.2489 5.38451e-05 83440 5.38451e-05
72.8971 6.6172e-05 92560 6.6172e-05
75.6319 7.94787e-05 103072 7.94787e-05
78.4853 9.45363e-05 116932 9.45363e-05
81.4754 0.000111603 131128 0.000111603
84.5539 0.0001298 144160 0.0001298
87.7413 0.000147324 162760 0.000147324
91.0485 0.000167154 180140 0.000167154
94.4801 0.000186418 203032 0.000186418
98.0438 0.000206714 225472 0.000206714
101.721 0.000221088 244742 0.000221088
105.563 0.000223908 241816 0.000223908
109.542 0.000226349 237776 0.000226349
113.676 0.000232821 230848 0.000232821
117.973 0.000238151 220136 0.000238151
122.414 0.000247445 203032 0.000247445
127.021 0.00025791 185072 0.00025791
131.796 0.000274522 157064 0.000274522
136.72 0.000293594 125744 0.000293594
141.817 0.000306753 86018 0.000306753
147.18 0.000307096 54524 0.000307096
152.694 0.000334793 32528 0.000334793
158.385 0.000398156 17228 0.000398156
164.073 0.000466136 6092 0.000466136
169.186 0.000610464 1100 0.000610464
174.125 0.00363498 2 0.00363498
