# in Mpc/h Units 
# D1 = 0.157997 
# k P N P(z=0)
1.5708 0.216406 6 8.66911
2.22144 0.238746 12 9.56402
2.7207 0.313196 8 12.5465
3.14159 0.0643412 6 2.57747
3.51241 0.0542051 24 2.17142
3.84765 0.0523342 24 2.09648
4.44288 0.0312553 12 1.25207
4.71239 2.46137 30 98.601
4.96729 0.0775252 24 3.10561
5.20974 0.128396 24 5.14347
5.4414 0.349739 8 14.0103
5.66359 0.0282899 24 1.13328
5.87738 0.111873 48 4.48158
6.28319 0.0411836 6 1.64979
6.55703 0.0670564 84 2.68624
6.84694 0.0910718 24 3.64828
7.02481 0.0362335 24 1.45149
7.25476 0.0369465 72 1.48006
7.6953 0.0515722 24 2.06595
7.96377 0.0289222 102 1.15861
8.1621 0.0189927 32 0.760838
8.51684 0.023524 120 0.942356
8.88577 0.034908 12 1.39839
9.15858 0.0268962 144 1.07745
9.48256 0.667644 54 26.7454
9.74593 0.0442566 96 1.77289
10.1275 0.0420961 168 1.68634
10.5564 0.0324128 144 1.29844
11.0536 0.0377454 146 1.51206
11.4241 0.0228479 240 0.915273
11.9234 0.0186356 192 0.74653
12.3255 0.014294 168 0.572608
12.7651 0.0135029 270 0.54092
13.1907 0.0125252 228 0.501753
13.6659 0.0137288 344 0.549969
14.2646 0.0473492 342 1.89678
14.7875 0.0144756 456 0.579883
15.4187 0.0137274 396 0.549913
15.942 0.0124667 486 0.499411
16.5482 0.00997065 560 0.399418
17.1639 0.00818322 558 0.327815
17.8011 0.00683812 708 0.273931
18.4303 0.00669083 672 0.268031
19.1824 0.00988778 998 0.396099
19.9469 0.00585014 924 0.234353
20.6808 0.00582103 1014 0.233187
21.3842 0.00539314 1064 0.216046
22.2186 0.00396315 1434 0.158761
23.0657 0.00415114 1440 0.166292
23.935 0.00443935 1662 0.177838
24.8633 0.00344706 1898 0.138087
25.7971 0.00349233 2040 0.139901
26.7938 0.00276705 2378 0.110846
27.7886 0.00267808 2430 0.107282
28.8178 0.00257008 2964 0.102956
29.9415 0.00241734 3278 0.0968371
31.0801 0.00239814 3618 0.0960682
32.231 0.00218971 3896 0.0877186
33.4697 0.00236094 4770 0.094578
34.7575 0.00209997 4902 0.0841236
36.0407 0.00197806 5522 0.0792398
37.3988 0.00189159 6402 0.0757758
38.8321 0.0017165 7118 0.0687619
40.2872 0.00179454 7634 0.0718883
41.8167 0.00151317 9090 0.0606166
43.399 0.00139631 9566 0.0559352
45.0279 0.00131223 11034 0.0525672
46.7308 0.00116146 12290 0.0465275
48.5017 0.00104161 13706 0.0417264
50.3097 0.000955653 14970 0.0382829
52.197 0.000874107 17198 0.0350162
54.1738 0.000791617 19016 0.0317117
56.2203 0.000742227 21458 0.0297332
58.3613 0.000674967 24186 0.0270388
60.5794 0.000645377 26624 0.0258534
62.8515 0.000622282 29594 0.0249283
65.2265 0.000588895 33536 0.0235908
67.6932 0.000568526 37166 0.0227748
70.2489 0.000532024 41720 0.0213126
72.8971 0.000521361 46280 0.0208854
75.6319 0.000498514 51536 0.0199702
78.4853 0.000486267 58466 0.0194796
81.4754 0.000472973 65564 0.018947
84.5539 0.000462162 72080 0.0185139
87.7413 0.000449851 81380 0.0180208
91.0485 0.000450102 90070 0.0180308
94.4801 0.00045712 101516 0.018312
98.0438 0.000477553 112736 0.0191305
101.721 0.000483977 122371 0.0193878
105.563 0.000480555 120908 0.0192508
109.542 0.00048027 118888 0.0192393
113.676 0.000489954 115424 0.0196273
117.973 0.000492194 110068 0.019717
122.414 0.000507309 101516 0.0203225
127.021 0.000545811 92536 0.0218649
131.796 0.000587089 78532 0.0235184
136.72 0.000657339 62872 0.0263326
141.817 0.000695181 43009 0.0278485
147.18 0.000727713 27262 0.0291518
152.694 0.000802212 16264 0.0321361
158.385 0.000961062 8614 0.0384996
164.073 0.00118637 3046 0.0475252
169.186 0.00168915 550 0.0676663
174.125 0.000550036 1 0.0220341
