# in Mpc/h Units 
# D1 = 0.14009 
# k P N P(z=0)
1.5708 0.172449 6 8.7871
2.22144 0.191642 12 9.76506
2.7207 0.248567 8 12.6657
3.14159 0.0515958 6 2.62904
3.51241 0.0428283 24 2.1823
3.84765 0.0400547 24 2.04097
4.44288 0.0241087 12 1.22845
4.71239 2.35473 30 119.984
4.96729 0.0601948 24 3.06721
5.20974 0.100482 24 5.12004
5.4414 0.267378 8 13.6241
5.66359 0.0210616 24 1.07319
5.87738 0.0847548 48 4.31865
6.28319 0.0307704 6 1.56789
6.55703 0.05295 84 2.69805
6.84694 0.0670113 24 3.41454
7.02481 0.0268937 24 1.37036
7.25476 0.0288682 72 1.47097
7.6953 0.0359128 24 1.82992
7.96377 0.0211983 102 1.08015
8.1621 0.0138233 32 0.704361
8.51684 0.0173459 120 0.883852
8.88577 0.0225401 12 1.14852
9.15858 0.0199296 144 1.01551
9.48256 0.613421 54 31.2567
9.74593 0.0342584 96 1.74563
10.1275 0.0308362 168 1.57125
10.5564 0.0230835 144 1.17621
11.0536 0.0296849 146 1.51258
11.4241 0.0161963 240 0.825275
11.9234 0.0131846 192 0.671816
12.3255 0.00980586 168 0.499654
12.7651 0.00956715 270 0.487491
13.1907 0.00843649 228 0.429878
13.6659 0.00986833 344 0.502837
14.2646 0.0387438 342 1.97418
14.7875 0.0100312 456 0.511137
15.4187 0.00904066 396 0.460664
15.942 0.00871751 486 0.444198
16.5482 0.00643115 560 0.327697
17.1639 0.00529064 558 0.269583
17.8011 0.00451673 708 0.230148
18.4303 0.00439013 672 0.223698
19.1824 0.00693334 998 0.353286
19.9469 0.00368806 924 0.187924
20.6808 0.00397625 1014 0.202608
21.3842 0.00336965 1064 0.171699
22.2186 0.00249326 1434 0.127043
23.0657 0.00264244 1440 0.134644
23.935 0.00299589 1662 0.152654
24.8633 0.00226784 1898 0.115557
25.7971 0.00218446 2040 0.111308
26.7938 0.00180584 2378 0.0920159
27.7886 0.00183728 2430 0.0936179
28.8178 0.00195053 2964 0.0993883
29.9415 0.00181065 3278 0.0922609
31.0801 0.00162625 3618 0.0828648
32.231 0.0016569 3896 0.0844268
33.4697 0.00188589 4770 0.096095
34.7575 0.00167918 4902 0.0855619
36.0407 0.00149334 5522 0.0760925
37.3988 0.00148141 6402 0.0754849
38.8321 0.00140681 7118 0.0716835
40.2872 0.00143358 7634 0.0730478
41.8167 0.00127186 9090 0.0648074
43.399 0.00112176 9566 0.057159
45.0279 0.00105375 11034 0.0536935
46.7308 0.000942777 12290 0.0480389
48.5017 0.000848646 13706 0.0432424
50.3097 0.000753875 14970 0.0384134
52.197 0.000696974 17198 0.0355141
54.1738 0.000639757 19016 0.0325986
56.2203 0.00058591 21458 0.0298548
58.3613 0.000537025 24186 0.0273639
60.5794 0.000520825 26624 0.0265384
62.8515 0.000493958 29594 0.0251694
65.2265 0.000477588 33536 0.0243353
67.6932 0.000467926 37166 0.023843
70.2489 0.000454731 41720 0.0231706
72.8971 0.00044809 46280 0.0228323
75.6319 0.000430636 51536 0.0219429
78.4853 0.000418015 58466 0.0212998
81.4754 0.000406071 65564 0.0206912
84.5539 0.000393115 72080 0.020031
87.7413 0.000387402 81380 0.0197399
91.0485 0.000395912 90070 0.0201736
94.4801 0.000399407 101516 0.0203516
98.0438 0.000411833 112736 0.0209848
101.721 0.000424545 122371 0.0216326
105.563 0.000423941 120908 0.0216017
109.542 0.000425478 118888 0.0216801
113.676 0.000433187 115424 0.0220729
117.973 0.000450689 110068 0.0229647
122.414 0.000470489 101516 0.0239736
127.021 0.000501769 92536 0.0255675
131.796 0.000541993 78532 0.0276171
136.72 0.000597382 62872 0.0304394
141.817 0.00063584 43009 0.032399
147.18 0.000666373 27262 0.0339548
152.694 0.000733833 16264 0.0373922
158.385 0.00086558 8614 0.0441053
164.073 0.0010287 3046 0.052417
169.186 0.00123131 550 0.0627408
174.125 9.7009e-05 1 0.00494306
