# in Mpc/h Units 
# D1 = 0.186152 
# k P N P(z=0)
1.5708 0.293796 6 8.47833
2.22144 0.319768 12 9.2278
2.7207 0.423101 8 12.2098
3.14159 0.0848272 6 2.44793
3.51241 0.0745625 24 2.15171
3.84765 0.074767 24 2.15762
4.44288 0.0446379 12 1.28815
4.71239 2.57106 30 74.1952
4.96729 0.108424 24 3.12888
5.20974 0.175412 24 5.06203
5.4414 0.493025 8 14.2276
5.66359 0.0415118 24 1.19794
5.87738 0.161165 48 4.65089
6.28319 0.0630868 6 1.82055
6.55703 0.0930349 84 2.68479
6.84694 0.137314 24 3.96259
7.02481 0.0543779 24 1.56923
7.25476 0.0518281 72 1.49565
7.6953 0.0814037 24 2.34913
7.96377 0.0444462 102 1.28262
8.1621 0.0314276 32 0.906933
8.51684 0.0360386 120 1.04
8.88577 0.0603966 12 1.74292
9.15858 0.0409573 144 1.18194
9.48256 0.719372 54 20.7595
9.74593 0.0624288 96 1.80156
10.1275 0.0635206 168 1.83307
10.5564 0.0507977 144 1.46591
11.0536 0.0526834 146 1.52033
11.4241 0.0373842 240 1.07883
11.9234 0.0304427 192 0.878511
12.3255 0.0241677 168 0.697428
12.7651 0.0218597 270 0.630825
13.1907 0.022176 228 0.639952
13.6659 0.0217656 344 0.628108
14.2646 0.0581001 342 1.67664
14.7875 0.0232327 456 0.670445
15.4187 0.0237035 396 0.684031
15.942 0.0196221 486 0.566251
16.5482 0.0177715 560 0.512848
17.1639 0.0143783 558 0.414927
17.8011 0.012186 708 0.351662
18.4303 0.0120722 672 0.348379
19.1824 0.0150831 998 0.435265
19.9469 0.0108064 924 0.311848
20.6808 0.00982094 1014 0.283411
21.3842 0.00994506 1064 0.286993
22.2186 0.00723075 1434 0.208664
23.0657 0.00766504 1440 0.221197
23.935 0.00731103 1662 0.210981
24.8633 0.00596124 1898 0.172029
25.7971 0.00645798 2040 0.186363
26.7938 0.0053744 2378 0.155094
27.7886 0.00492351 2430 0.142082
28.8178 0.00416939 2964 0.12032
29.9415 0.00413089 3278 0.119209
31.0801 0.00427435 3618 0.123349
32.231 0.00364354 3896 0.105145
33.4697 0.00342594 4770 0.0988652
34.7575 0.00306105 4902 0.0883353
36.0407 0.00308467 5522 0.0890171
37.3988 0.0028067 6402 0.0809952
38.8321 0.00245812 7118 0.070936
40.2872 0.00247117 7634 0.0713128
41.8167 0.0020894 9090 0.0602955
43.399 0.00199402 9566 0.0575432
45.0279 0.00187773 11034 0.0541873
46.7308 0.00170099 12290 0.049087
48.5017 0.00153918 13706 0.0444175
50.3097 0.0014325 14970 0.0413389
52.197 0.00129897 17198 0.0374855
54.1738 0.0012141 19016 0.0350364
56.2203 0.00112964 21458 0.0325989
58.3613 0.00105451 24186 0.0304308
60.5794 0.000993649 26624 0.0286746
62.8515 0.000941378 29594 0.0271662
65.2265 0.000880024 33536 0.0253956
67.6932 0.000829773 37166 0.0239455
70.2489 0.000801887 41720 0.0231407
72.8971 0.000756289 46280 0.0218249
75.6319 0.000731869 51536 0.0211202
78.4853 0.000706372 58466 0.0203844
81.4754 0.000683855 65564 0.0197346
84.5539 0.000659169 72080 0.0190222
87.7413 0.000659072 81380 0.0190194
91.0485 0.000648699 90070 0.0187201
94.4801 0.000650689 101516 0.0187775
98.0438 0.000658379 112736 0.0189994
101.721 0.000672136 122371 0.0193964
105.563 0.000661175 120908 0.0190801
109.542 0.000662471 118888 0.0191175
113.676 0.000664539 115424 0.0191772
117.973 0.000668811 110068 0.0193005
122.414 0.000684829 101516 0.0197627
127.021 0.000719946 92536 0.0207761
131.796 0.000768589 78532 0.0221798
136.72 0.000832296 62872 0.0240183
141.817 0.000871247 43009 0.0251423
147.18 0.000911518 27262 0.0263044
152.694 0.000991388 16264 0.0286093
158.385 0.00116469 8614 0.0336104
164.073 0.00155745 3046 0.0449445
169.186 0.0020921 550 0.0603734
174.125 0.000120509 1 0.00347764
