# in Mpc/h Units 
# D1 = 0.0199658 
# k P N P(z=0)
1.5708 0.00434705 6 10.9048
2.22144 0.00526466 12 13.2067
2.7207 0.00663879 8 16.6538
3.14159 0.000975765 6 2.44777
3.51241 0.00123001 24 3.08557
3.84765 0.0008774 24 2.20101
4.44288 0.000694589 12 1.74242
4.71239 0.342978 30 860.381
4.96729 0.000354913 24 0.890322
5.20974 0.000835101 24 2.0949
5.4414 0.00108271 8 2.71606
5.66359 0.000367281 24 0.921347
5.87738 0.000787395 48 1.97523
6.28319 0.000537453 6 1.34823
6.55703 0.000510263 84 1.28003
6.84694 0.000670185 24 1.6812
7.02481 0.000266333 24 0.668112
7.25476 0.000293787 72 0.736982
7.6953 0.000222296 24 0.557643
7.96377 0.000301128 102 0.755397
8.1621 0.000155654 32 0.390468
8.51684 0.000182205 120 0.457071
8.88577 0.000106183 12 0.266367
9.15858 0.000152044 144 0.381412
9.48256 0.0777466 54 195.032
9.74593 0.000156173 96 0.39177
10.1275 0.000182778 168 0.458509
10.5564 0.000239099 144 0.599794
11.0536 0.000205368 146 0.515179
11.4241 0.000137737 240 0.345523
11.9234 0.000105124 192 0.26371
12.3255 0.000115499 168 0.289737
12.7651 0.000105241 270 0.264003
13.1907 7.59819e-05 228 0.190605
13.6659 8.47964e-05 344 0.212717
14.2646 0.00623899 342 15.6509
14.7875 6.56146e-05 456 0.164598
15.4187 0.000115708 396 0.29026
15.942 7.1017e-05 486 0.17815
16.5482 6.68879e-05 560 0.167792
17.1639 6.88105e-05 558 0.172615
17.8011 4.12181e-05 708 0.103398
18.4303 4.27077e-05 672 0.107135
19.1824 0.00119214 998 2.99057
19.9469 5.76834e-05 924 0.144702
20.6808 4.58789e-05 1014 0.11509
21.3842 3.33756e-05 1064 0.0837246
22.2186 3.44668e-05 1434 0.0864622
23.0657 2.40844e-05 1440 0.0604173
23.935 0.000424508 1662 1.0649
24.8633 3.60753e-05 1898 0.090497
25.7971 2.36014e-05 2040 0.0592055
26.7938 3.30874e-05 2378 0.0830019
27.7886 0.000178426 2430 0.447593
28.8178 0.000232633 2964 0.583574
29.9415 2.37149e-05 3278 0.0594902
31.0801 2.00977e-05 3618 0.0504163
32.231 1.49509e-05 3896 0.0375052
33.4697 6.37366e-05 4770 0.159887
34.7575 1.19729e-05 4902 0.0300346
36.0407 1.21088e-05 5522 0.0303758
37.3988 3.2096e-05 6402 0.0805148
38.8321 1.12997e-05 7118 0.0283461
40.2872 9.58773e-06 7634 0.0240514
41.8167 1.7869e-05 9090 0.0448256
43.399 8.95435e-06 9566 0.0224625
45.0279 7.68249e-06 11034 0.019272
46.7308 1.15571e-05 12290 0.0289916
48.5017 7.96853e-06 13706 0.0199896
50.3097 6.91854e-06 14970 0.0173556
52.197 8.77863e-06 17198 0.0220217
54.1738 6.8306e-06 19016 0.017135
56.2203 7.73166e-06 21458 0.0193953
58.3613 1.01733e-05 24186 0.0255204
60.5794 8.26452e-06 26624 0.0207321
62.8515 8.64541e-06 29594 0.0216876
65.2265 1.01769e-05 33536 0.0255294
67.6932 1.30287e-05 37166 0.0326834
70.2489 2.52571e-05 41720 0.0633589
72.8971 7.29726e-05 46280 0.183056
75.6319 0.000156031 51536 0.391414
78.4853 0.000128396 58466 0.32209
81.4754 0.00010405 65564 0.261017
84.5539 0.000105529 72080 0.264727
87.7413 0.000157163 81380 0.394253
91.0485 0.000226519 90070 0.568237
94.4801 0.000519879 101516 1.30415
98.0438 0.0012162 112736 3.05092
101.721 0.000278915 122371 0.699675
105.563 9.0581e-05 120908 0.227228
109.542 0.000114392 118888 0.286958
113.676 0.000139289 115424 0.349415
117.973 0.0001737 110068 0.435736
122.414 0.000201719 101516 0.506025
127.021 0.000276841 92536 0.694473
131.796 0.000519114 78532 1.30223
136.72 0.00165105 62872 4.14177
141.817 0.00150329 43009 3.77111
147.18 0.000223704 27262 0.561174
152.694 0.00038628 16264 0.969008
158.385 0.000874615 8614 2.19403
164.073 0.00280175 3046 7.02836
169.186 0.0101698 550 25.5117
174.125 3.89269e-06 1 0.00976505
