# in Mpc/h Units 
# D1 = 0.231438 
# k P N P(z=0)
1.5708 0.43647 6 8.14868
2.22144 0.465269 12 8.68634
2.7207 0.614792 8 11.4779
3.14159 0.115319 6 2.15295
3.51241 0.114094 24 2.13007
3.84765 0.119755 24 2.23576
4.44288 0.0737367 12 1.37663
4.71239 2.66787 30 49.8077
4.96729 0.170898 24 3.19059
5.20974 0.267314 24 4.99062
5.4414 0.770992 8 14.394
5.66359 0.0693017 24 1.29383
5.87738 0.257224 48 4.80225
6.28319 0.117354 6 2.19094
6.55703 0.149551 84 2.79204
6.84694 0.235915 24 4.40441
7.02481 0.0958134 24 1.78879
7.25476 0.0857805 72 1.60148
7.6953 0.145762 24 2.72131
7.96377 0.0814598 102 1.52081
8.1621 0.0674253 32 1.25879
8.51684 0.0669908 120 1.25068
8.88577 0.113382 12 2.11678
9.15858 0.0754293 144 1.40823
9.48256 0.745564 54 13.9193
9.74593 0.10541 96 1.96795
10.1275 0.108423 168 2.0242
10.5564 0.0913609 144 1.70566
11.0536 0.0878912 146 1.64088
11.4241 0.0739852 240 1.38126
11.9234 0.0616069 192 1.15017
12.3255 0.0513158 168 0.958041
12.7651 0.0449036 270 0.838327
13.1907 0.0504064 228 0.941062
13.6659 0.0443631 344 0.828237
14.2646 0.0770999 342 1.43942
14.7875 0.0466199 456 0.87037
15.4187 0.0467222 396 0.87228
15.942 0.0381141 486 0.711571
16.5482 0.0397797 560 0.742666
17.1639 0.0310492 558 0.579672
17.8011 0.0278786 708 0.520478
18.4303 0.0284931 672 0.531952
19.1824 0.0292825 998 0.546689
19.9469 0.0252276 924 0.470987
20.6808 0.0222248 1014 0.414925
21.3842 0.0235352 1064 0.43939
22.2186 0.0179382 1434 0.334897
23.0657 0.0187788 1440 0.35059
23.935 0.0167231 1662 0.312212
24.8633 0.0144276 1898 0.269357
25.7971 0.0149797 2040 0.279663
26.7938 0.0138582 2378 0.258725
27.7886 0.0126767 2430 0.236668
28.8178 0.0112196 2964 0.209465
29.9415 0.0104029 3278 0.194216
31.0801 0.0109988 3618 0.205342
32.231 0.00921198 3896 0.171983
33.4697 0.00823551 4770 0.153753
34.7575 0.00733552 4902 0.13695
36.0407 0.00745661 5522 0.139211
37.3988 0.0064293 6402 0.120032
38.8321 0.00612272 7118 0.114308
40.2872 0.00579922 7634 0.108269
41.8167 0.00525701 9090 0.0981458
43.399 0.00480227 9566 0.089656
45.0279 0.00434388 11034 0.0810981
46.7308 0.00393274 12290 0.0734223
48.5017 0.00364169 13706 0.0679884
50.3097 0.00334525 14970 0.0624542
52.197 0.00311246 17198 0.0581079
54.1738 0.00276324 19016 0.0515882
56.2203 0.00250559 21458 0.0467781
58.3613 0.00234661 24186 0.0438101
60.5794 0.00217619 26624 0.0406283
62.8515 0.00197731 29594 0.0369153
65.2265 0.00184299 33536 0.0344076
67.6932 0.00172025 37166 0.0321162
70.2489 0.0016125 41720 0.0301046
72.8971 0.00153078 46280 0.0285789
75.6319 0.0014495 51536 0.0270615
78.4853 0.00133799 58466 0.0249795
81.4754 0.0012699 65564 0.0237084
84.5539 0.00121047 72080 0.0225989
87.7413 0.001157 81380 0.0216005
91.0485 0.00111323 90070 0.0207834
94.4801 0.00107487 101516 0.0200672
98.0438 0.00106217 112736 0.0198301
101.721 0.00105014 122371 0.0196056
105.563 0.00101609 120908 0.0189699
109.542 0.000988257 118888 0.0184503
113.676 0.000938175 115424 0.0175153
117.973 0.000926983 110068 0.0173063
122.414 0.000948329 101516 0.0177048
127.021 0.000979569 92536 0.018288
131.796 0.00102315 78532 0.0191017
136.72 0.00110036 62872 0.0205432
141.817 0.0011415 43009 0.0213112
147.18 0.00113449 27262 0.0211803
152.694 0.00118851 16264 0.0221889
158.385 0.00136987 8614 0.0255748
164.073 0.00166239 3046 0.031036
169.186 0.00220813 550 0.0412246
174.125 0.000648784 1 0.0121125
