# in Mpc/h Units 
# D1 = 0.0523055 
# k P N P(z=0)
1.5708 0.0261843 6 9.57074
2.22144 0.0306581 12 11.206
2.7207 0.0365278 8 13.3515
3.14159 0.00692474 6 2.53109
3.51241 0.00633257 24 2.31465
3.84765 0.00467981 24 1.71054
4.44288 0.00320221 12 1.17045
4.71239 1.48001 30 540.966
4.96729 0.00428555 24 1.56643
5.20974 0.00894266 24 3.26867
5.4414 0.0225513 8 8.24284
5.66359 0.00191609 24 0.700359
5.87738 0.00829829 48 3.03315
6.28319 0.00239874 6 0.876775
6.55703 0.00604073 84 2.20798
6.84694 0.0065184 24 2.38257
7.02481 0.00197483 24 0.721829
7.25476 0.0030568 72 1.11731
7.6953 0.00130415 24 0.476687
7.96377 0.00200587 102 0.733177
8.1621 0.00140013 32 0.511767
8.51684 0.00183269 120 0.669875
8.88577 0.000272892 12 0.0997461
9.15858 0.00106343 144 0.3887
9.48256 0.411577 54 150.437
9.74593 0.00222566 96 0.81351
10.1275 0.00233158 168 0.852226
10.5564 0.00206039 144 0.753102
11.0536 0.00371708 146 1.35865
11.4241 0.00131722 240 0.481462
11.9234 0.0012272 192 0.448558
12.3255 0.000448433 168 0.163909
12.7651 0.000876992 270 0.320554
13.1907 0.000750968 228 0.27449
13.6659 0.00042933 344 0.156927
14.2646 0.0179866 342 6.57437
14.7875 0.000625394 456 0.228591
15.4187 0.000579289 396 0.211739
15.942 0.000730344 486 0.266951
16.5482 0.000466618 560 0.170556
17.1639 0.000264153 558 0.0965517
17.8011 0.0002517 708 0.092
18.4303 0.000181962 672 0.0665099
19.1824 0.000458124 998 0.167451
19.9469 0.000201146 924 0.0735216
20.6808 0.000183482 1014 0.0670653
21.3842 0.00013033 1064 0.0476374
22.2186 0.000147907 1434 0.0540623
23.0657 0.000119084 1440 0.043527
23.935 0.00036406 1662 0.133069
24.8633 0.000159536 1898 0.0583126
25.7971 0.000161141 2040 0.0588993
26.7938 0.00022978 2378 0.0839879
27.7886 0.000405246 2430 0.148123
28.8178 0.000297721 2964 0.108821
29.9415 0.000204998 3278 0.0749298
31.0801 0.000200425 3618 0.0732582
32.231 0.00015289 3896 0.0558836
33.4697 0.000156775 4770 0.0573035
34.7575 0.000132238 4902 0.048335
36.0407 9.83139e-05 5522 0.0359352
37.3988 0.000115738 6402 0.042304
38.8321 0.00011443 7118 0.041826
40.2872 0.000121854 7634 0.0445394
41.8167 0.000165639 9090 0.0605434
43.399 0.00016141 9566 0.0589978
45.0279 0.000148253 11034 0.0541886
46.7308 0.000180352 12290 0.0659213
48.5017 0.000200336 13706 0.0732259
50.3097 0.000155636 14970 0.0568872
52.197 0.000178362 17198 0.0651938
54.1738 0.000186839 19016 0.0682925
56.2203 0.000184131 21458 0.0673026
58.3613 0.000168902 24186 0.0617362
60.5794 0.000139771 26624 0.0510884
62.8515 0.000139064 29594 0.0508298
65.2265 0.000149614 33536 0.054686
67.6932 0.000165324 37166 0.0604284
70.2489 0.000186229 41720 0.0680695
72.8971 0.000199028 46280 0.0727477
75.6319 0.000206331 51536 0.0754171
78.4853 0.000227046 58466 0.0829887
81.4754 0.000241144 65564 0.0881418
84.5539 0.000245336 72080 0.0896739
87.7413 0.000253437 81380 0.0926351
91.0485 0.000264824 90070 0.0967972
94.4801 0.000289355 101516 0.105764
98.0438 0.000303009 112736 0.110754
101.721 0.000265084 122371 0.0968922
105.563 0.000248454 120908 0.0908136
109.542 0.000256331 118888 0.0936926
113.676 0.000267483 115424 0.097769
117.973 0.000284311 110068 0.10392
122.414 0.000314988 101516 0.115133
127.021 0.000360843 92536 0.131894
131.796 0.000417776 78532 0.152703
136.72 0.000483733 62872 0.176811
141.817 0.000486952 43009 0.177988
147.18 0.000526332 27262 0.192382
152.694 0.000606671 16264 0.221747
158.385 0.00089447 8614 0.326942
164.073 0.00122268 3046 0.446909
169.186 0.00193799 550 0.708364
174.125 0.00291787 1 1.06653
