# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.5708 9.21443e-13 12 9.21443e-13
2.22144 9.60352e-13 24 9.60352e-13
2.7207 4.71088e-14 16 4.71088e-14
3.14159 1.25175e-11 12 1.25175e-11
3.51241 1.87129e-11 48 1.87129e-11
3.84765 1.00483e-11 48 1.00483e-11
4.44288 1.02804e-11 24 1.02804e-11
4.71239 1.4402e-11 60 1.4402e-11
4.96729 6.83162e-11 48 6.83162e-11
5.20974 5.97618e-11 48 5.97618e-11
5.4414 2.67766e-12 16 2.67766e-12
5.66359 3.36848e-11 48 3.36848e-11
5.87738 4.01952e-11 96 4.01952e-11
6.28319 9.1787e-11 12 9.1787e-11
6.55703 1.18074e-10 168 1.18074e-10
6.84694 6.80143e-11 48 6.80143e-11
7.02481 2.21508e-10 48 2.21508e-10
7.25476 1.07079e-10 144 1.07079e-10
7.6953 1.49946e-10 48 1.49946e-10
7.96377 2.77304e-10 204 2.77304e-10
8.1621 3.12969e-10 64 3.12969e-10
8.51684 2.0111e-10 240 2.0111e-10
8.88577 1.5912e-10 24 1.5912e-10
9.15858 3.37675e-10 288 3.37675e-10
9.48256 5.69903e-10 108 5.69903e-10
9.74593 6.21573e-10 192 6.21573e-10
10.1275 4.42909e-10 336 4.42909e-10
10.5564 6.71502e-10 288 6.71502e-10
11.0536 5.30152e-10 292 5.30152e-10
11.4241 9.0264e-10 480 9.0264e-10
11.9234 8.36311e-10 384 8.36311e-10
12.3255 9.85794e-10 336 9.85794e-10
12.7651 1.26187e-09 540 1.26187e-09
13.1907 1.3073e-09 456 1.3073e-09
13.6659 1.37967e-09 688 1.37967e-09
14.2646 1.63343e-09 684 1.63343e-09
14.7875 1.89541e-09 912 1.89541e-09
15.4187 1.95026e-09 792 1.95026e-09
15.942 2.16898e-09 972 2.16898e-09
16.5482 2.28679e-09 1120 2.28679e-09
17.1639 2.8176e-09 1116 2.8176e-09
17.8011 2.96647e-09 1416 2.96647e-09
18.4303 3.22931e-09 1344 3.22931e-09
19.1824 3.94238e-09 1996 3.94238e-09
19.9469 3.4435e-09 1848 3.4435e-09
20.6808 4.84843e-09 2028 4.84843e-09
21.3842 4.67635e-09 2128 4.67635e-09
22.2186 5.47289e-09 2868 5.47289e-09
23.0657 5.28307e-09 2880 5.28307e-09
23.935 5.9654e-09 3324 5.9654e-09
24.8633 6.51637e-09 3796 6.51637e-09
25.7971 6.90747e-09 4080 6.90747e-09
26.7938 7.60049e-09 4756 7.60049e-09
27.7886 7.58093e-09 4860 7.58093e-09
28.8178 9.09781e-09 5928 9.09781e-09
29.9415 9.37903e-09 6556 9.37903e-09
31.0801 1.02102e-08 7236 1.02102e-08
32.231 1.08925e-08 7792 1.08925e-08
33.4697 1.26871e-08 9540 1.26871e-08
34.7575 1.39597e-08 9804 1.39597e-08
36.0407 1.4908e-08 11044 1.4908e-08
37.3988 1.72281e-08 12804 1.72281e-08
38.8321 1.89858e-08 14236 1.89858e-08
40.2872 2.14015e-08 15268 2.14015e-08
41.8167 2.49501e-08 18180 2.49501e-08
43.399 2.88152e-08 19132 2.88152e-08
45.0279 3.30229e-08 22068 3.30229e-08
46.7308 3.75868e-08 24580 3.75868e-08
48.5017 4.27355e-08 27412 4.27355e-08
50.3097 4.93517e-08 29940 4.93517e-08
52.197 5.72494e-08 34396 5.72494e-08
54.1738 6.67636e-08 38032 6.67636e-08
56.2203 7.91959e-08 42916 7.91959e-08
58.3613 9.44419e-08 48372 9.44419e-08
60.5794 1.1269e-07 53248 1.1269e-07
62.8515 1.37166e-07 59188 1.37166e-07
65.2265 1.65225e-07 67072 1.65225e-07
67.6932 2.04017e-07 74332 2.04017e-07
70.2489 2.57537e-07 83440 2.57537e-07
72.8971 3.31281e-07 92560 3.31281e-07
75.6319 4.3276e-07 103072 4.3276e-07
78.4853 5.86742e-07 116932 5.86742e-07
81.4754 8.1649e-07 131128 8.1649e-07
84.5539 1.17359e-06 144160 1.17359e-06
87.7413 1.73401e-06 162760 1.73401e-06
91.0485 2.63607e-06 180140 2.63607e-06
94.4801 3.94892e-06 203032 3.94892e-06
98.0438 5.67273e-06 225472 5.67273e-06
101.721 0.00179232 244742 0.00179232
105.563 6.6725e-06 241816 6.6725e-06
109.542 7.13063e-06 237776 7.13063e-06
113.676 7.94535e-06 230848 7.94535e-06
117.973 9.03812e-06 220136 9.03812e-06
122.414 1.06279e-05 203032 1.06279e-05
127.021 1.265e-05 185072 1.265e-05
131.796 1.46467e-05 157064 1.46467e-05
136.72 1.59518e-05 125744 1.59518e-05
141.817 0.0122608 86018 0.0122608
147.18 2.18004e-05 54524 2.18004e-05
152.694 3.27437e-05 32528 3.27437e-05
158.385 4.97688e-05 17228 4.97688e-05
164.073 5.30739e-05 6092 5.30739e-05
169.186 4.04362e-05 1100 4.04362e-05
174.125 471.632 2 471.632
