# in Mpc/h Units 
# D1 = 0.0214356 
# k P N P(z=0)
1.5708 0.00496911 6 10.8145
2.22144 0.00600393 12 13.0666
2.7207 0.00751513 8 16.3555
3.14159 0.00112101 6 2.4397
3.51241 0.00139178 24 3.02899
3.84765 0.00098922 24 2.15288
4.44288 0.000782441 12 1.70286
4.71239 0.448337 30 975.735
4.96729 0.000425628 24 0.926313
5.20974 0.00100851 24 2.19485
5.4414 0.00145096 8 3.15779
5.66359 0.000403107 24 0.877298
5.87738 0.00105853 48 2.30373
6.28319 0.000586726 6 1.27692
6.55703 0.000650177 84 1.41501
6.84694 0.000878783 24 1.91253
7.02481 0.000292203 24 0.635934
7.25476 0.000366566 72 0.797774
7.6953 0.000261595 24 0.56932
7.96377 0.000383155 102 0.833877
8.1621 0.000193609 32 0.42136
8.51684 0.000227229 120 0.494528
8.88577 0.000130316 12 0.283613
9.15858 0.000188429 144 0.410087
9.48256 0.126932 54 276.247
9.74593 0.00019173 96 0.41727
10.1275 0.000254422 168 0.553709
10.5564 0.000359778 144 0.783
11.0536 0.000311818 146 0.678622
11.4241 0.000200681 240 0.436751
11.9234 0.00014991 192 0.326255
12.3255 0.000150215 168 0.32692
12.7651 0.000165089 270 0.359289
13.1907 0.00010799 228 0.235024
13.6659 0.000113129 344 0.246207
14.2646 0.0125099 342 27.2259
14.7875 0.000102459 456 0.222986
15.4187 0.000192687 396 0.419352
15.942 0.000127067 486 0.276541
16.5482 0.000114308 560 0.248774
17.1639 0.000122365 558 0.266308
17.8011 6.40061e-05 708 0.139299
18.4303 6.65544e-05 672 0.144845
19.1824 0.00290901 998 6.331
19.9469 0.000111934 924 0.243607
20.6808 9.55583e-05 1014 0.207968
21.3842 5.97474e-05 1064 0.130031
22.2186 6.94449e-05 1434 0.151136
23.0657 4.17846e-05 1440 0.0909376
23.935 0.00124566 1662 2.71098
24.8633 8.39135e-05 1898 0.182625
25.7971 4.71824e-05 2040 0.102685
26.7938 6.45898e-05 2378 0.14057
27.7886 0.000619488 2430 1.34822
28.8178 0.000274636 2964 0.597702
29.9415 4.85909e-05 3278 0.105751
31.0801 4.42347e-05 3618 0.0962698
32.231 3.1355e-05 3896 0.0682392
33.4697 0.00025329 4770 0.551245
34.7575 3.00113e-05 4902 0.0653149
36.0407 3.12969e-05 5522 0.0681128
37.3988 0.00013892 6402 0.302338
38.8321 3.12769e-05 7118 0.0680692
40.2872 2.55698e-05 7634 0.0556486
41.8167 8.01375e-05 9090 0.174407
43.399 2.45493e-05 9566 0.0534277
45.0279 1.91399e-05 11034 0.041655
46.7308 4.90836e-05 12290 0.106823
48.5017 2.09891e-05 13706 0.0456794
50.3097 1.66642e-05 14970 0.0362671
52.197 3.36453e-05 17198 0.0732236
54.1738 1.5839e-05 19016 0.0344711
56.2203 2.34593e-05 21458 0.0510555
58.3613 1.79359e-05 24186 0.0390346
60.5794 2.0202e-05 26624 0.0439665
62.8515 1.6032e-05 29594 0.034891
65.2265 1.9596e-05 33536 0.0426477
67.6932 2.14789e-05 37166 0.0467454
70.2489 4.19097e-05 41720 0.0912098
72.8971 9.64816e-05 46280 0.209977
75.6319 0.000168518 51536 0.366754
78.4853 0.000168844 58466 0.367461
81.4754 0.000166719 65564 0.362837
84.5539 0.000155012 72080 0.337359
87.7413 0.000195201 81380 0.424825
91.0485 0.000245732 90070 0.534798
94.4801 0.000615788 101516 1.34016
98.0438 0.00103277 112736 2.24766
101.721 0.000438741 122371 0.954851
105.563 0.000139989 120908 0.304664
109.542 0.000146022 118888 0.317794
113.676 0.000160345 115424 0.348965
117.973 0.000170487 110068 0.371037
122.414 0.000200928 101516 0.437287
127.021 0.00030853 92536 0.671467
131.796 0.000572827 78532 1.24667
136.72 0.0015575 62872 3.38965
141.817 0.00127477 43009 2.77433
147.18 0.000237614 27262 0.517129
152.694 0.000355633 16264 0.773979
158.385 0.000817266 8614 1.77865
164.073 0.00237977 3046 5.17919
169.186 0.00887908 550 19.3239
174.125 0.00634588 1 13.8108
