# in Mpc/h Units 
# D1 = 0.227349 
# k P N P(z=0)
1.5708 0.422751 6 8.17898
2.22144 0.451497 12 8.73511
2.7207 0.596922 8 11.5487
3.14159 0.112907 6 2.18442
3.51241 0.110201 24 2.13207
3.84765 0.115317 24 2.23104
4.44288 0.0706539 12 1.36694
4.71239 2.66164 30 51.4949
4.96729 0.164664 24 3.18576
5.20974 0.258283 24 4.997
5.4414 0.743657 8 14.3875
5.66359 0.0665647 24 1.28783
5.87738 0.247854 48 4.79524
6.28319 0.111208 6 2.15155
6.55703 0.143611 84 2.77845
6.84694 0.225685 24 4.36633
7.02481 0.0914314 24 1.76893
7.25476 0.0821062 72 1.58851
7.6953 0.139151 24 2.69216
7.96377 0.0775355 102 1.50008
8.1621 0.0633182 32 1.22502
8.51684 0.0636976 120 1.23236
8.88577 0.108384 12 2.0969
9.15858 0.0716991 144 1.38716
9.48256 0.745217 54 14.4177
9.74593 0.100808 96 1.95033
10.1275 0.103928 168 2.0107
10.5564 0.0870912 144 1.68495
11.0536 0.0839446 146 1.62408
11.4241 0.0700074 240 1.35443
11.9234 0.0580463 192 1.12302
12.3255 0.0480638 168 0.929891
12.7651 0.0422374 270 0.817168
13.1907 0.0471157 228 0.911548
13.6659 0.0416331 344 0.805476
14.2646 0.0749587 342 1.45023
14.7875 0.0437714 456 0.846846
15.4187 0.0442501 396 0.856108
15.942 0.0359268 486 0.695076
16.5482 0.0371544 560 0.718826
17.1639 0.0290423 558 0.561882
17.8011 0.0260716 708 0.504407
18.4303 0.026479 672 0.512289
19.1824 0.0275287 998 0.532598
19.9469 0.0234472 924 0.453634
20.6808 0.0206673 1014 0.39985
21.3842 0.021813 1064 0.422017
22.2186 0.016446 1434 0.318181
23.0657 0.0173299 1440 0.335283
23.935 0.0154722 1662 0.29934
24.8633 0.0132916 1898 0.257154
25.7971 0.0138703 2040 0.268348
26.7938 0.0127153 2378 0.246004
27.7886 0.011621 2430 0.224832
28.8178 0.0101956 2964 0.197255
29.9415 0.00951925 3278 0.184169
31.0801 0.0100537 3618 0.19451
32.231 0.00839274 3896 0.162374
33.4697 0.00753498 4770 0.145779
34.7575 0.00669858 4902 0.129598
36.0407 0.006854 5522 0.132604
37.3988 0.00592369 6402 0.114606
38.8321 0.00565413 7118 0.10939
40.2872 0.00535531 7634 0.103609
41.8167 0.00482785 9090 0.0934044
43.399 0.00440589 9566 0.0852408
45.0279 0.00397525 11034 0.0769093
46.7308 0.0036319 12290 0.0702664
48.5017 0.00338006 13706 0.0653941
50.3097 0.00309163 14970 0.0598139
52.197 0.00286462 17198 0.0554219
54.1738 0.00255716 19016 0.0494734
56.2203 0.00232225 21458 0.0449285
58.3613 0.00218156 24186 0.0422067
60.5794 0.0020199 26624 0.039079
62.8515 0.0018566 29594 0.0359196
65.2265 0.00174419 33536 0.0337449
67.6932 0.00162994 37166 0.0315345
70.2489 0.0015265 41720 0.0295333
72.8971 0.00144633 46280 0.0279822
75.6319 0.00136641 51536 0.0264359
78.4853 0.00126412 58466 0.024457
81.4754 0.00120386 65564 0.0232911
84.5539 0.00114138 72080 0.0220822
87.7413 0.00109159 81380 0.021119
91.0485 0.00105637 90070 0.0204375
94.4801 0.0010142 101516 0.0196218
98.0438 0.00099692 112736 0.0192874
101.721 0.000990438 122371 0.019162
105.563 0.000959781 120908 0.0185689
109.542 0.000922555 118888 0.0178487
113.676 0.000890447 115424 0.0172275
117.973 0.000887708 110068 0.0171745
122.414 0.000903551 101516 0.017481
127.021 0.000916033 92536 0.0177225
131.796 0.000973932 78532 0.0188427
136.72 0.00104 62872 0.020121
141.817 0.00107521 43009 0.0208021
147.18 0.00113017 27262 0.0218654
152.694 0.00122951 16264 0.0237873
158.385 0.00141796 8614 0.0274334
164.073 0.00173225 3046 0.0335138
169.186 0.00249707 550 0.0483109
174.125 0.000677191 1 0.0131016
