# in Mpc/h Units 
# D1 = 0.0445274 
# k P N P(z=0)
1.5708 0.0193428 6 9.75583
2.22144 0.0228025 12 11.5008
2.7207 0.0271772 8 13.7073
3.14159 0.00494645 6 2.49482
3.51241 0.00475612 24 2.39883
3.84765 0.00344736 24 1.73873
4.44288 0.00242963 12 1.22542
4.71239 1.36483 30 688.375
4.96729 0.00269256 24 1.35804
5.20974 0.00599495 24 3.02365
5.4414 0.0150294 8 7.58033
5.66359 0.00135075 24 0.681271
5.87738 0.00608531 48 3.06923
6.28319 0.00160833 6 0.811189
6.55703 0.00426675 84 2.15201
6.84694 0.00488066 24 2.46164
7.02481 0.00131613 24 0.66381
7.25476 0.00218426 72 1.10167
7.6953 0.000837082 24 0.422196
7.96377 0.00157577 102 0.794767
8.1621 0.00105093 32 0.530053
8.51684 0.00135927 120 0.68557
8.88577 0.000159573 12 0.0804834
9.15858 0.000713948 144 0.360091
9.48256 0.450306 54 227.119
9.74593 0.00142373 96 0.718081
10.1275 0.00177809 168 0.896809
10.5564 0.00176351 144 0.889457
11.0536 0.00294053 146 1.4831
11.4241 0.00110775 240 0.558714
11.9234 0.00104962 192 0.529394
12.3255 0.000313234 168 0.157985
12.7651 0.000837721 270 0.422518
13.1907 0.000706649 228 0.35641
13.6659 0.000293237 344 0.147899
14.2646 0.0298011 342 15.0306
14.7875 0.00058591 456 0.295513
15.4187 0.000597881 396 0.301551
15.942 0.000774818 486 0.390792
16.5482 0.000556791 560 0.280826
17.1639 0.000290989 558 0.146765
17.8011 0.000249284 708 0.12573
18.4303 0.000132613 672 0.0668853
19.1824 0.00223801 998 1.12878
19.9469 0.000180592 924 0.0910845
20.6808 0.00024317 1014 0.122647
21.3842 0.000144018 1064 0.0726379
22.2186 0.000114282 1434 0.0576399
23.0657 8.82748e-05 1440 0.0445228
23.935 0.000101194 1662 0.051039
24.8633 0.000110327 1898 0.0556452
25.7971 0.000112039 2040 0.0565085
26.7938 0.00018611 2378 0.0938673
27.7886 0.00033093 2430 0.16691
28.8178 0.000355741 2964 0.179424
29.9415 0.000169917 3278 0.0857003
31.0801 0.000204522 3618 0.103154
32.231 0.000133573 3896 0.0673696
33.4697 0.000328657 4770 0.165763
34.7575 0.000137161 4902 0.0691793
36.0407 8.98255e-05 5522 0.0453049
37.3988 0.00015085 6402 0.0760835
38.8321 8.73063e-05 7118 0.0440343
40.2872 8.24673e-05 7634 0.0415937
41.8167 6.46142e-05 9090 0.0325892
43.399 6.0696e-05 9566 0.030613
45.0279 6.53367e-05 11034 0.0329536
46.7308 7.00227e-05 12290 0.0353171
48.5017 7.61058e-05 13706 0.0383852
50.3097 8.27827e-05 14970 0.0417528
52.197 0.000114236 17198 0.0576169
54.1738 0.000113988 19016 0.0574919
56.2203 0.000162074 21458 0.0817448
58.3613 0.00018212 24186 0.0918551
60.5794 0.000159061 26624 0.0802251
62.8515 0.000158464 29594 0.079924
65.2265 0.000144904 33536 0.0730849
67.6932 0.00015476 37166 0.0780554
70.2489 0.000170912 41720 0.086202
72.8971 0.000188088 46280 0.0948651
75.6319 0.000198109 51536 0.0999192
78.4853 0.000217978 58466 0.109941
81.4754 0.000230514 65564 0.116263
84.5539 0.00023171 72080 0.116867
87.7413 0.000248058 81380 0.125112
91.0485 0.000266942 90070 0.134636
94.4801 0.000326752 101516 0.164803
98.0438 0.000338354 112736 0.170654
101.721 0.000265533 122371 0.133926
105.563 0.000241017 120908 0.121561
109.542 0.000247176 118888 0.124667
113.676 0.000253236 115424 0.127723
117.973 0.000265469 110068 0.133893
122.414 0.00029767 101516 0.150134
127.021 0.000353296 92536 0.17819
131.796 0.000431739 78532 0.217754
136.72 0.000516104 62872 0.260305
141.817 0.000472787 43009 0.238458
147.18 0.000494639 27262 0.249479
152.694 0.000592385 16264 0.298779
158.385 0.000864197 8614 0.435872
164.073 0.00146964 3046 0.741235
169.186 0.00246252 550 1.24201
174.125 0.00100139 1 0.505069
