# in Mpc/h Units 
# D1 = 0.0461487 
# k P N P(z=0)
1.5708 0.0206849 6 9.71258
2.22144 0.0243495 12 11.4333
2.7207 0.029009 8 13.6211
3.14159 0.00532949 6 2.50246
3.51241 0.0050645 24 2.37803
3.84765 0.0036851 24 1.73034
4.44288 0.00257992 12 1.2114
4.71239 1.39176 30 653.5
4.96729 0.0029816 24 1.40001
5.20974 0.00654632 24 3.07382
5.4414 0.0164675 8 7.73231
5.66359 0.00145705 24 0.684155
5.87738 0.00650832 48 3.05597
6.28319 0.00175383 6 0.82351
6.55703 0.00460903 84 2.16416
6.84694 0.00519948 24 2.44141
7.02481 0.00143759 24 0.675017
7.25476 0.00235383 72 1.10524
7.6953 0.00091785 24 0.430975
7.96377 0.00165762 102 0.778332
8.1621 0.0011189 32 0.525378
8.51684 0.00145384 120 0.682649
8.88577 0.000173458 12 0.0814471
9.15858 0.00077506 144 0.363929
9.48256 0.441936 54 207.51
9.74593 0.00156893 96 0.736689
10.1275 0.00188269 168 0.884017
10.5564 0.00181746 144 0.853385
11.0536 0.00309751 146 1.45443
11.4241 0.00114566 240 0.537943
11.9234 0.00108617 192 0.510009
12.3255 0.000336583 168 0.158042
12.7651 0.000840255 270 0.394541
13.1907 0.000714659 228 0.335567
13.6659 0.000315167 344 0.147986
14.2646 0.0266894 342 12.532
14.7875 0.000589803 456 0.276941
15.4187 0.000585342 396 0.274847
15.942 0.000759334 486 0.356544
16.5482 0.000531036 560 0.249347
17.1639 0.000274448 558 0.128867
17.8011 0.000243462 708 0.114317
18.4303 0.000140331 672 0.0658924
19.1824 0.00159378 998 0.748359
19.9469 0.000178189 924 0.0836682
20.6808 0.000215368 1014 0.101126
21.3842 0.000135743 1064 0.0637377
22.2186 0.000113697 1434 0.0533864
23.0657 9.38229e-05 1440 0.0440544
23.935 0.000121065 1662 0.056846
24.8633 0.000118976 1898 0.0558648
25.7971 0.000119751 2040 0.0562287
26.7938 0.000199598 2378 0.093721
27.7886 0.000400964 2430 0.188272
28.8178 0.000349553 2964 0.164132
29.9415 0.000185082 3278 0.0869052
31.0801 0.000210537 3618 0.0988571
32.231 0.00014057 3896 0.0660044
33.4697 0.000302691 4770 0.142128
34.7575 0.000140624 4902 0.06603
36.0407 8.74218e-05 5522 0.0410488
37.3988 0.000119547 6402 0.0561333
38.8321 8.10044e-05 7118 0.0380355
40.2872 8.03221e-05 7634 0.0377151
41.8167 6.66489e-05 9090 0.0312949
43.399 7.01344e-05 9566 0.0329315
45.0279 7.46034e-05 11034 0.0350299
46.7308 9.46653e-05 12290 0.0444499
48.5017 0.000101655 13706 0.0477319
50.3097 0.000102821 14970 0.0482793
52.197 0.000140471 17198 0.0659578
54.1738 0.00013878 19016 0.0651638
56.2203 0.000180271 21458 0.0846461
58.3613 0.000185259 24186 0.0869882
60.5794 0.000159581 26624 0.0749308
62.8515 0.000156593 29594 0.0735278
65.2265 0.000139477 33536 0.0654912
67.6932 0.000147914 37166 0.0694529
70.2489 0.000164927 41720 0.077441
72.8971 0.000185455 46280 0.08708
75.6319 0.000204004 51536 0.0957897
78.4853 0.000221092 58466 0.103813
81.4754 0.000227485 65564 0.106815
84.5539 0.000229253 72080 0.107645
87.7413 0.000252104 81380 0.118375
91.0485 0.000263715 90070 0.123827
94.4801 0.000313922 101516 0.147402
98.0438 0.000328205 112736 0.154108
101.721 0.000261959 122371 0.123003
105.563 0.000240384 120908 0.112872
109.542 0.000247424 118888 0.116178
113.676 0.000255032 115424 0.11975
117.973 0.000268868 110068 0.126247
122.414 0.000303575 101516 0.142543
127.021 0.000355032 92536 0.166705
131.796 0.000421477 78532 0.197904
136.72 0.000497357 62872 0.233533
141.817 0.000471359 43009 0.221326
147.18 0.000505118 27262 0.237177
152.694 0.000592994 16264 0.278439
158.385 0.000849431 8614 0.398849
164.073 0.00145178 3046 0.681682
169.186 0.00192846 550 0.905505
174.125 0.00244886 1 1.14986
