# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.5708 4.98627e-12 12 4.98627e-12
2.22144 1.48084e-11 24 1.48084e-11
2.7207 9.2608e-12 16 9.2608e-12
3.14159 5.926e-11 12 5.926e-11
3.51241 1.24356e-10 48 1.24356e-10
3.84765 9.21822e-11 48 9.21822e-11
4.44288 7.6494e-11 24 7.6494e-11
4.71239 1.50182e-10 60 1.50182e-10
4.96729 3.45359e-10 48 3.45359e-10
5.20974 2.18404e-10 48 2.18404e-10
5.4414 2.95852e-10 16 2.95852e-10
5.66359 2.56348e-10 48 2.56348e-10
5.87738 3.78861e-10 96 3.78861e-10
6.28319 1.6733e-09 12 1.6733e-09
6.55703 6.22039e-10 168 6.22039e-10
6.84694 7.60305e-10 48 7.60305e-10
7.02481 6.59177e-10 48 6.59177e-10
7.25476 6.99785e-10 144 6.99785e-10
7.6953 1.3454e-09 48 1.3454e-09
7.96377 1.61438e-09 204 1.61438e-09
8.1621 2.37977e-09 64 2.37977e-09
8.51684 1.8547e-09 240 1.8547e-09
8.88577 1.34916e-09 24 1.34916e-09
9.15858 2.35242e-09 288 2.35242e-09
9.48256 4.65266e-09 108 4.65266e-09
9.74593 3.87076e-09 192 3.87076e-09
10.1275 4.21595e-09 336 4.21595e-09
10.5564 4.53882e-09 288 4.53882e-09
11.0536 5.59458e-09 292 5.59458e-09
11.4241 6.88568e-09 480 6.88568e-09
11.9234 8.87144e-09 384 8.87144e-09
12.3255 1.04022e-08 336 1.04022e-08
12.7651 1.18581e-08 540 1.18581e-08
13.1907 1.43714e-08 456 1.43714e-08
13.6659 1.20555e-08 688 1.20555e-08
14.2646 1.91163e-08 684 1.91163e-08
14.7875 2.01309e-08 912 2.01309e-08
15.4187 2.347e-08 792 2.347e-08
15.942 2.8551e-08 972 2.8551e-08
16.5482 3.18186e-08 1120 3.18186e-08
17.1639 3.48609e-08 1116 3.48609e-08
17.8011 4.30131e-08 1416 4.30131e-08
18.4303 4.18556e-08 1344 4.18556e-08
19.1824 5.72149e-08 1996 5.72149e-08
19.9469 5.85464e-08 1848 5.85464e-08
20.6808 7.66206e-08 2028 7.66206e-08
21.3842 7.6262e-08 2128 7.6262e-08
22.2186 1.0564e-07 2868 1.0564e-07
23.0657 1.09376e-07 2880 1.09376e-07
23.935 1.28781e-07 3324 1.28781e-07
24.8633 1.46012e-07 3796 1.46012e-07
25.7971 1.69287e-07 4080 1.69287e-07
26.7938 1.97367e-07 4756 1.97367e-07
27.7886 2.28145e-07 4860 2.28145e-07
28.8178 2.68453e-07 5928 2.68453e-07
29.9415 3.20659e-07 6556 3.20659e-07
31.0801 3.6025e-07 7236 3.6025e-07
32.231 4.11206e-07 7792 4.11206e-07
33.4697 4.96451e-07 9540 4.96451e-07
34.7575 5.3997e-07 9804 5.3997e-07
36.0407 6.43437e-07 11044 6.43437e-07
37.3988 7.43819e-07 12804 7.43819e-07
38.8321 8.62078e-07 14236 8.62078e-07
40.2872 1.04885e-06 15268 1.04885e-06
41.8167 1.25875e-06 18180 1.25875e-06
43.399 1.42894e-06 19132 1.42894e-06
45.0279 1.66898e-06 22068 1.66898e-06
46.7308 2.02304e-06 24580 2.02304e-06
48.5017 2.42036e-06 27412 2.42036e-06
50.3097 2.84895e-06 29940 2.84895e-06
52.197 3.27187e-06 34396 3.27187e-06
54.1738 4.09714e-06 38032 4.09714e-06
56.2203 4.90379e-06 42916 4.90379e-06
58.3613 5.97269e-06 48372 5.97269e-06
60.5794 7.78484e-06 53248 7.78484e-06
62.8515 9.61335e-06 59188 9.61335e-06
65.2265 1.23674e-05 67072 1.23674e-05
67.6932 1.61708e-05 74332 1.61708e-05
70.2489 2.14486e-05 83440 2.14486e-05
72.8971 2.91718e-05 92560 2.91718e-05
75.6319 3.85999e-05 103072 3.85999e-05
78.4853 5.2312e-05 116932 5.2312e-05
81.4754 7.20406e-05 131128 7.20406e-05
84.5539 9.5612e-05 144160 9.5612e-05
87.7413 0.000123723 162760 0.000123723
91.0485 0.000158972 180140 0.000158972
94.4801 0.00019725 203032 0.00019725
98.0438 0.000235906 225472 0.000235906
101.721 0.000260865 244742 0.000260865
105.563 0.000261164 241816 0.000261164
109.542 0.000261378 237776 0.000261378
113.676 0.000266634 230848 0.000266634
117.973 0.000268445 220136 0.000268445
122.414 0.000271245 203032 0.000271245
127.021 0.000277173 185072 0.000277173
131.796 0.000285684 157064 0.000285684
136.72 0.000298286 125744 0.000298286
141.817 0.00030224 86018 0.00030224
147.18 0.00030134 54524 0.00030134
152.694 0.000322985 32528 0.000322985
158.385 0.000367062 17228 0.000367062
164.073 0.000443257 6092 0.000443257
169.186 0.000627686 1100 0.000627686
174.125 0.00172306 2 0.00172306
