# in Mpc/h Units 
# D1 = 0.0944734 
# k P N P(z=0)
1.5708 0.0809609 6 9.07102
2.22144 0.091941 12 10.3013
2.7207 0.113711 8 12.7405
3.14159 0.023654 6 2.65024
3.51241 0.0195161 24 2.18663
3.84765 0.0163122 24 1.82765
4.44288 0.0102569 12 1.1492
4.71239 1.94586 30 218.018
4.96729 0.0231963 24 2.59896
5.20974 0.0402314 24 4.50761
5.4414 0.100403 8 11.2494
5.66359 0.00779357 24 0.873207
5.87738 0.0321304 48 3.59996
6.28319 0.0114171 6 1.27919
6.55703 0.0226817 84 2.5413
6.84694 0.0237537 24 2.66141
7.02481 0.00975224 24 1.09266
7.25476 0.0117802 72 1.31988
7.6953 0.00939446 24 1.05257
7.96377 0.00738445 102 0.827369
8.1621 0.00514396 32 0.576339
8.51684 0.00648244 120 0.726306
8.88577 0.00454456 12 0.509182
9.15858 0.00651663 144 0.730137
9.48256 0.430209 54 48.2015
9.74593 0.0127581 96 1.42945
10.1275 0.0102107 168 1.14403
10.5564 0.00719111 144 0.805706
11.0536 0.0121218 146 1.35816
11.4241 0.00508715 240 0.569975
11.9234 0.00419821 192 0.470376
12.3255 0.00270859 168 0.303476
12.7651 0.00308565 270 0.345723
13.1907 0.00249397 228 0.27943
13.6659 0.00294709 344 0.330198
14.2646 0.0155839 342 1.74605
14.7875 0.00262647 456 0.294275
15.4187 0.00223502 396 0.250417
15.942 0.0024082 486 0.26982
16.5482 0.00153251 560 0.171705
17.1639 0.0013889 558 0.155615
17.8011 0.00124474 708 0.139463
18.4303 0.00119043 672 0.133378
19.1824 0.00138421 998 0.15509
19.9469 0.00085938 924 0.0962868
20.6808 0.000965876 1014 0.108219
21.3842 0.000732483 1064 0.0820689
22.2186 0.000597635 1434 0.0669603
23.0657 0.000659949 1440 0.0739421
23.935 0.000652136 1662 0.0730666
24.8633 0.000565122 1898 0.0633175
25.7971 0.000561527 2040 0.0629147
26.7938 0.000546621 2378 0.0612446
27.7886 0.000757687 2430 0.0848929
28.8178 0.000760285 2964 0.0851839
29.9415 0.000679465 3278 0.0761287
31.0801 0.000624769 3618 0.0700004
32.231 0.00067754 3896 0.075913
33.4697 0.00104545 4770 0.117134
34.7575 0.000850941 4902 0.0953412
36.0407 0.000738147 5522 0.0827035
37.3988 0.000723823 6402 0.0810986
38.8321 0.000828093 7118 0.0927812
40.2872 0.000721024 7634 0.080785
41.8167 0.000626337 9090 0.0701761
43.399 0.000533053 9566 0.0597244
45.0279 0.000497164 11034 0.0557032
46.7308 0.000449032 12290 0.0503105
48.5017 0.000409696 13706 0.0459032
50.3097 0.000383234 14970 0.0429384
52.197 0.000351243 17198 0.0393539
54.1738 0.000340149 19016 0.038111
56.2203 0.000313521 21458 0.0351276
58.3613 0.000294748 24186 0.0330242
60.5794 0.000283493 26624 0.0317631
62.8515 0.000286385 29594 0.0320871
65.2265 0.000288237 33536 0.0322946
67.6932 0.000295357 37166 0.0330924
70.2489 0.000296401 41720 0.0332094
72.8971 0.000300423 46280 0.0336601
75.6319 0.000303678 51536 0.0340247
78.4853 0.000301586 58466 0.0337903
81.4754 0.000300005 65564 0.0336132
84.5539 0.000301863 72080 0.0338213
87.7413 0.000298057 81380 0.0333949
91.0485 0.000302653 90070 0.0339098
94.4801 0.000311856 101516 0.034941
98.0438 0.000324409 112736 0.0363475
101.721 0.000330217 122371 0.0369982
105.563 0.000338497 120908 0.0379259
109.542 0.000349073 118888 0.0391109
113.676 0.000357008 115424 0.04
117.973 0.000370364 110068 0.0414964
122.414 0.000391257 101516 0.0438372
127.021 0.000417572 92536 0.0467857
131.796 0.000458684 78532 0.0513919
136.72 0.000511022 62872 0.0572559
141.817 0.000550376 43009 0.0616652
147.18 0.000594357 27262 0.066593
152.694 0.000662183 16264 0.0741924
158.385 0.000776793 8614 0.0870335
164.073 0.00104546 3046 0.117135
169.186 0.00140263 550 0.157153
174.125 2.95995e-06 1 0.000331639
