# in Mpc/h Units 
# D1 = 0.0210582 
# k P N P(z=0)
1.5708 0.00480624 6 10.8383
2.22144 0.00581026 12 13.1024
2.7207 0.00728603 8 16.4304
3.14159 0.00108081 6 2.43728
3.51241 0.00135287 24 3.0508
3.84765 0.000959611 24 2.16397
4.44288 0.000758916 12 1.7114
4.71239 0.421378 30 950.229
4.96729 0.000407488 24 0.918909
5.20974 0.000960757 24 2.16656
5.4414 0.0013516 8 3.04793
5.66359 0.000394469 24 0.889548
5.87738 0.000986128 48 2.22377
6.28319 0.000570321 6 1.2861
6.55703 0.000612198 84 1.38054
6.84694 0.000823889 24 1.85791
7.02481 0.000286611 24 0.646322
7.25476 0.000346157 72 0.780603
7.6953 0.00025184 24 0.567912
7.96377 0.000360946 102 0.813952
8.1621 0.000183367 32 0.413502
8.51684 0.000215528 120 0.486028
8.88577 0.000125994 12 0.284122
9.15858 0.000179182 144 0.404065
9.48256 0.113504 54 255.958
9.74593 0.000182344 96 0.411196
10.1275 0.000233866 168 0.527381
10.5564 0.000326945 144 0.737279
11.0536 0.000282096 146 0.636142
11.4241 0.000183536 240 0.413883
11.9234 0.00013839 192 0.312078
12.3255 0.000142266 168 0.320818
12.7651 0.000148389 270 0.334626
13.1907 9.89053e-05 228 0.223037
13.6659 0.000105937 344 0.238894
14.2646 0.0106872 342 24.1002
14.7875 9.12276e-05 456 0.205723
15.4187 0.000170619 396 0.384755
15.942 0.000110863 486 0.250002
16.5482 0.000100641 560 0.22695
17.1639 0.000106607 558 0.240405
17.8011 5.72919e-05 708 0.129196
18.4303 6.02552e-05 672 0.135879
19.1824 0.00238008 998 5.36721
19.9469 9.56129e-05 924 0.215612
20.6808 7.98301e-05 1014 0.180021
21.3842 5.19921e-05 1064 0.117245
22.2186 5.83622e-05 1434 0.13161
23.0657 3.65483e-05 1440 0.0824184
23.935 0.000978463 1662 2.20649
24.8633 6.86576e-05 1898 0.154827
25.7971 3.9797e-05 2040 0.0897444
26.7938 5.42893e-05 2378 0.122425
27.7886 0.000468509 2430 1.05651
28.8178 0.00026178 2964 0.590327
29.9415 3.9998e-05 3278 0.0901976
31.0801 3.59933e-05 3618 0.0811669
32.231 2.58978e-05 3896 0.0584009
33.4697 0.00018543 4770 0.418155
34.7575 2.41175e-05 4902 0.0543863
36.0407 2.43292e-05 5522 0.0548636
37.3988 9.89143e-05 6402 0.223057
38.8321 2.40801e-05 7118 0.054302
40.2872 1.97154e-05 7634 0.0444594
41.8167 5.58963e-05 9090 0.126049
43.399 1.8788e-05 9566 0.0423679
45.0279 1.48162e-05 11034 0.0334114
46.7308 3.38333e-05 12290 0.076296
48.5017 1.60209e-05 13706 0.036128
50.3097 1.29225e-05 14970 0.0291409
52.197 2.33767e-05 17198 0.0527158
54.1738 1.22287e-05 19016 0.0275764
56.2203 1.68541e-05 21458 0.038007
58.3613 1.48674e-05 24186 0.0335267
60.5794 1.50534e-05 26624 0.0339461
62.8515 1.31033e-05 29594 0.0295485
65.2265 1.56114e-05 33536 0.0352046
67.6932 1.83419e-05 37166 0.0413619
70.2489 3.65087e-05 41720 0.0823291
72.8971 8.98453e-05 46280 0.202606
75.6319 0.000160521 51536 0.361983
78.4853 0.000146201 58466 0.329691
81.4754 0.000151019 65564 0.340555
84.5539 0.000132482 72080 0.298754
87.7413 0.000204275 81380 0.46065
91.0485 0.000236138 90070 0.532504
94.4801 0.000592056 101516 1.33512
98.0438 0.000939449 112736 2.11851
101.721 0.000504386 122371 1.13742
105.563 0.000116926 120908 0.263674
109.542 0.000131127 118888 0.295698
113.676 0.000152482 115424 0.343854
117.973 0.000157977 110068 0.356246
122.414 0.000195661 101516 0.441227
127.021 0.000294377 92536 0.663835
131.796 0.000536262 78532 1.2093
136.72 0.00158388 62872 3.57173
141.817 0.00111405 43009 2.51225
147.18 0.000219238 27262 0.494394
152.694 0.000345338 16264 0.778756
158.385 0.000791349 8614 1.78453
164.073 0.00234541 3046 5.28902
169.186 0.00880854 550 19.8637
174.125 0.00288282 1 6.50092
