# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.5708 1.22722e-08 12 1.22722e-08
2.22144 1.56983e-07 24 1.56983e-07
2.7207 1.29415e-07 16 1.29415e-07
3.14159 2.49843e-07 12 2.49843e-07
3.51241 4.55226e-07 48 4.55226e-07
3.84765 3.8253e-07 48 3.8253e-07
4.44288 3.16155e-07 24 3.16155e-07
4.71239 4.18732e-07 60 4.18732e-07
4.96729 9.2927e-07 48 9.2927e-07
5.20974 1.10236e-06 48 1.10236e-06
5.4414 3.09371e-06 16 3.09371e-06
5.66359 1.58983e-06 48 1.58983e-06
5.87738 1.41901e-06 96 1.41901e-06
6.28319 8.63327e-07 12 8.63327e-07
6.55703 1.52465e-06 168 1.52465e-06
6.84694 2.11847e-06 48 2.11847e-06
7.02481 2.43678e-06 48 2.43678e-06
7.25476 1.88848e-06 144 1.88848e-06
7.6953 2.22203e-06 48 2.22203e-06
7.96377 1.68311e-06 204 1.68311e-06
8.1621 3.1504e-06 64 3.1504e-06
8.51684 2.05056e-06 240 2.05056e-06
8.88577 3.96285e-06 24 3.96285e-06
9.15858 2.71175e-06 288 2.71175e-06
9.48256 2.91744e-06 108 2.91744e-06
9.74593 3.55126e-06 192 3.55126e-06
10.1275 3.39115e-06 336 3.39115e-06
10.5564 3.48594e-06 288 3.48594e-06
11.0536 4.33895e-06 292 4.33895e-06
11.4241 3.89547e-06 480 3.89547e-06
11.9234 4.15969e-06 384 4.15969e-06
12.3255 4.34185e-06 336 4.34185e-06
12.7651 4.92001e-06 540 4.92001e-06
13.1907 5.13518e-06 456 5.13518e-06
13.6659 5.25257e-06 688 5.25257e-06
14.2646 6.25174e-06 684 6.25174e-06
14.7875 5.2511e-06 912 5.2511e-06
15.4187 5.90377e-06 792 5.90377e-06
15.942 5.88996e-06 972 5.88996e-06
16.5482 6.27417e-06 1120 6.27417e-06
17.1639 6.96539e-06 1116 6.96539e-06
17.8011 7.17588e-06 1416 7.17588e-06
18.4303 7.34126e-06 1344 7.34126e-06
19.1824 7.98469e-06 1996 7.98469e-06
19.9469 7.88269e-06 1848 7.88269e-06
20.6808 8.00581e-06 2028 8.00581e-06
21.3842 9.44889e-06 2128 9.44889e-06
22.2186 9.20641e-06 2868 9.20641e-06
23.0657 9.11581e-06 2880 9.11581e-06
23.935 9.75065e-06 3324 9.75065e-06
24.8633 1.03116e-05 3796 1.03116e-05
25.7971 1.14886e-05 4080 1.14886e-05
26.7938 1.21622e-05 4756 1.21622e-05
27.7886 1.24709e-05 4860 1.24709e-05
28.8178 1.29676e-05 5928 1.29676e-05
29.9415 1.3935e-05 6556 1.3935e-05
31.0801 1.54194e-05 7236 1.54194e-05
32.231 1.74124e-05 7792 1.74124e-05
33.4697 1.80241e-05 9540 1.80241e-05
34.7575 2.01855e-05 9804 2.01855e-05
36.0407 2.19809e-05 11044 2.19809e-05
37.3988 2.46865e-05 12804 2.46865e-05
38.8321 2.76044e-05 14236 2.76044e-05
40.2872 3.02144e-05 15268 3.02144e-05
41.8167 3.38982e-05 18180 3.38982e-05
43.399 3.82462e-05 19132 3.82462e-05
45.0279 4.25891e-05 22068 4.25891e-05
46.7308 4.73e-05 24580 4.73e-05
48.5017 5.53743e-05 27412 5.53743e-05
50.3097 5.9572e-05 29940 5.9572e-05
52.197 6.53682e-05 34396 6.53682e-05
54.1738 7.31234e-05 38032 7.31234e-05
56.2203 8.19263e-05 42916 8.19263e-05
58.3613 8.86898e-05 48372 8.86898e-05
60.5794 9.7153e-05 53248 9.7153e-05
62.8515 0.000105795 59188 0.000105795
65.2265 0.000114733 67072 0.000114733
67.6932 0.000121899 74332 0.000121899
70.2489 0.000128872 83440 0.000128872
72.8971 0.000138105 92560 0.000138105
75.6319 0.00014379 103072 0.00014379
78.4853 0.000149835 116932 0.000149835
81.4754 0.000157655 131128 0.000157655
84.5539 0.000162558 144160 0.000162558
87.7413 0.000169173 162760 0.000169173
91.0485 0.000176477 180140 0.000176477
94.4801 0.000184629 203032 0.000184629
98.0438 0.000193782 225472 0.000193782
101.721 0.000201946 244742 0.000201946
105.563 0.000204303 241816 0.000204303
109.542 0.000207748 237776 0.000207748
113.676 0.0002135 230848 0.0002135
117.973 0.00022108 220136 0.00022108
122.414 0.000231195 203032 0.000231195
127.021 0.000244807 185072 0.000244807
131.796 0.000265458 157064 0.000265458
136.72 0.000292527 125744 0.000292527
141.817 0.000313821 86018 0.000313821
147.18 0.000333149 54524 0.000333149
152.694 0.000374928 32528 0.000374928
158.385 0.000451572 17228 0.000451572
164.073 0.000621757 6092 0.000621757
169.186 0.000751509 1100 0.000751509
174.125 0.000219789 2 0.000219789
