1.011761769593335306e-05 8.801698581444304947e-01
1.059444632767677823e-05 9.204207997924485074e-01
1.109374720050336827e-05 9.625124378242497780e-01
1.161657939850683900e-05 1.006528946261662893e+00
1.216405191887645591e-05 1.052558347991999321e+00
1.273732602422886106e-05 1.100692690603718882e+00
1.333761770580169991e-05 1.151028230076200032e+00
1.396620026273410281e-05 1.203665625528667737e+00
1.462440700290484961e-05 1.258710135913466033e+00
1.531363407105715846e-05 1.316271834154370879e+00
1.603534341020889457e-05 1.376465826491591882e+00
1.679106586262959545e-05 1.439412480645056780e+00
1.758240441696235005e-05 1.505237668678309104e+00
1.841103760837750272e-05 1.574073016451065454e+00
1.927872307897083849e-05 1.646056168098590566e+00
2.018730130595809740e-05 1.721331060052093465e+00
2.113869950557392745e-05 1.800048208655256499e+00
2.213493572095592794e-05 1.882365011363179796e+00
2.317812310268456801e-05 1.968446059874058962e+00
2.427047439105909911e-05 2.058463469241635924e+00
2.541430660961624746e-05 2.152597222715938674e+00
2.661204597984783376e-05 2.251035528296143617e+00
2.786623306754183925e-05 2.353975196473514497e+00
2.917952817166304523e-05 2.461622031694039148e+00
3.055471696720388772e-05 2.574191243216698677e+00
3.199471641397438751e-05 2.691907874088813379e+00
3.350258094386527810e-05 2.815007249388509880e+00
3.508150893970737226e-05 2.943735445746378243e+00
3.673484951947043274e-05 3.078349781303597599e+00
3.846610964019134927e-05 3.219119326822708071e+00
4.027896153670026703e-05 3.366325443009186902e+00
4.217725051092304699e-05 3.520262339612227009e+00
4.416500308828190358e-05 3.681237659393780781e+00
4.624643555849610756e-05 3.849573090177971224e+00
4.842596291889751583e-05 4.025605004385473862e+00
5.070820823923185075e-05 4.209685124326110639e+00
5.309801246780949848e-05 4.402181222596180277e+00
5.560044469980600108e-05 4.603477848052101251e+00
5.822081292949218351e-05 4.813977089127449815e+00
6.096467530920218189e-05 5.034099366143629517e+00
6.383785193891938639e-05 5.264284270011411415e+00
6.684643721148895361e-05 5.504991413338247597e+00
6.999681273964202400e-05 5.756701352791458781e+00
7.329566089225205273e-05 6.019916526752309593e+00
7.674997896853512271e-05 6.295162241562099581e+00
