#           k/h    P           
    0.35185E-05    0.22123E-04
    0.35539E-05    0.22338E-04
    0.35896E-05    0.22555E-04
    0.36257E-05    0.22774E-04
    0.36621E-05    0.22995E-04
    0.36989E-05    0.23219E-04
    0.37361E-05    0.23444E-04
    0.37736E-05    0.23672E-04
    0.38115E-05    0.23902E-04
    0.38499E-05    0.24134E-04
    0.38885E-05    0.24368E-04
    0.39276E-05    0.24605E-04
    0.39671E-05    0.24844E-04
    0.40070E-05    0.25085E-04
    0.40472E-05    0.25329E-04
    0.40879E-05    0.25575E-04
    0.41290E-05    0.25824E-04
    0.41705E-05    0.26074E-04
    0.42124E-05    0.26328E-04
    0.42547E-05    0.26583E-04
    0.42975E-05    0.26842E-04
    0.43407E-05    0.27102E-04
    0.43843E-05    0.27366E-04
    0.44284E-05    0.27632E-04
    0.44729E-05    0.27900E-04
    0.45178E-05    0.28171E-04
    0.45632E-05    0.28445E-04
    0.46091E-05    0.28721E-04
    0.46554E-05    0.29000E-04
    0.47022E-05    0.29282E-04
    0.47495E-05    0.29566E-04
    0.47972E-05    0.29853E-04
    0.48454E-05    0.30143E-04
    0.48941E-05    0.30436E-04
    0.49433E-05    0.30732E-04
    0.49930E-05    0.31030E-04
    0.50432E-05    0.31332E-04
    0.50939E-05    0.31636E-04
    0.51450E-05    0.31943E-04
    0.51968E-05    0.32254E-04
    0.52490E-05    0.32567E-04
    0.53017E-05    0.32883E-04
    0.53550E-05    0.33203E-04
    0.54088E-05    0.33525E-04
    0.54632E-05    0.33851E-04
    0.55181E-05    0.34180E-04
    0.55736E-05    0.34512E-04
    0.56296E-05    0.34847E-04
    0.56862E-05    0.35185E-04
    0.57433E-05    0.35527E-04
    0.58010E-05    0.35872E-04
    0.58593E-05    0.36221E-04
    0.59182E-05    0.36573E-04
    0.59777E-05    0.36928E-04
    0.60378E-05    0.37287E-04
    0.60984E-05    0.37649E-04
    0.61597E-05    0.38015E-04
    0.62216E-05    0.38384E-04
    0.62842E-05    0.38757E-04
    0.63473E-05    0.39133E-04
    0.64111E-05    0.39513E-04
    0.64756E-05    0.39897E-04
    0.65406E-05    0.40285E-04
    0.66064E-05    0.40676E-04
    0.66728E-05    0.41071E-04
    0.67398E-05    0.41470E-04
    0.68076E-05    0.41873E-04
    0.68760E-05    0.42280E-04
    0.69451E-05    0.42690E-04
    0.70149E-05    0.43105E-04
    0.70854E-05    0.43524E-04
    0.71566E-05    0.43947E-04
    0.72285E-05    0.44373E-04
    0.73012E-05    0.44804E-04
    0.73745E-05    0.45240E-04
    0.74487E-05    0.45679E-04
    0.75235E-05    0.46123E-04
    0.75991E-05    0.46571E-04
    0.76755E-05    0.47023E-04
    0.77526E-05    0.47480E-04
    0.78306E-05    0.47941E-04
    0.79093E-05    0.48407E-04
    0.79888E-05    0.48877E-04
    0.80690E-05    0.49352E-04
    0.81501E-05    0.49831E-04
    0.82320E-05    0.50315E-04
    0.83148E-05    0.50804E-04
    0.83983E-05    0.51298E-04
    0.84827E-05    0.51796E-04
    0.85680E-05    0.52299E-04
    0.86541E-05    0.52807E-04
    0.87411E-05    0.53320E-04
    0.88289E-05    0.53838E-04
    0.89177E-05    0.54361E-04
    0.90073E-05    0.54889E-04
    0.90978E-05    0.55422E-04
    0.91893E-05    0.55961E-04
    0.92816E-05    0.56504E-04
    0.93749E-05    0.57053E-04
    0.94691E-05    0.57607E-04
    0.95643E-05    0.58167E-04
    0.96604E-05    0.58732E-04
    0.97575E-05    0.59302E-04
    0.98555E-05    0.59879E-04
    0.99546E-05    0.60460E-04
    0.10055E-04    0.61047E-04
    0.10156E-04    0.61640E-04
    0.10258E-04    0.62239E-04
    0.10361E-04    0.62844E-04
    0.10465E-04    0.63454E-04
    0.10570E-04    0.64071E-04
    0.10676E-04    0.64693E-04
    0.10784E-04    0.65321E-04
    0.10892E-04    0.65956E-04
    0.11002E-04    0.66597E-04
    0.11112E-04    0.67244E-04
    0.11224E-04    0.67897E-04
    0.11337E-04    0.68556E-04
    0.11451E-04    0.69222E-04
    0.11566E-04    0.69895E-04
    0.11682E-04    0.70574E-04
    0.11799E-04    0.71259E-04
    0.11918E-04    0.71951E-04
    0.12038E-04    0.72650E-04
    0.12159E-04    0.73356E-04
    0.12281E-04    0.74069E-04
    0.12404E-04    0.74788E-04
    0.12529E-04    0.75515E-04
    0.12655E-04    0.76248E-04
    0.12782E-04    0.76989E-04
    0.12910E-04    0.77737E-04
    0.13040E-04    0.78492E-04
    0.13171E-04    0.79254E-04
    0.13304E-04    0.80024E-04
    0.13437E-04    0.80801E-04
    0.13572E-04    0.81586E-04
