#           k/h    P           
    0.22829E-04    0.92554E-01
    0.23059E-04    0.93453E-01
    0.23290E-04    0.94361E-01
    0.23524E-04    0.95277E-01
    0.23761E-04    0.96203E-01
    0.24000E-04    0.97137E-01
    0.24241E-04    0.98081E-01
    0.24484E-04    0.99034E-01
    0.24730E-04    0.99995E-01
    0.24979E-04    0.10097E+00
    0.25230E-04    0.10195E+00
    0.25484E-04    0.10294E+00
    0.25740E-04    0.10394E+00
    0.25998E-04    0.10495E+00
    0.26260E-04    0.10597E+00
    0.26524E-04    0.10700E+00
    0.26790E-04    0.10804E+00
    0.27059E-04    0.10908E+00
    0.27331E-04    0.11014E+00
    0.27606E-04    0.11121E+00
    0.27883E-04    0.11229E+00
    0.28164E-04    0.11339E+00
    0.28447E-04    0.11449E+00
    0.28733E-04    0.11560E+00
    0.29021E-04    0.11672E+00
    0.29313E-04    0.11786E+00
    0.29608E-04    0.11900E+00
    0.29905E-04    0.12016E+00
    0.30206E-04    0.12132E+00
    0.30509E-04    0.12250E+00
    0.30816E-04    0.12369E+00
    0.31126E-04    0.12489E+00
    0.31439E-04    0.12611E+00
    0.31755E-04    0.12733E+00
    0.32074E-04    0.12857E+00
    0.32396E-04    0.12982E+00
    0.32722E-04    0.13108E+00
    0.33050E-04    0.13235E+00
    0.33383E-04    0.13364E+00
    0.33718E-04    0.13493E+00
    0.34057E-04    0.13625E+00
    0.34399E-04    0.13757E+00
    0.34745E-04    0.13891E+00
    0.35094E-04    0.14025E+00
    0.35447E-04    0.14162E+00
    0.35803E-04    0.14299E+00
    0.36163E-04    0.14438E+00
    0.36526E-04    0.14578E+00
    0.36893E-04    0.14720E+00
    0.37264E-04    0.14863E+00
    0.37639E-04    0.15007E+00
    0.38017E-04    0.15153E+00
    0.38399E-04    0.15300E+00
    0.38785E-04    0.15449E+00
    0.39175E-04    0.15599E+00
    0.39569E-04    0.15750E+00
    0.39966E-04    0.15903E+00
    0.40368E-04    0.16058E+00
    0.40774E-04    0.16214E+00
    0.41183E-04    0.16371E+00
    0.41597E-04    0.16530E+00
    0.42015E-04    0.16691E+00
    0.42438E-04    0.16853E+00
    0.42864E-04    0.17017E+00
    0.43295E-04    0.17182E+00
    0.43730E-04    0.17349E+00
    0.44170E-04    0.17518E+00
    0.44613E-04    0.17688E+00
    0.45062E-04    0.17859E+00
