#           k/h    P           
    0.35185E-05    0.24402E-02
    0.35539E-05    0.24639E-02
    0.35896E-05    0.24879E-02
    0.36257E-05    0.25120E-02
    0.36621E-05    0.25365E-02
    0.36989E-05    0.25611E-02
    0.37361E-05    0.25860E-02
    0.37736E-05    0.26111E-02
    0.38115E-05    0.26365E-02
    0.38499E-05    0.26621E-02
    0.38885E-05    0.26879E-02
    0.39276E-05    0.27140E-02
    0.39671E-05    0.27404E-02
    0.40070E-05    0.27670E-02
    0.40472E-05    0.27939E-02
    0.40879E-05    0.28210E-02
    0.41290E-05    0.28484E-02
    0.41705E-05    0.28761E-02
    0.42124E-05    0.29040E-02
    0.42547E-05    0.29323E-02
    0.42975E-05    0.29607E-02
    0.43407E-05    0.29895E-02
    0.43843E-05    0.30185E-02
    0.44284E-05    0.30479E-02
    0.44729E-05    0.30775E-02
    0.45178E-05    0.31074E-02
    0.45632E-05    0.31375E-02
    0.46091E-05    0.31680E-02
    0.46554E-05    0.31988E-02
    0.47022E-05    0.32299E-02
    0.47495E-05    0.32612E-02
    0.47972E-05    0.32929E-02
    0.48454E-05    0.33249E-02
    0.48941E-05    0.33572E-02
    0.49433E-05    0.33898E-02
    0.49930E-05    0.34227E-02
    0.50432E-05    0.34560E-02
    0.50939E-05    0.34896E-02
    0.51450E-05    0.35235E-02
    0.51968E-05    0.35577E-02
    0.52490E-05    0.35922E-02
    0.53017E-05    0.36271E-02
    0.53550E-05    0.36624E-02
    0.54088E-05    0.36980E-02
    0.54632E-05    0.37339E-02
    0.55181E-05    0.37701E-02
    0.55736E-05    0.38068E-02
    0.56296E-05    0.38437E-02
    0.56862E-05    0.38811E-02
    0.57433E-05    0.39188E-02
    0.58010E-05    0.39568E-02
    0.58593E-05    0.39953E-02
    0.59182E-05    0.40341E-02
    0.59777E-05    0.40733E-02
    0.60378E-05    0.41128E-02
    0.60984E-05    0.41528E-02
    0.61597E-05    0.41931E-02
    0.62216E-05    0.42339E-02
    0.62842E-05    0.42750E-02
    0.63473E-05    0.43165E-02
    0.64111E-05    0.43585E-02
    0.64756E-05    0.44008E-02
    0.65406E-05    0.44435E-02
    0.66064E-05    0.44867E-02
    0.66728E-05    0.45303E-02
    0.67398E-05    0.45743E-02
    0.68076E-05    0.46187E-02
    0.68760E-05    0.46636E-02
    0.69451E-05    0.47089E-02
    0.70149E-05    0.47546E-02
    0.70854E-05    0.48008E-02
    0.71566E-05    0.48475E-02
    0.72285E-05    0.48945E-02
    0.73012E-05    0.49421E-02
    0.73745E-05    0.49901E-02
    0.74487E-05    0.50386E-02
