#           k/h    P           
    0.35185E-05    0.26580E-01
    0.35539E-05    0.26838E-01
    0.35896E-05    0.27099E-01
    0.36257E-05    0.27362E-01
    0.36621E-05    0.27628E-01
    0.36989E-05    0.27896E-01
    0.37361E-05    0.28167E-01
    0.37736E-05    0.28441E-01
    0.38115E-05    0.28717E-01
    0.38499E-05    0.28996E-01
    0.38885E-05    0.29278E-01
    0.39276E-05    0.29562E-01
    0.39671E-05    0.29849E-01
    0.40070E-05    0.30139E-01
    0.40472E-05    0.30432E-01
    0.40879E-05    0.30727E-01
    0.41290E-05    0.31026E-01
    0.41705E-05    0.31327E-01
    0.42124E-05    0.31632E-01
    0.42547E-05    0.31939E-01
    0.42975E-05    0.32249E-01
    0.43407E-05    0.32562E-01
    0.43843E-05    0.32879E-01
    0.44284E-05    0.33198E-01
    0.44729E-05    0.33521E-01
    0.45178E-05    0.33846E-01
    0.45632E-05    0.34175E-01
    0.46091E-05    0.34507E-01
    0.46554E-05    0.34842E-01
    0.47022E-05    0.35181E-01
    0.47495E-05    0.35522E-01
    0.47972E-05    0.35867E-01
    0.48454E-05    0.36216E-01
    0.48941E-05    0.36568E-01
    0.49433E-05    0.36923E-01
    0.49930E-05    0.37281E-01
    0.50432E-05    0.37644E-01
    0.50939E-05    0.38009E-01
    0.51450E-05    0.38378E-01
    0.51968E-05    0.38751E-01
    0.52490E-05    0.39128E-01
    0.53017E-05    0.39508E-01
    0.53550E-05    0.39892E-01
    0.54088E-05    0.40279E-01
    0.54632E-05    0.40670E-01
    0.55181E-05    0.41065E-01
    0.55736E-05    0.41464E-01
    0.56296E-05    0.41867E-01
    0.56862E-05    0.42274E-01
    0.57433E-05    0.42684E-01
    0.58010E-05    0.43099E-01
    0.58593E-05    0.43518E-01
    0.59182E-05    0.43940E-01
    0.59777E-05    0.44367E-01
    0.60378E-05    0.44798E-01
    0.60984E-05    0.45233E-01
    0.61597E-05    0.45673E-01
    0.62216E-05    0.46116E-01
    0.62842E-05    0.46564E-01
    0.63473E-05    0.47017E-01
    0.64111E-05    0.47473E-01
    0.64756E-05    0.47935E-01
    0.65406E-05    0.48400E-01
    0.66064E-05    0.48870E-01
    0.66728E-05    0.49345E-01
    0.67398E-05    0.49824E-01
    0.68076E-05    0.50308E-01
    0.68760E-05    0.50797E-01
    0.69451E-05    0.51291E-01
    0.70149E-05    0.51789E-01
    0.70854E-05    0.52292E-01
    0.71566E-05    0.52800E-01
    0.72285E-05    0.53313E-01
    0.73012E-05    0.53831E-01
    0.73745E-05    0.54353E-01
    0.74487E-05    0.54881E-01
    0.75235E-05    0.55415E-01
    0.75991E-05    0.55953E-01
    0.76755E-05    0.56496E-01
    0.77526E-05    0.57045E-01
    0.78306E-05    0.57599E-01
    0.79093E-05    0.58159E-01
    0.79888E-05    0.58724E-01
    0.80690E-05    0.59294E-01
    0.81501E-05    0.59870E-01
    0.82320E-05    0.60452E-01
    0.83148E-05    0.61039E-01
    0.83983E-05    0.61632E-01
    0.84827E-05    0.62231E-01
    0.85680E-05    0.62835E-01
    0.86541E-05    0.63445E-01
    0.87411E-05    0.64062E-01
    0.88289E-05    0.64684E-01
    0.89177E-05    0.65312E-01
    0.90073E-05    0.65947E-01
    0.90978E-05    0.66587E-01
    0.91893E-05    0.67234E-01
    0.92816E-05    0.67887E-01
    0.93749E-05    0.68547E-01
    0.94691E-05    0.69213E-01
    0.95643E-05    0.69885E-01
    0.96604E-05    0.70564E-01
    0.97575E-05    0.71249E-01
    0.98555E-05    0.71941E-01
    0.99546E-05    0.72640E-01
    0.10055E-04    0.73346E-01
    0.10156E-04    0.74058E-01
    0.10258E-04    0.74778E-01
    0.10361E-04    0.75504E-01
    0.10465E-04    0.76237E-01
    0.10570E-04    0.76978E-01
    0.10676E-04    0.77726E-01
    0.10784E-04    0.78481E-01
    0.10892E-04    0.79243E-01
    0.11002E-04    0.80013E-01
    0.11112E-04    0.80790E-01
    0.11224E-04    0.81575E-01
    0.11337E-04    0.82367E-01
    0.11451E-04    0.83167E-01
    0.11566E-04    0.83975E-01
    0.11682E-04    0.84791E-01
    0.11799E-04    0.85615E-01
    0.11918E-04    0.86446E-01
    0.12038E-04    0.87286E-01
    0.12159E-04    0.88134E-01
    0.12281E-04    0.88990E-01
    0.12404E-04    0.89854E-01
    0.12529E-04    0.90727E-01
    0.12655E-04    0.91609E-01
    0.12782E-04    0.92498E-01
    0.12910E-04    0.93397E-01
    0.13040E-04    0.94304E-01
    0.13171E-04    0.95220E-01
    0.13304E-04    0.96145E-01
    0.13437E-04    0.97079E-01
    0.13572E-04    0.98022E-01
    0.13709E-04    0.98974E-01
    0.13847E-04    0.99936E-01
