#           k/h    P           
    0.35185E-05    0.93379E-04
    0.35539E-05    0.94286E-04
    0.35896E-05    0.95202E-04
    0.36257E-05    0.96127E-04
    0.36621E-05    0.97061E-04
    0.36989E-05    0.98004E-04
    0.37361E-05    0.98956E-04
    0.37736E-05    0.99917E-04
    0.38115E-05    0.10089E-03
    0.38499E-05    0.10187E-03
    0.38885E-05    0.10286E-03
    0.39276E-05    0.10386E-03
    0.39671E-05    0.10487E-03
    0.40070E-05    0.10588E-03
    0.40472E-05    0.10691E-03
    0.40879E-05    0.10795E-03
    0.41290E-05    0.10900E-03
    0.41705E-05    0.11006E-03
    0.42124E-05    0.11113E-03
    0.42547E-05    0.11221E-03
    0.42975E-05    0.11330E-03
    0.43407E-05    0.11440E-03
    0.43843E-05    0.11551E-03
    0.44284E-05    0.11663E-03
    0.44729E-05    0.11776E-03
    0.45178E-05    0.11891E-03
    0.45632E-05    0.12006E-03
    0.46091E-05    0.12123E-03
    0.46554E-05    0.12241E-03
    0.47022E-05    0.12360E-03
    0.47495E-05    0.12480E-03
    0.47972E-05    0.12601E-03
    0.48454E-05    0.12723E-03
    0.48941E-05    0.12847E-03
    0.49433E-05    0.12972E-03
    0.49930E-05    0.13098E-03
    0.50432E-05    0.13225E-03
    0.50939E-05    0.13353E-03
    0.51450E-05    0.13483E-03
    0.51968E-05    0.13614E-03
    0.52490E-05    0.13746E-03
    0.53017E-05    0.13880E-03
    0.53550E-05    0.14015E-03
    0.54088E-05    0.14151E-03
    0.54632E-05    0.14288E-03
    0.55181E-05    0.14427E-03
    0.55736E-05    0.14567E-03
    0.56296E-05    0.14709E-03
    0.56862E-05    0.14851E-03
    0.57433E-05    0.14996E-03
    0.58010E-05    0.15141E-03
    0.58593E-05    0.15289E-03
    0.59182E-05    0.15437E-03
    0.59777E-05    0.15587E-03
    0.60378E-05    0.15738E-03
    0.60984E-05    0.15891E-03
    0.61597E-05    0.16046E-03
    0.62216E-05    0.16201E-03
    0.62842E-05    0.16359E-03
    0.63473E-05    0.16518E-03
    0.64111E-05    0.16678E-03
    0.64756E-05    0.16840E-03
    0.65406E-05    0.17004E-03
    0.66064E-05    0.17169E-03
    0.66728E-05    0.17336E-03
    0.67398E-05    0.17504E-03
    0.68076E-05    0.17674E-03
    0.68760E-05    0.17846E-03
    0.69451E-05    0.18019E-03
    0.70149E-05    0.18194E-03
    0.70854E-05    0.18371E-03
    0.71566E-05    0.18549E-03
    0.72285E-05    0.18730E-03
