#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.470222E-05   0.631556E+07   0.631556E+07   0.842049E+07   0.842049E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.965601E-02
   0.474948E-05   0.631556E+07   0.631556E+07   0.842048E+07   0.842048E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.975306E-02
   0.479721E-05   0.631556E+07   0.631556E+07   0.842048E+07   0.842048E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.985108E-02
   0.484542E-05   0.631556E+07   0.631556E+07   0.842048E+07   0.842047E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.995008E-02
   0.489412E-05   0.631556E+07   0.631556E+07   0.842047E+07   0.842047E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.100501E-01
   0.494331E-05   0.631556E+07   0.631556E+07   0.842046E+07   0.842046E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.101511E-01
   0.499299E-05   0.631556E+07   0.631556E+07   0.842046E+07   0.842046E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.102531E-01
   0.504317E-05   0.631556E+07   0.631556E+07   0.842045E+07   0.842045E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.103561E-01
   0.509385E-05   0.631556E+07   0.631556E+07   0.842044E+07   0.842044E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.104602E-01
   0.514505E-05   0.631556E+07   0.631556E+07   0.842044E+07   0.842044E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.105654E-01
   0.519676E-05   0.631556E+07   0.631556E+07   0.842043E+07   0.842043E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.106715E-01
   0.524898E-05   0.631556E+07   0.631556E+07   0.842043E+07   0.842042E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.107788E-01
   0.530174E-05   0.631556E+07   0.631556E+07   0.842042E+07   0.842042E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.108871E-01
   0.535502E-05   0.631556E+07   0.631556E+07   0.842041E+07   0.842041E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.109965E-01
   0.540884E-05   0.631556E+07   0.631556E+07   0.842041E+07   0.842040E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.111071E-01
   0.546320E-05   0.631556E+07   0.631556E+07   0.842040E+07   0.842040E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.112187E-01
   0.551810E-05   0.631556E+07   0.631556E+07   0.842039E+07   0.842039E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.113314E-01
   0.557356E-05   0.631556E+07   0.631556E+07   0.842038E+07   0.842038E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.114453E-01
   0.562958E-05   0.631556E+07   0.631556E+07   0.842038E+07   0.842038E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.115603E-01
   0.568616E-05   0.631556E+07   0.631556E+07   0.842037E+07   0.842037E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.116765E-01
   0.574330E-05   0.631556E+07   0.631556E+07   0.842036E+07   0.842036E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.117939E-01
   0.580102E-05   0.631556E+07   0.631556E+07   0.842036E+07   0.842035E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.119124E-01
   0.585933E-05   0.631556E+07   0.631556E+07   0.842035E+07   0.842034E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.120321E-01
   0.591821E-05   0.631556E+07   0.631556E+07   0.842034E+07   0.842034E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.121530E-01
   0.597769E-05   0.631556E+07   0.631556E+07   0.842033E+07   0.842033E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.122752E-01
   0.603777E-05   0.631556E+07   0.631556E+07   0.842032E+07   0.842032E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.123986E-01
   0.609845E-05   0.631556E+07   0.631556E+07   0.842031E+07   0.842031E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.125232E-01
   0.615974E-05   0.631556E+07   0.631556E+07   0.842030E+07   0.842030E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.126490E-01
   0.622165E-05   0.631556E+07   0.631556E+07   0.842030E+07   0.842029E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.127761E-01
   0.628417E-05   0.631556E+07   0.631556E+07   0.842029E+07   0.842028E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.129045E-01
   0.634733E-05   0.631556E+07   0.631556E+07   0.842028E+07   0.842028E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.130342E-01
   0.641112E-05   0.631556E+07   0.631556E+07   0.842027E+07   0.842026E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.131652E-01
   0.647556E-05   0.631556E+07   0.631556E+07   0.842026E+07   0.842026E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.132975E-01
   0.654064E-05   0.631556E+07   0.631556E+07   0.842025E+07   0.842024E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.134312E-01
   0.660637E-05   0.631556E+07   0.631556E+07   0.842024E+07   0.842024E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.135662E-01
   0.667277E-05   0.631556E+07   0.631556E+07   0.842023E+07   0.842022E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.137025E-01
   0.673983E-05   0.631556E+07   0.631556E+07   0.842022E+07   0.842021E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.138402E-01
   0.680757E-05   0.631556E+07   0.631556E+07   0.842021E+07   0.842020E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.139793E-01
   0.687598E-05   0.631556E+07   0.631556E+07   0.842019E+07   0.842019E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.141198E-01
   0.694509E-05   0.631556E+07   0.631556E+07   0.842018E+07   0.842018E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.142617E-01
   0.701489E-05   0.631556E+07   0.631556E+07   0.842017E+07   0.842017E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.144050E-01
   0.708539E-05   0.631556E+07   0.631556E+07   0.842016E+07   0.842016E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.145498E-01
   0.715660E-05   0.631556E+07   0.631556E+07   0.842015E+07   0.842014E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.146960E-01
   0.722852E-05   0.631556E+07   0.631556E+07   0.842014E+07   0.842013E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.148437E-01
   0.730117E-05   0.631556E+07   0.631556E+07   0.842012E+07   0.842012E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.149929E-01
