#           k/h    P           
    0.23074E-01    0.42135E+01
    0.23332E-01    0.41888E+01
    0.23593E-01    0.41634E+01
    0.23856E-01    0.41375E+01
    0.24123E-01    0.41109E+01
    0.24393E-01    0.40838E+01
    0.24665E-01    0.40561E+01
    0.24941E-01    0.40278E+01
    0.25219E-01    0.39990E+01
    0.25501E-01    0.39697E+01
    0.25786E-01    0.39399E+01
    0.26074E-01    0.39096E+01
    0.26365E-01    0.38788E+01
    0.26660E-01    0.38475E+01
    0.26958E-01    0.38158E+01
    0.27259E-01    0.37837E+01
    0.27564E-01    0.37512E+01
    0.27872E-01    0.37183E+01
    0.28183E-01    0.36851E+01
    0.28498E-01    0.36515E+01
    0.28816E-01    0.36176E+01
    0.29138E-01    0.35834E+01
    0.29464E-01    0.35490E+01
    0.29793E-01    0.35143E+01
    0.30126E-01    0.34795E+01
    0.30463E-01    0.34444E+01
    0.30803E-01    0.34092E+01
    0.31147E-01    0.33739E+01
    0.31495E-01    0.33385E+01
    0.31847E-01    0.33030E+01
    0.32203E-01    0.32674E+01
    0.32563E-01    0.32319E+01
    0.32926E-01    0.31964E+01
    0.33294E-01    0.31610E+01
    0.33666E-01    0.31256E+01
    0.34042E-01    0.30904E+01
    0.34423E-01    0.30553E+01
    0.34807E-01    0.30204E+01
    0.35196E-01    0.29857E+01
    0.35590E-01    0.29512E+01
    0.35987E-01    0.29170E+01
    0.36389E-01    0.28831E+01
    0.36796E-01    0.28495E+01
    0.37207E-01    0.28163E+01
    0.37623E-01    0.27834E+01
    0.38043E-01    0.27510E+01
    0.38468E-01    0.27189E+01
    0.38898E-01    0.26873E+01
    0.39333E-01    0.26562E+01
    0.39772E-01    0.26255E+01
    0.40216E-01    0.25954E+01
    0.40666E-01    0.25657E+01
    0.41120E-01    0.25366E+01
    0.41580E-01    0.25081E+01
    0.42044E-01    0.24802E+01
    0.42514E-01    0.24528E+01
    0.42989E-01    0.24261E+01
    0.43469E-01    0.24000E+01
    0.43955E-01    0.23745E+01
    0.44446E-01    0.23496E+01
    0.44943E-01    0.23254E+01
    0.45445E-01    0.23018E+01
    0.45953E-01    0.22789E+01
    0.46466E-01    0.22566E+01
    0.46985E-01    0.22349E+01
    0.47510E-01    0.22138E+01
    0.48041E-01    0.21934E+01
    0.48578E-01    0.21735E+01
    0.49120E-01    0.21542E+01
    0.49669E-01    0.21355E+01
    0.50224E-01    0.21173E+01
    0.50785E-01    0.20996E+01
    0.51353E-01    0.20825E+01
    0.51927E-01    0.20658E+01
    0.52507E-01    0.20495E+01
    0.53093E-01    0.20337E+01
    0.53687E-01    0.20183E+01
    0.54287E-01    0.20031E+01
    0.54893E-01    0.19883E+01
    0.55506E-01    0.19738E+01
    0.56388E-01    0.19535E+01
    0.57270E-01    0.19337E+01
    0.58152E-01    0.19144E+01
    0.59034E-01    0.18954E+01
    0.59916E-01    0.18766E+01
    0.60797E-01    0.18578E+01
    0.61679E-01    0.18390E+01
    0.62561E-01    0.18199E+01
    0.63443E-01    0.18006E+01
    0.64325E-01    0.17810E+01
    0.65207E-01    0.17609E+01
    0.66088E-01    0.17403E+01
    0.66970E-01    0.17193E+01
    0.67852E-01    0.16977E+01
