#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.179170E-02   0.242099E+06   0.241827E+06   0.281198E+06   0.276761E+06   0.237223E+06   0.241893E+06   0.242053E+06   0.246806E+06  -0.595947E+00   0.240854E+06   0.240787E+06   0.672199E+02
   0.200226E-02   0.241626E+06   0.241286E+06   0.271046E+06   0.265732E+06   0.232592E+06   0.241270E+06   0.241568E+06   0.246006E+06  -0.593912E+00   0.240333E+06   0.240250E+06   0.749135E+02
   0.223756E-02   0.241039E+06   0.240615E+06   0.258816E+06   0.252520E+06   0.226957E+06   0.240502E+06   0.240967E+06   0.245025E+06  -0.591411E+00   0.239688E+06   0.239585E+06   0.834333E+02
   0.250052E-02   0.240315E+06   0.239786E+06   0.244216E+06   0.236861E+06   0.220146E+06   0.239559E+06   0.240225E+06   0.243826E+06  -0.588351E+00   0.238891E+06   0.238763E+06   0.928476E+02
   0.279438E-02   0.239422E+06   0.238763E+06   0.226991E+06   0.218553E+06   0.211983E+06   0.238404E+06   0.239311E+06   0.242370E+06  -0.584626E+00   0.237909E+06   0.237749E+06   0.103224E+03
   0.312277E-02   0.238326E+06   0.237505E+06   0.206970E+06   0.197512E+06   0.202297E+06   0.236996E+06   0.238187E+06   0.240612E+06  -0.580117E+00   0.236702E+06   0.236504E+06   0.114624E+03
   0.348976E-02   0.236985E+06   0.235963E+06   0.184136E+06   0.173861E+06   0.190953E+06   0.235290E+06   0.236813E+06   0.238507E+06  -0.574702E+00   0.235225E+06   0.234980E+06   0.127103E+03
   0.389987E-02   0.235353E+06   0.234082E+06   0.158729E+06   0.148023E+06   0.177884E+06   0.233237E+06   0.235138E+06   0.236011E+06  -0.568255E+00   0.233426E+06   0.233123E+06   0.140704E+03
   0.435818E-02   0.233378E+06   0.231797E+06   0.131349E+06   0.120825E+06   0.163130E+06   0.230788E+06   0.233111E+06   0.233083E+06  -0.560664E+00   0.231248E+06   0.230874E+06   0.155451E+03
   0.440687E-02   0.233160E+06   0.231544E+06   0.128540E+06   0.118076E+06   0.161569E+06   0.230519E+06   0.232887E+06   0.232765E+06  -0.559839E+00   0.231008E+06   0.230625E+06   0.156989E+03
   0.445611E-02   0.232937E+06   0.231286E+06   0.125722E+06   0.115328E+06   0.159993E+06   0.230246E+06   0.232658E+06   0.232442E+06  -0.559000E+00   0.230762E+06   0.230371E+06   0.158539E+03
   0.450590E-02   0.232710E+06   0.231024E+06   0.122897E+06   0.112582E+06   0.158402E+06   0.229968E+06   0.232425E+06   0.232115E+06  -0.558150E+00   0.230512E+06   0.230113E+06   0.160100E+03
   0.455624E-02   0.232480E+06   0.230756E+06   0.120067E+06   0.109840E+06   0.156798E+06   0.229685E+06   0.232188E+06   0.231783E+06  -0.557287E+00   0.230258E+06   0.229850E+06   0.161673E+03
   0.460715E-02   0.232245E+06   0.230483E+06   0.117234E+06   0.107104E+06   0.155180E+06   0.229398E+06   0.231947E+06   0.231447E+06  -0.556411E+00   0.229999E+06   0.229583E+06   0.163257E+03
   0.465863E-02   0.232006E+06   0.230205E+06   0.114398E+06   0.104374E+06   0.153549E+06   0.229107E+06   0.231701E+06   0.231105E+06  -0.555522E+00   0.229735E+06   0.229310E+06   0.164853E+03
   0.471068E-02   0.231762E+06   0.229922E+06   0.111562E+06   0.101654E+06   0.151905E+06   0.228810E+06   0.231451E+06   0.230759E+06  -0.554621E+00   0.229466E+06   0.229033E+06   0.166460E+03
   0.476331E-02   0.231514E+06   0.229634E+06   0.108726E+06   0.989448E+05   0.150249E+06   0.228509E+06   0.231196E+06   0.230409E+06  -0.553707E+00   0.229193E+06   0.228750E+06   0.168078E+03
   0.481653E-02   0.231262E+06   0.229341E+06   0.105894E+06   0.962483E+05   0.148581E+06   0.228203E+06   0.230937E+06   0.230053E+06  -0.552780E+00   0.228915E+06   0.228462E+06   0.169708E+03
   0.487035E-02   0.231005E+06   0.229042E+06   0.103067E+06   0.935664E+05   0.146902E+06   0.227892E+06   0.230673E+06   0.229693E+06  -0.551840E+00   0.228631E+06   0.228170E+06   0.171350E+03
   0.492476E-02   0.230743E+06   0.228738E+06   0.100245E+06   0.909012E+05   0.145212E+06   0.227576E+06   0.230404E+06   0.229328E+06  -0.550888E+00   0.228343E+06   0.227872E+06   0.173002E+03
   0.497979E-02   0.230477E+06   0.228428E+06   0.974326E+05   0.882546E+05   0.143512E+06   0.227255E+06   0.230131E+06   0.228958E+06  -0.549923E+00   0.228050E+06   0.227569E+06   0.174666E+03
   0.503543E-02   0.230207E+06   0.228112E+06   0.946301E+05   0.856284E+05   0.141803E+06   0.226930E+06   0.229853E+06   0.228583E+06  -0.548945E+00   0.227751E+06   0.227260E+06   0.176342E+03
   0.509169E-02   0.229931E+06   0.227791E+06   0.918398E+05   0.830249E+05   0.140084E+06   0.226599E+06   0.229570E+06   0.228203E+06  -0.547953E+00   0.227447E+06   0.226946E+06   0.178028E+03
   0.514858E-02   0.229651E+06   0.227465E+06   0.890638E+05   0.804459E+05   0.138357E+06   0.226263E+06   0.229282E+06   0.227819E+06  -0.546949E+00   0.227139E+06   0.226627E+06   0.179726E+03
   0.520610E-02   0.229366E+06   0.227132E+06   0.863041E+05   0.778935E+05   0.136623E+06   0.225922E+06   0.228989E+06   0.227430E+06  -0.545933E+00   0.226824E+06   0.226302E+06   0.181435E+03
   0.526427E-02   0.229076E+06   0.226794E+06   0.835628E+05   0.753698E+05   0.134881E+06   0.225576E+06   0.228690E+06   0.227036E+06  -0.544903E+00   0.226505E+06   0.225971E+06   0.183155E+03
   0.532309E-02   0.228782E+06   0.226449E+06   0.808420E+05   0.728769E+05   0.133133E+06   0.225225E+06   0.228387E+06   0.226637E+06  -0.543860E+00   0.226180E+06   0.225635E+06   0.184886E+03
   0.538256E-02   0.228482E+06   0.226099E+06   0.781440E+05   0.704167E+05   0.131380E+06   0.224869E+06   0.228079E+06   0.226234E+06  -0.542805E+00   0.225849E+06   0.225294E+06   0.186628E+03
   0.544270E-02   0.228177E+06   0.225742E+06   0.754707E+05   0.679913E+05   0.129621E+06   0.224507E+06   0.227765E+06   0.225826E+06  -0.541737E+00   0.225513E+06   0.224946E+06   0.188381E+03
   0.550352E-02   0.227867E+06   0.225380E+06   0.728246E+05   0.656028E+05   0.127859E+06   0.224140E+06   0.227446E+06   0.225413E+06  -0.540656E+00   0.225171E+06   0.224593E+06   0.190144E+03
   0.556501E-02   0.227552E+06   0.225011E+06   0.702078E+05   0.632532E+05   0.126093E+06   0.223768E+06   0.227122E+06   0.224995E+06  -0.539562E+00   0.224824E+06   0.224233E+06   0.191919E+03
   0.562719E-02   0.227232E+06   0.224635E+06   0.676224E+05   0.609444E+05   0.124325E+06   0.223391E+06   0.226793E+06   0.224572E+06  -0.538456E+00   0.224471E+06   0.223868E+06   0.193705E+03
